"RearingBrood","ChickID","NatalBrood","CrossFosteredYN","AvgOfMass","AvgOfTarsus","AvgOfAge","nMeasures","dam","sire","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","NbHatched","XPriorResidence","GenPairID","ResMassTarsus_perChick","MeanLogAdev","MeanLogSdev"
48,2126,44,1,9.19999980926514,14.3000001907349,12,1,342,421,1,11.5,0.190000000000001,11.31,13.8516904250897,4,-0.085,4.085,442,457,"457442",2005,42,4,2,TRUE,"421342",-4.82375234371665,0.015680360509404,-0.0157644344795364
49,2114,41,1,22.5,16.8999996185303,12,1,438,11,2,18,0.219999999999999,17.78,21.870943432401,10.5,1.51,8.99,819,602,"602819",2005,42,5,5,TRUE,"11438",2.44824637909853,0.0134022781474227,0.148501761693114
49,2116,41,1,23,17.7000007629395,12,1,438,11,2,18,0.219999999999999,17.78,21.870943432401,10.5,1.51,8.99,819,602,"602819",2005,42,5,5,TRUE,"11438",1.09347363519639,0.0134022781474227,0.148501761693114
50,2157,51,1,25,18,12,1,903,354,2,16.5,3.19,13.31,15.7061729590272,5.5,0.535,4.965,431,356,"356431",2005,43,5,2,TRUE,"354903",2.39793662005602,0.193708783511188,0.000942063396917409
50,2158,51,1,22.5,17.2999992370605,12,1,903,354,2,16.5,3.19,13.31,15.7061729590272,5.5,0.535,4.965,431,356,"356431",2005,43,5,2,TRUE,"354903",1.5208622182059,0.193708783511188,0.000942063396917409
51,2153,50,1,24.5,18.8999996185303,12,1,431,356,3,19,-3.1,22.1,28.0130293159609,10,-4.68,14.68,903,354,"354903",2005,43,4,3,FALSE,"356431",-0.188678847481966,-0.147535440708539,-0.368603514804006
51,2154,50,1,21.1000003814697,18,12,1,431,356,3,19,-3.1,22.1,28.0130293159609,10,-4.68,14.68,903,354,"354903",2005,43,4,3,FALSE,"356431",-1.50206299847428,-0.147535440708539,-0.368603514804006
51,2166,53,1,16.8999996185303,15.6999998092651,12,1,353,725,3,19,-3.1,22.1,28.0130293159609,10,-4.68,14.68,903,354,"354903",2005,43,4,3,FALSE,"725353",-0.369599308634374,-0.147535440708539,-0.368603514804006
52,2167,53,1,19.2000007629395,16.7000007629395,12,1,353,114,2,14.3333333333333,1.18666666666667,13.1466666666667,14.380355315094,5.33333333333333,0.043333333333333,5.29,309,993,"993309",2005,43,1,3,FALSE,"114353",-0.388062988573864,0.0949379492876943,-0.035269471778596
52,2168,53,1,13.3999996185303,15,12,1,353,725,2,14.3333333333333,1.18666666666667,13.1466666666667,14.380355315094,5.33333333333333,0.043333333333333,5.29,309,993,"993309",2005,43,1,3,FALSE,"725353",-2.24667592154293,0.0949379492876943,-0.035269471778596
