"BroodRef","MeanTotalProRate","MeanA","MeanAdev","MeanAsim","MeanVisitRateDifference","MeanS","MeanMFVisit1","MeanSdev","MeanSsim","MeanEffectiveTime","MeanMVisit1RateH","MeanFVisit1RateH","MeanDVDInfoChickNb","BreedingYear","HatchingDayAfter0401","SocialMumID","SocialDadID","DadAge","MumAge","ParentsAge","MBroodNb","MPriorResidence","MnextNBsame","MwillDivorce","FBroodNb","FPriorResidence","FnextNBsame","FwillDivorce","PairID","PairBroodNb","PairIDYear","NbHatched","NbRinged","AvgMass","MinMass","AvgTarsus","sdMass","sdTarsus","MassRange","MixedBroodYN","ResMassTarsus","XPriorResidence","sdResMassTarsus","MeanLogAdev","MeanLogSdev","MeanLogAdevAgeCat6","MeanLogSdevAgeCat6","MeanTotalProRateAgeCat6","MeanBroodSizeAgeCat6","MeanLogAdevAgeCat10","MeanLogSdevAgeCat10","MeanTotalProRateAgeCat10","MeanBroodSizeAgeCat10","PairDivorce"
"59",19.088523762021,18,0.969999999999999,17.03,4.5,8.5,29,0.24,8.26,91.2500030517578,8,11.5,3,2005,44,540,1053,2,2,2,4,TRUE,TRUE,FALSE,3,TRUE,TRUE,FALSE,"1053540",1,"10535402005",5,2,18,14,16.6499996185303,5.65685424949238,1.62634505724937,8,1,-1.62394826817294,TRUE,1.88623403795033,0.0525308296104796,-0.00442915397234769,0.0900930435270379,-0.157660994972003,16.9381101879369,4,0.0149686156939214,0.148802687027308,21.2389373361052,2,FALSE
"60",20.9545300962148,20.5,1.24,19.26,0.5,8,31.5,-0.984999999999999,8.985,90.0500007629394,10,10.5,3,2005,44,646,500,2,3,2.5,4,TRUE,FALSE,TRUE,8,TRUE,FALSE,TRUE,"500646",4,"5006462005",4,3,26.2333335876465,25.7000007629395,18.3333333333333,0.680685629665017,1.04083299973307,1.2999992370605,1,2.77466899825649,TRUE,1.73264354719512,0.0678692215722779,-0.103062442599721,0.116837536835355,-0.0892311337279426,15.4189944134078,3,0.0189009063092004,-0.116893751471499,26.4900657790217,3,TRUE
"61",16.3013462411291,16,2.24,13.76,2,6.5,23.5,1.265,5.235,86.4499969482422,9,7,3,2005,44,346,1956,1,3,2,1,FALSE,FALSE,NA,6,TRUE,NA,NA,"1956346",1,"19563462005",4,3,26.5333334604899,24.1000003814697,18.3666667938232,2.12210565361163,0.55075696237826,3.8999996185303,1,2.99873362198132,TRUE,1.81592397391494,0.14477955089343,0.197178896296495,0.121985401627462,0.239950669630591,17.1821311848305,3,0.167573700159399,0.154407122962399,15.4205612974278,3,NA
"62",19.7660731580237,15.5,-1.29,16.79,1,6,30.5,-0.6,6.6,92.5,10,10,4,2005,44,45,166,4,4,4,8,TRUE,TRUE,FALSE,9,TRUE,TRUE,FALSE,"16645",8,"166452005",5,3,20.6666666666667,18.5,16.5333334604899,2.43378942561214,0.550757250973191,4.7999992370605,1,1.30848959789231,TRUE,1.83021431474267,-0.0818315904981008,-0.0994909988435309,-0.0818315904981008,-0.0994909988435309,19.7660731580237,4,NA,NA,NA,NA,FALSE
"63",10.8858061176184,7,1.22,5.78,2,2,17,0.02,1.98,93.6999969482422,4,6,1,2005,44,592,418,3,3,3,5,TRUE,TRUE,FALSE,5,TRUE,TRUE,FALSE,"418592",5,"4185922005",4,1,16.5,16.5,15,NA,NA,0,1,0.634831355581305,TRUE,NA,0.177533040062157,0.00803217169726425,NA,NA,NA,NA,0.177533040062157,0.00803217169726425,10.8858061176184,1,FALSE
"66",19.4799003940281,18,1.62,16.38,1,7.5,29.5,-0.085,7.585,91.0999969482422,10,10,2.5,2005,46,4391,4265,5,2,3.5,14,TRUE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"42654391",1,"426543912005",5,2,13.5,12.5,15.5,1.4142135623731,0.141421895716933,2,1,-3.5041930361644,TRUE,1.74209494029344,0.0775006636197438,-0.202319544017576,0.0308716636670871,-0.528272537369711,14.3478265628923,3,0.124129663572401,0.123633449334559,24.6119742251639,2,FALSE
"67",11.6883114952928,8,0.5,7.5,4,1,18,-1.02,2.02,92.4000015258789,8,4,1,2005,47,892,4435,8,2,5,16,TRUE,TRUE,FALSE,5,TRUE,TRUE,FALSE,"4435892",5,"44358922005",4,0,NA,NA,NA,NA,NA,NA,1,NA,TRUE,NA,0.0606246218164348,-0.518793793415168,0.0606246218164348,-0.518793793415168,11.6883114952928,1,NA,NA,NA,NA,FALSE
"68",22.5368134016049,16,-1.11,17.11,7.5,11,34.5,0.955,10.045,91.8499969482422,12.5,10,3.5,2005,47,556,23,4,2,3,5,FALSE,TRUE,FALSE,5,FALSE,TRUE,FALSE,"23556",5,"235562005",5,3,18.0333334604899,16.1000003814697,15.7999998728434,1.95021347442409,0.721110096391825,3.8999996185303,1,0.345726078947008,FALSE,0.540606443427888,-0.064099278673336,0.0830378617938207,-0.0192082736382671,0.18681162206682,22.5321895789998,4,-0.108990283708405,-0.0207358984791783,22.54143722421,3,FALSE
"69",11.3712378450643,12,1.62,10.38,1,4,17,0.22,3.78,89.6999969482422,6,5,2,2005,47,1054,823,2,2,2,2,FALSE,FALSE,TRUE,2,FALSE,FALSE,NA,"8231054",2,"82310542005",4,0,NA,NA,NA,NA,NA,NA,1,NA,FALSE,NA,0.138802402880459,0.0501243871825688,0.138802402880459,0.0501243871825688,11.3712378450643,2,NA,NA,NA,NA,TRUE
"70",23.5862738881184,12,1.16,10.84,14,6.5,35,1.325,5.175,89.4999969482422,5,19,3,2005,47,1446,4423,4,1,2.5,6,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"44231446",1,"442314462005",4,3,15.3333336512248,6.19999980926514,15.1333335240682,8.01581816144957,4.29107630449915,15.0000009536744,1,-0.835575265496083,FALSE,2.03017051149768,0.0824471283048681,0.163904525945406,0.114410351177744,0.325584356868701,19.5227772188589,3,0.0504839054319921,0.00222469502211111,27.6497705573779,3,FALSE
