"BroodRef","BirdID","NatalBroodID","RingedYN","LastStage","DeathDate","CrossFosteredYN","LastLiveRecord","HatchDate","MixedBroodYN","WeightedAge5","AgeCaptureAge5","RingingDate","RingingAge","DaysBetweenWeightedAge5andRinging","AvgBroodRingingAge","DurationSurvivalCheck","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","NbHatched","XPriorResidence","MeanLogAdev","MeanLogSdev","MeanLogAdevAgeCat6","MeanLogSdevAgeCat6","MeanLogAdevAgeCat10","MeanLogSdevAgeCat10","MeanTotalProRateAgeCat6","MeanTotalProRateAgeCat10","MeanBroodSizeAgeCat6","MeanBroodSizeAgeCat10","NbChickd5"
47,2131,45,1,3,NA,1,"2005-10-22 00:00:00","2005-05-14",1,TRUE,5,2005-05-25,11,6,6,6,1,10,0.52,9.48,10.1837276258646,2,-0.305,2.305,4290,4275,"42754290",2005,42,10,4,TRUE,0.0323866076713842,-0.114984105130654,0.213193220461042,-0.0989399478549035,-0.148420005118273,-0.131028262406404,9.60512304495741,10.7623322067717,1,1,2
47,2132,45,0,2,"2005-05-20",1,"2005-05-19 00:00:00","2005-05-14",1,TRUE,5,NA,NA,NA,6,6,1,10,0.52,9.48,10.1837276258646,2,-0.305,2.305,4290,4275,"42754290",2005,42,10,4,TRUE,0.0323866076713842,-0.114984105130654,0.213193220461042,-0.0989399478549035,-0.148420005118273,-0.131028262406404,9.60512304495741,10.7623322067717,1,1,2
47,2133,45,0,2,"2005-05-16",1,"2005-05-15 00:00:00","2005-05-14",1,FALSE,NA,NA,NA,NA,6,6,1,10,0.52,9.48,10.1837276258646,2,-0.305,2.305,4290,4275,"42754290",2005,42,10,4,TRUE,0.0323866076713842,-0.114984105130654,0.213193220461042,-0.0989399478549035,-0.148420005118273,-0.131028262406404,9.60512304495741,10.7623322067717,1,1,2
47,2143,47,0,2,"2005-05-16",0,"2005-05-15 00:00:00","2005-05-14",1,FALSE,NA,NA,NA,NA,6,6,1,10,0.52,9.48,10.1837276258646,2,-0.305,2.305,4290,4275,"42754290",2005,42,10,4,TRUE,0.0323866076713842,-0.114984105130654,0.213193220461042,-0.0989399478549035,-0.148420005118273,-0.131028262406404,9.60512304495741,10.7623322067717,1,1,2
48,2126,44,1,2,"2005-05-26",1,"2005-05-25 00:00:00","2005-05-14",1,TRUE,5,2005-05-25,11,6,6,6,1,11.5,0.239999999999998,11.26,13.8516904250897,4,0.04,3.96,442,457,"457442",2005,42,4,2,TRUE,0.0209771613022974,0.00732613839343521,0.0149256502166756,0.0146522767868704,0.0270286723879192,0,15.7033808501795,12,1,1,1
48,2145,48,0,2,"2005-05-16",0,"2005-05-15 00:00:00","2005-05-14",1,FALSE,NA,NA,NA,NA,6,6,1,11.5,0.239999999999998,11.26,13.8516904250897,4,0.04,3.96,442,457,"457442",2005,42,4,2,TRUE,0.0209771613022974,0.00732613839343521,0.0149256502166756,0.0146522767868704,0.0270286723879192,0,15.7033808501795,12,1,1,1
49,2114,41,1,3,NA,1,"2005-06-28 00:00:00","2005-05-14",1,TRUE,5,2005-05-25,11,6,6,6,2,18,0.16,17.84,21.870943432401,10.5,1.435,9.065,819,602,"602819",2005,42,5,5,TRUE,0.00954561842947158,0.137369804554117,0.0510088398272482,0.126497365967143,-0.0319176029683051,0.148242243141092,18.5567016796169,25.1851851851852,2,2,2
49,2115,41,0,2,"2005-05-16",1,"2005-05-15 00:00:00","2005-05-14",1,FALSE,NA,NA,NA,NA,6,6,2,18,0.16,17.84,21.870943432401,10.5,1.435,9.065,819,602,"602819",2005,42,5,5,TRUE,0.00954561842947158,0.137369804554117,0.0510088398272482,0.126497365967143,-0.0319176029683051,0.148242243141092,18.5567016796169,25.1851851851852,2,2,2
49,2116,41,1,3,NA,1,"2005-11-15 00:00:00","2005-05-14",1,TRUE,5,2005-05-25,11,6,6,6,2,18,0.16,17.84,21.870943432401,10.5,1.435,9.065,819,602,"602819",2005,42,5,5,TRUE,0.00954561842947158,0.137369804554117,0.0510088398272482,0.126497365967143,-0.0319176029683051,0.148242243141092,18.5567016796169,25.1851851851852,2,2,2
49,2144,48,0,2,"2005-05-16",1,"2005-05-15 00:00:00","2005-05-14",1,FALSE,NA,NA,NA,NA,6,6,2,18,0.16,17.84,21.870943432401,10.5,1.435,9.065,819,602,"602819",2005,42,5,5,TRUE,0.00954561842947158,0.137369804554117,0.0510088398272482,0.126497365967143,-0.0319176029683051,0.148242243141092,18.5567016796169,25.1851851851852,2,2,2
