"DVDRef","Sex","Tstart","Interval"
126,0,77.9,2.2
126,1,78.1,1.69999999999999
126,0,79.1,1.19999999999999
126,1,79.7,1.60000000000001
126,0,80.1,1
126,1,85,5.3
126,1,86.3,1.3
126,0,87,6.90000000000001
126,1,88,1.7
126,1,88.8,0.799999999999997
126,0,88.9,1.90000000000001
126,1,89.5,0.700000000000003
126,0,89.8,0.899999999999991
126,1,91.3,1.8
127,0,6.1,0
127,0,14.5,8.4
127,1,27.8,0
127,0,28,13.5
127,0,31.8,3.8
127,0,35.2,3.4
127,0,42.2,7
127,0,45.4,3.2
127,1,45.8,18
127,0,47.5,2.1
127,1,48.5,2.7
127,0,51,3.5
127,0,59.6,8.6
127,0,61.5,1.9
127,0,62.7,1.2
127,1,63.9,15.4
127,0,66.4,3.7
127,1,68.3,4.4
127,0,70.2,3.8
127,1,70.3,2
127,0,72.1,1.89999999999999
127,1,72.6,2.3
127,0,73.7,1.60000000000001
127,0,75.5,1.8
127,1,76.1,3.5
127,0,79.7,4.2
127,1,80.8,4.7
127,0,81.5,1.8
127,0,82.8,1.3
127,1,83.8,3
127,0,86.6,3.8
127,0,88.8,2.2
127,1,89.5,5.7
127,0,91.2,2.40000000000001
127,0,92.6,1.39999999999999
130,1,2.3,0
130,0,2.9,0
130,1,3.9,1.6
130,0,5.6,2.7
130,1,5.7,1.8
130,1,9,3.3
130,1,9.7,0.699999999999999
130,0,11.3,5.7
130,1,14.8,5.1
130,0,14.9,3.6
130,1,15.8,1
130,0,16.3,1.4
130,1,17.3,1.5
130,0,18.8,2.5
130,1,19.1,1.8
130,0,20.3,1.5
130,1,20.6,1.5
130,0,21.8,1.5
130,1,22.5,1.9
130,1,24.5,2
130,1,26.1,1.6
130,1,27.7,1.6
130,0,28,6.2
130,0,37,9
130,0,40,3
130,1,40.9,13.2
130,0,43.7,3.7
130,1,44.5,3.6
130,1,45.8,1.3
130,1,46.4,0.600000000000001
130,1,47.1,0.700000000000003
130,0,47.7,4
130,1,48,0.899999999999999
130,0,48.8,1.09999999999999
130,1,49.1,1.1
130,0,49.8,1
130,1,50.6,1.5
130,1,51.4,0.799999999999997
130,0,51.7,1.90000000000001
130,1,53.8,2.4
130,0,57.5,5.8
130,0,58.9,1.4
130,1,60.6,6.8
130,0,61.5,2.6
130,0,62.3,0.799999999999997
130,1,69.2,8.6
130,0,71.2,8.90000000000001
130,0,72.3,1.09999999999999
130,0,73.5,1.2
130,0,74.8,1.3
130,0,76.5,1.7
