"DVDRef","Tstart","Tend","State","Sex","Protocol"
24,67.1,72.5,"IN","1","Shinichi"
24,72.5,72.9,"A","1","Shinichi"
24,75.4,80.2,"IN","0","Shinichi"
24,79.9,80,"A","1","Shinichi"
24,80,80.2,"IN","1","Shinichi"
24,80.2,80.3,"A","0","Shinichi"
24,80.2,80.4,"A","1","Shinichi"
24,80.8,80.9,"A","1","Shinichi"
24,80.9,85.9,"IN","1","Shinichi"
24,85.9,87,"A","0","Shinichi"
24,85.9,87.2,"A","1","Shinichi"
24,87,92.4,"IN","0","Shinichi"
25,3.7,3.7,"A","1","Shinichi"
25,6.1,11.8,"A","0","Shinichi"
25,12.6,13.3,"A","0","Shinichi"
25,14.4,14.5,"A","1","Shinichi"
25,14.5,14.9,"IN","1","Shinichi"
25,15.5,16.1,"IN","1","Shinichi"
25,16.1,21.4,"A","1","Shinichi"
25,21.4,26.5,"IN","1","Shinichi"
25,26.5,28.9,"A","1","Shinichi"
25,28.9,43.6,"IN","1","Shinichi"
25,43.5,44.1,"A","0","Shinichi"
25,46.8,48.1,"A","1","Shinichi"
25,48.1,50.9,"IN","1","Shinichi"
25,52.2,53.3,"A","1","Shinichi"
25,53.3,68.6,"IN","1","Shinichi"
25,68.8,75.7,"A","1","Shinichi"
25,68.9,70.5,"A","0","Shinichi"
25,71.2,73.3,"A","0","Shinichi"
25,73.7,74,"A","0","Shinichi"
25,74.3,74.7,"A","0","Shinichi"
25,75.7,76,"IN","1","Shinichi"
25,75.9,76.3,"IN","0","Shinichi"
25,76,76.3,"A","1","Shinichi"
25,76.4,78.1,"A","1","Shinichi"
25,77.7,78,"A","0","Shinichi"
25,84.1,84.5,"IN","0","Shinichi"
25,78.1,78.1,"IN","1","Shinichi"
25,78.1,78.5,"A","0","Shinichi"
25,78.1,78.6,"A","1","Shinichi"
25,78.5,78.6,"IN","0","Shinichi"
25,78.8,82.5,"A","1","Shinichi"
25,79,79.1,"A","0","Shinichi"
25,79.1,79.5,"IN","0","Shinichi"
25,79.5,79.8,"A","0","Shinichi"
25,79.8,80.2,"IN","0","Shinichi"
25,80.2,80.3,"A","0","Shinichi"
25,82.5,84.1,"IN","1","Shinichi"
25,84,84.1,"A","0","Shinichi"
25,92.9,93.3,"A","1","Shinichi"
25,84.1,85.1,"A","1","Shinichi"
25,84.5,84.7,"A","0","Shinichi"
25,85.1,92.9,"IN","1","Shinichi"
25,93,93.3,"A","0","Shinichi"
25,93.3,93.3,"IN","0","Shinichi"
26,54.1,61.6,"IN","1","Shinichi"
26,4.2,6.5,"IN","0","Shinichi"
26,6.4,6.7,"A","1","Shinichi"
26,6.7,6.8,"IN","1","Shinichi"
26,9,9.1,"A","1","Shinichi"
26,9.1,10.2,"IN","1","Shinichi"
26,10,10.1,"A","0","Shinichi"
26,10.1,12.2,"IN","0","Shinichi"
26,10.8,12.3,"A","1","Shinichi"
26,13.8,14.1,"A","1","Shinichi"
26,14.1,14.4,"IN","1","Shinichi"
26,17.5,17.6,"A","0","Shinichi"
26,17.6,18.2,"IN","0","Shinichi"
26,19,19.1,"A","0","Shinichi"
26,19.1,19.3,"IN","0","Shinichi"
26,20.5,24.8,"IN","0","Shinichi"
26,26.2,32,"IN","0","Shinichi"
26,31.6,32,"A","1","Shinichi"
26,42.4,44.6,"IN","0","Shinichi"
26,42.5,44.8,"A","1","Shinichi"
26,44.8,54,"IN","1","Shinichi"
26,45.7,46.2,"A","0","Shinichi"
26,63.3,63.8,"A","1","Shinichi"
26,63.6,73.6,"IN","0","Shinichi"
26,73.6,73.7,"A","1","Shinichi"
26,73.7,76.4,"IN","1","Shinichi"
26,76.1,76.2,"A","0","Shinichi"
26,77.1,77.2,"A","0","Shinichi"
26,77.2,79.1,"IN","0","Shinichi"
26,80.2,80.7,"A","1","Shinichi"
26,82.9,83,"A","0","Shinichi"
26,83,88.8,"IN","0","Shinichi"
26,88.8,89,"A","1","Shinichi"
26,89,90.7,"IN","1","Shinichi"
26,90.7,90.9,"A","1","Shinichi"
26,90.9,91.3,"IN","1","Shinichi"
26,91.1,91.4,"A","0","Shinichi"
26,91.4,91.7,"IN","0","Shinichi"
26,91.5,91.7,"A","1","Shinichi"
26,54,54.1,"A","1","Shinichi"
27,2.6,2.8,"A","0","Shinichi"
27,2.8,4.8,"IN","0","Shinichi"
27,4.7,13.6,"IN","1","Shinichi"
27,13.5,23.9,"IN","0","Shinichi"
27,13.6,14,"A","1","Shinichi"
27,3.2,4.7,"A","1","Shinichi"
27,23.9,24,"A","0","Shinichi"
27,30.8,31.2,"A","0","Shinichi"
27,31.2,33.8,"IN","0","Shinichi"
27,23.7,32.2,"IN","1","Shinichi"
27,32.5,33.8,"IN","1","Shinichi"
27,35.9,41.5,"IN","0","Shinichi"
27,41.1,41.4,"A","1","Shinichi"
27,41.4,44.7,"IN","1","Shinichi"
27,41.5,41.6,"A","0","Shinichi"
27,46.6,46.7,"A","0","Shinichi"
27,46.7,51.6,"IN","0","Shinichi"
27,51.3,51.5,"A","1","Shinichi"
27,51.5,60,"IN","1","Shinichi"
27,59.7,59.8,"A","0","Shinichi"
27,59.8,69.7,"IN","0","Shinichi"
27,60,60.5,"A","1","Shinichi"
27,32.2,32.5,"A","1","Shinichi"
27,69.6,73.5,"IN","1","Shinichi"
27,73.2,79.3,"IN","0","Shinichi"
27,73.5,73.7,"A","1","Shinichi"
27,79,79.4,"A","1","Shinichi"
27,79.4,83.9,"IN","1","Shinichi"
27,83.7,83.8,"A","0","Shinichi"
27,83.8,93,"IN","0","Shinichi"
27,83.9,85,"A","1","Shinichi"
27,92.7,92.9,"A","1","Shinichi"
27,92.9,93.7,"IN","1","Shinichi"
27,69.4,69.6,"A","1","Shinichi"
30,2.3,2.7,"A","0","Shinichi"
30,2.7,16.1,"IN","0","Shinichi"
30,3.3,3.5,"A","1","Shinichi"
30,3.7,3.8,"A","1","Shinichi"
30,9,9.1,"A","1","Shinichi"
30,9.1,9.2,"IN","1","Shinichi"
30,9.2,9.5,"A","1","Shinichi"
30,9.7,9.8,"A","1","Shinichi"
30,9.8,9.8,"IN","1","Shinichi"
30,9.8,10,"A","1","Shinichi"
30,13.4,13.5,"A","1","Shinichi"
30,13.5,13.7,"IN","1","Shinichi"
30,15.9,16.1,"A","1","Shinichi"
30,16.1,29.3,"IN","1","Shinichi"
30,29,33.3,"IN","0","Shinichi"
30,3.5,3.7,"IN","1","Shinichi"
30,33.5,42.1,"IN","0","Shinichi"
30,35.1,35.2,"A","1","Shinichi"
30,35.2,35.4,"IN","1","Shinichi"
30,41.9,42,"A","1","Shinichi"
30,42,43.9,"IN","1","Shinichi"
30,43.7,52.3,"IN","0","Shinichi"
30,50.1,50.2,"A","1","Shinichi"
30,52.2,52.4,"A","1","Shinichi"
30,52.4,52.9,"IN","1","Shinichi"
30,52.9,53.4,"A","1","Shinichi"
30,55.7,55.8,"A","1","Shinichi"
30,55.8,63,"IN","1","Shinichi"
30,29.3,29.5,"A","1","Shinichi"
30,62.7,62.8,"A","0","Shinichi"
30,62.8,69,"IN","0","Shinichi"
30,63,63.3,"A","1","Shinichi"
30,68,68.1,"A","1","Shinichi"
30,68.1,68.2,"IN","1","Shinichi"
30,69.3,77.7,"IN","0","Shinichi"
30,77.6,77.8,"A","1","Shinichi"
30,77.8,82.1,"IN","1","Shinichi"
30,81.6,87.1,"IN","0","Shinichi"
30,82.1,82.5,"A","1","Shinichi"
30,87.1,87.3,"A","1","Shinichi"
30,87.3,87.6,"IN","1","Shinichi"
30,87.8,91.6,"IN","1","Shinichi"
30,91.6,91.9,"A","1","Shinichi"
30,92.2,93.7,"IN","0","Shinichi"
31,26.2,26.7,"A","1","Shinichi"
31,26.7,35.2,"IN","1","Shinichi"
31,35.2,35.4,"A","1","Shinichi"
31,46.7,46.8,"A","1","Shinichi"
31,46.8,52.8,"IN","1","Shinichi"
31,52.8,52.9,"A","1","Shinichi"
31,65.9,66.7,"A","0","Shinichi"
31,66.4,67.2,"A","1","Shinichi"
31,66.7,67.2,"IN","0","Shinichi"
31,67.2,70.2,"A","0","Shinichi"
31,70.5,71.7,"IN","0","Shinichi"
31,70.7,71.7,"A","1","Shinichi"
31,71.7,72.1,"A","0","Shinichi"
31,73,74.4,"A","1","Shinichi"
31,89.3,89.5,"A","1","Shinichi"
31,89.5,93.7,"IN","1","Shinichi"
32,1.1,2,"A","1","Shinichi"
32,14.8,15,"A","1","Shinichi"
32,33.1,33.9,"IN","1","Shinichi"
32,33.9,34.3,"A","1","Shinichi"
32,35.7,36.3,"IN","1","Shinichi"
