"BroodRef","SocialMumID","SocialDadID","BroodName","NestboxRef","SocialDadCertain","SocialdadIsGenetic","SocialMumCertain","SocialMumIsGenetic","Notes","HatchingDate","BreedingYear","HatchingDayAfter0401","NbHatched","Nb3","NbRinged","LastLiveRecordSocialDad","LastLiveRecordSocialDadSource","LastLiveRecordSocialMum","LastLiveRecordSocialMumSource","CohortDad","CohortMum","DadAge","MumAge","ParentsAge","MPrevNbRinged","MBroodNb","MPriorResidence","MPrevFemaleLastSeenAlive","MwithsameF","MDivorce","MDivorceforEx","FPrevNbRinged","FBroodNb","FPriorResidence","FPrevMaleLastSeenAlive","FwithsameM","FDivorce","FDivorceforEx","PairID","PairIDYear","PairBroodNb","AvgMass","MinMass","MaxMass","CVMass","nMass","AvgTarsus","nTarsus","nDiff","AvgClassAge"
387,601,645,"C083",152,1,0,1,0,NA,2003-06-22,2003,81,3,2,2,"25.05.2005","EP","30.01.2005","C",2002,2002,1,1,1,NA,1,NA,NA,NA,NA,NA,2,2,TRUE,"01.06.2006",FALSE,TRUE,FALSE,"645601","6456012003",1,23.75,22.75,24.75,0.059545834205183,2,19.1999998092651,2,0,12
388,419,4415,"C084",249,1,0,1,0,"Dad:FROM GENETICS",2003-06-22,2003,81,4,4,4,"17.10.2003","C","14.11.2005","C",1999,2002,4,1,2.5,0,5,FALSE,NA,NA,NA,NA,0,2,FALSE,"14.07.2005",FALSE,TRUE,FALSE,"4415419","44154192003",1,19,14.75,21,0.151553969676939,4,17.2749996185303,4,0,12
389,284,4403,"C085",13,1,0,1,0,"Mum:FROM GENETICS",2003-06-23,2003,82,4,0,0,"09.06.2004","EP","30.08.2004","C",1995,2002,8,1,4.5,3,8,TRUE,"30.08.2003",FALSE,TRUE,FALSE,2,2,FALSE,"17.11.2005",FALSE,TRUE,FALSE,"4403284","44032842003",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,649,626,"C086",223,1,0,1,0,NA,2003-06-29,2003,88,3,2,2,"30.08.2004","C","17.11.2005","C",2002,2002,1,1,1,1,2,FALSE,"17.11.2005",TRUE,FALSE,NA,1,2,FALSE,"30.08.2004",FALSE,TRUE,TRUE,"626649","6266492003",2,23.25,23.25,23.25,0,2,19.3500003814697,2,0,12
391,4290,4275,"C087",215,1,0,1,0,NA,2003-06-30,2003,89,4,4,4,"17.11.2005","C","15.11.2005","C",2000,2000,3,3,3,2,8,FALSE,"30.08.2004",FALSE,TRUE,TRUE,3,7,FALSE,"17.11.2005",FALSE,TRUE,TRUE,"42754290","427542902003",5,27.625,24.25,30.25,0.0903467820927417,4,19.3999996185303,4,0,12
392,206,663,"C088",158,1,0,1,0,"Dad:FROM GENETICS; TA14537",2003-06-30,2003,89,5,4,4,"30.08.2004","C","09.02.2007","C",2002,2001,1,2,1.5,2,2,TRUE,"09.02.2007",TRUE,FALSE,NA,2,5,TRUE,"30.08.2004",FALSE,TRUE,TRUE,"663206","6632062003",2,18.3125,15,21.75,0.174962534033806,4,18.0500001907349,4,0,12
393,646,4413,"C089",237,1,0,1,0,"Mum:FROM GENETICS",2003-07-01,2003,90,4,1,1,"22.05.2005","EP","16.11.2005","C",1999,2002,4,1,2.5,0,5,FALSE,"16.11.2005",TRUE,FALSE,NA,0,3,FALSE,"22.05.2005",FALSE,TRUE,TRUE,"4413646","44136462003",3,24,24,24,NA,1,18.1000003814697,1,0,12
394,4273,4153,"C090",159,1,0,1,0,NA,2003-07-01,2003,90,5,5,5,"01.06.2006","S","20.11.2005","C",2000,2000,3,3,3,2,7,FALSE,"30.01.2005",FALSE,TRUE,FALSE,2,2,FALSE,NA,NA,NA,NA,"41534273","415342732003",1,19.25,10.25,25.25,0.329957039374351,5,17.3400001525879,5,0,12
395,4424,590,"C091",217,1,0,1,0,NA,2003-07-02,2003,91,3,3,3,"14.07.2005","EP","13.05.2006","C",2002,2001,1,2,1.5,0,2,FALSE,"14.11.2005",FALSE,TRUE,FALSE,2,2,FALSE,"30.08.2004",FALSE,TRUE,FALSE,"5904424","59044242003",1,17.7999998728434,16.6000003814697,19,0.0674154611461788,3,16.25,3,0,12
396,4376,383,"C092",235,1,0,1,0,"Dad:FROM GENETICS",2003-07-03,2003,92,5,0,0,"30.08.2004","C","30.01.2005","C",2002,2000,1,3,2,3,2,FALSE,"30.01.2005",TRUE,FALSE,NA,0,6,FALSE,"24.11.2004",FALSE,TRUE,TRUE,"3834376","38343762003",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
397,4217,4435,"C093",161,1,0,1,0,NA,2003-07-07,2003,96,3,2,2,"17.08.2006","C","30.08.2004","C",1997,2000,6,3,4.5,2,9,TRUE,"30.08.2004",TRUE,FALSE,NA,2,4,TRUE,"17.08.2006",FALSE,TRUE,TRUE,"44354217","443542172003",2,23.625,21.25,26,0.142169617381422,2,18.1500005722046,2,0,12
398,284,4464,"C094",195,1,0,1,0,NA,2003-07-06,2003,95,5,3,3,"18.07.2003","SP","30.08.2004","C",1999,2002,4,1,2.5,3,5,FALSE,"30.08.2002",FALSE,FALSE,NA,0,3,FALSE,"09.06.2004",FALSE,TRUE,FALSE,"4464284","44642842003",1,21.75,18.75,24.25,0.127994583053564,3,19.1333332061768,3,0,12
399,615,287,"C095",199,1,0,1,0,NA,2003-07-07,2003,96,4,3,3,"04.05.2006","EP","30.08.2004","C",2002,2002,1,1,1,0,2,FALSE,"30.01.2005",FALSE,TRUE,FALSE,2,2,FALSE,"17.11.2005",FALSE,TRUE,FALSE,"287615","2876152003",1,19,14.25,21.75,0.217404100550767,3,17.2666670481364,3,0,12
400,76,145,"C096",201,1,0,1,0,NA,2003-07-07,2003,96,5,4,4,"15.11.2005","C","27.06.2005","SP",2001,2001,2,2,2,2,2,FALSE,"27.06.2005",TRUE,FALSE,NA,2,3,FALSE,"15.11.2005",FALSE,TRUE,TRUE,"14576","145762003",2,22.5625,17.25,25.25,0.1646899244293,4,17.8499999046326,4,0,12
401,605,178,"C097",173,1,0,1,0,NA,2003-07-08,2003,97,3,3,3,"30.08.2004","C","30.08.2005","S",2001,2002,2,1,1.5,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"178605","1786052003",1,18.4166666666667,18,19.25,0.0391866698544995,3,18.2333335876465,3,0,12
402,4382,114,"C098",239,1,0,1,0,NA,2003-07-09,2003,98,3,3,3,"14.08.2006","SP","14.11.2005","C",2001,2001,2,2,2,0,4,FALSE,"14.11.2005",TRUE,FALSE,NA,0,2,FALSE,"14.08.2006",FALSE,TRUE,TRUE,"1144382","11443822003",2,26.1666666666667,25,27,0.0397770573146395,3,18.9333330790202,3,0,12
403,4501,4417,"C099",275,1,0,1,0,NA,2003-07-09,2003,98,3,3,3,"30.08.2004","C","30.08.2004","C",1999,2000,4,3,3.5,0,8,TRUE,"30.08.2004",TRUE,FALSE,NA,0,5,TRUE,"30.08.2004",FALSE,TRUE,TRUE,"44174501","441745012003",2,23.9166666666667,22,25.25,0.0711518392218193,3,18.5,3,0,12
404,122,132,"C100",175,1,0,1,0,NA,2003-07-09,2003,98,5,3,3,"30.01.2005","C","19.11.2005","C",2001,2001,2,2,2,1,2,TRUE,"19.11.2005",TRUE,FALSE,NA,1,3,TRUE,"30.01.2005",FALSE,TRUE,TRUE,"132122","1321222003",2,19.0833333333333,17.25,20.25,0.0842240241134756,3,16.966667175293,3,0,12
405,298,457,"C101",179,1,0,1,0,NA,2003-07-10,2003,99,2,1,1,"29.06.2006","SP","30.08.2004","C",2002,2002,1,1,1,NA,1,NA,NA,NA,NA,NA,4,2,FALSE,"30.08.2004",FALSE,TRUE,FALSE,"457298","4572982003",1,25.75,25.75,25.75,NA,1,19,1,0,12
406,431,356,"C102",193,1,0,1,0,NA,2003-07-10,2003,99,4,2,2,"30.05.2006","C","16.11.2005","C",2002,2002,1,1,1,1,2,TRUE,"30.08.2004",FALSE,TRUE,FALSE,0,2,FALSE,"04.06.2005",FALSE,TRUE,FALSE,"356431","3564312003",1,26.125,23.25,29,0.155631157581728,2,18.2999992370605,2,0,12
407,704,4503,"C103",276,1,0,1,0,NA,2003-07-11,2003,100,3,0,0,"30.01.2005","C","16.11.2005","C",2000,2002,3,1,2,1,2,FALSE,"16.11.2005",TRUE,FALSE,NA,1,2,FALSE,"30.01.2005",FALSE,TRUE,TRUE,"4503704","45037042003",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,604,4463,"C104",219,1,0,1,0,NA,2003-07-13,2003,102,5,2,2,"17.11.2005","C","09.06.2006","SP",1999,2002,4,1,2.5,2,6,TRUE,"30.08.2004",FALSE,TRUE,FALSE,1,2,FALSE,"30.01.2005",FALSE,TRUE,FALSE,"4463604","44636042003",1,26.125,25.75,26.5,0.0202997162063124,2,19.9499998092651,2,0,12
409,595,725,"C105",233,1,0,1,0,"Dad:FROM GENETICS
Mum:FROM GENETICS",2003-07-14,2003,103,4,2,2,"26.10.2006","C","30.08.2004","C",2002,2002,1,1,1,NA,1,NA,NA,NA,NA,NA,1,3,FALSE,"30.05.2006",FALSE,TRUE,FALSE,"725595","7255952003",1,26.625,26.25,27,0.0199185008784943,2,19.1999998092651,2,0,12
410,428,4325,"C106",157,1,0,1,0,NA,2003-07-15,2003,104,4,3,3,"30.08.2003","S","30.01.2005","C",2000,2002,3,1,2,3,4,FALSE,"30.08.2003",FALSE,TRUE,FALSE,0,2,FALSE,"30.08.2004",FALSE,TRUE,FALSE,"4325428","43254282003",1,22.5833333333333,20.25,24.25,0.0921770922272826,3,17.8666667938232,3,0,12
411,309,4326,"C107",163,1,0,1,0,NA,2003-07-15,2003,104,5,2,2,"29.05.2004","EP","20.08.2005","SP",2000,2002,3,1,2,4,5,TRUE,"20.08.2005",TRUE,FALSE,NA,4,3,TRUE,"29.05.2004",FALSE,TRUE,TRUE,"4326309","43263092003",3,25.25,24.25,26.25,0.0560084579157661,2,18.6000003814697,2,0,12
412,471,421,"C108",185,1,0,1,0,"Mum:FROM GENETICS",2003-07-16,2003,105,4,0,0,"15.11.2005","C","18.11.2005","C",2002,2002,1,1,1,2,2,TRUE,"18.11.2005",TRUE,FALSE,NA,2,2,TRUE,"15.11.2005",FALSE,TRUE,TRUE,"421471","4214712003",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,723,44,"C109",236,1,0,1,0,"DESERVED",NA,NA,NA,0,0,0,"30.08.2004","S","17.11.2005","C",2001,2001,NA,NA,NA,0,5,FALSE,"30.08.2005",FALSE,NA,NA,0,4,FALSE,NA,NA,NA,NA,"44723","44723NA",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,4497,4265,"C110",155,1,0,1,0,NA,2003-07-17,2003,106,4,3,3,"30.08.2005","SP","30.08.2004","C",2000,1999,3,4,3.5,3,8,TRUE,"30.08.2004",TRUE,FALSE,NA,3,11,TRUE,"30.08.2005",FALSE,TRUE,TRUE,"42654497","426544972003",4,18.75,13.75,24,0.273577127049109,3,16.4666662216187,3,0,12
415,45,166,"C111",176,1,0,1,0,NA,2003-07-17,2003,106,4,0,0,"22.05.2007","EP","11.08.2006","SP",2001,2001,2,2,2,1,3,TRUE,"11.08.2006",TRUE,FALSE,NA,1,4,TRUE,"22.05.2007",FALSE,TRUE,TRUE,"16645","166452003",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,427,22,"C112",187,1,0,1,0,NA,2003-07-19,2003,108,4,3,3,"16.11.2005","C","09.07.2006","SP",2001,2002,2,1,1.5,2,3,TRUE,"09.07.2006",TRUE,FALSE,NA,2,3,TRUE,"16.11.2005",FALSE,TRUE,TRUE,"22427","224272003",3,21.6666666666667,16,26,0.236843143359087,3,17.0666662851969,3,0,12
417,346,4264,"C113",250,1,0,1,0,"Dad:FROM GENETICS",2003-07-20,2003,109,4,0,0,"30.08.2004","C","27.05.2005","SP",2000,2002,3,1,2,2,6,TRUE,"27.05.2005",TRUE,FALSE,NA,2,3,TRUE,"30.08.2004",FALSE,TRUE,TRUE,"4264346","42643462003",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,442,4304,"C114",204,1,0,1,0,NA,2003-07-23,2003,112,4,0,0,"14.08.2007","C","16.11.2005","C",2000,2002,3,1,2,3,6,TRUE,"16.11.2005",TRUE,FALSE,NA,3,3,TRUE,"14.08.2007",FALSE,TRUE,TRUE,"4304442","43044422003",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,91,4503,"C115",278,1,0,1,0,"Dad:FROM GENETICS
Mum:FROM GENETICS",2003-07-22,2003,111,2,0,0,"30.01.2005","C","30.08.2004","C",2000,2001,3,2,2.5,0,3,FALSE,"16.11.2005",FALSE,TRUE,FALSE,0,5,FALSE,"18.07.2006",FALSE,TRUE,FALSE,"450391","4503912003",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,253,417,"C116",3,1,0,1,0,NA,2003-07-24,2003,113,3,1,1,"07.08.2007","SP","30.08.2004","C",2002,2002,1,1,1,2,3,TRUE,"30.08.2004",TRUE,FALSE,NA,2,3,TRUE,"07.08.2007",FALSE,TRUE,TRUE,"417253","4172532003",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,60,24,"C117",232,1,0,1,0,NA,2003-07-26,2003,115,5,3,3,"30.08.2004","C","30.08.2004","C",2001,2001,2,2,2,5,4,TRUE,"30.08.2004",TRUE,FALSE,NA,5,4,TRUE,"30.08.2004",FALSE,TRUE,TRUE,"2460","24602003",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,371,4230,"C118",207,1,0,1,0,NA,2003-07-27,2003,116,3,3,3,"02.07.2006","SP","30.08.2004","C",2000,2002,3,1,2,1,8,FALSE,"30.08.2004",TRUE,FALSE,NA,1,3,FALSE,"02.07.2006",FALSE,TRUE,TRUE,"4230371","42303712003",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,416,4418,"C119",202,1,0,1,0,NA,2003-07-27,2003,116,4,3,3,"17.11.2005","C","15.11.2005","C",1999,2002,4,1,2.5,3,7,FALSE,"15.11.2005",TRUE,FALSE,NA,3,3,FALSE,"17.11.2005",FALSE,TRUE,TRUE,"4418416","44184162003",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,601,645,"C120",249,1,0,1,0,"DESERTED???
Dad:FROM GENETICS
Mum:FROM GENETICS",NA,NA,NA,0,0,0,"25.05.2005","EP","30.01.2005","C",2002,2002,NA,NA,NA,2,2,FALSE,"30.01.2005",TRUE,FALSE,NA,2,3,FALSE,"25.05.2005",FALSE,NA,NA,"645601","645601NA",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,469,115,"C122",279,1,0,1,0,NA,2003-07-31,2003,120,2,2,2,"18.07.2006","EP","30.08.2004","C",2001,2002,2,1,1.5,0,4,TRUE,"30.08.2004",FALSE,TRUE,FALSE,4,3,FALSE,"01.12.2007",FALSE,TRUE,FALSE,"115469","1154692003",1,25.5,25.25,25.75,0.013864838846795,2,17.8000001907349,2,0,12
427,206,663,"C123",158,1,0,1,0,"Dad:FROM GENETICS; TA14537",2003-08-05,2003,125,3,3,3,"30.08.2004","C","09.02.2007","C",2002,2001,1,2,1.5,4,3,TRUE,"09.02.2007",TRUE,FALSE,NA,4,6,TRUE,"30.08.2004",FALSE,TRUE,TRUE,"663206","6632062003",3,15.5833333333333,8,21.25,0.438274363415248,3,15.9666668574015,3,0,12
428,4273,4153,"C124",159,1,0,1,0,NA,2003-08-09,2003,129,5,4,4,"01.06.2006","S","20.11.2005","C",2000,2000,3,3,3,5,8,TRUE,"20.11.2005",TRUE,FALSE,NA,5,3,TRUE,"01.06.2006",FALSE,TRUE,TRUE,"41534273","415342732003",2,18.8125,10.25,22.5,0.305238302354399,4,17.8000004291534,4,0,12
429,45,166,"C125",176,1,0,1,0,NA,2003-08-08,2003,128,5,5,5,"22.05.2007","EP","11.08.2006","SP",2001,2001,2,2,2,0,4,TRUE,"11.08.2006",TRUE,FALSE,NA,0,5,TRUE,"22.05.2007",FALSE,TRUE,TRUE,"16645","166452003",4,16.45,10,19,0.22346110973511,5,16.2799999237061,5,0,12
430,649,626,"C126",223,1,0,1,0,NA,2003-08-09,2003,129,4,2,2,"30.08.2004","C","17.11.2005","C",2002,2002,1,1,1,2,3,TRUE,"17.11.2005",TRUE,FALSE,NA,2,3,TRUE,"30.08.2004",FALSE,TRUE,TRUE,"626649","6266492003",3,22.625,21,24.25,0.101573349783703,2,17.8000001907349,2,0,12
431,471,661,"C127",213,1,0,1,0,NA,2003-08-09,2003,129,3,2,2,"01.12.2007","C","18.11.2005","C",2002,2002,1,1,1,NA,1,NA,NA,NA,NA,NA,0,3,FALSE,"15.11.2005",FALSE,TRUE,FALSE,"661471","6614712003",1,25,24.5,25.5,0.0282842712474619,2,18.75,2,0,12
432,438,11,"C128",151,1,0,1,0,NA,2003-08-05,2003,125,3,1,1,"17.11.2005","C","30.08.2005","S",2001,2002,2,1,1.5,3,4,TRUE,"30.08.2005",TRUE,FALSE,NA,3,2,TRUE,"17.11.2005",FALSE,TRUE,TRUE,"11438","114382003",2,22,22,22,NA,1,16.3999996185303,1,0,12
433,32,4229,"C129",248,1,0,1,0,"Dad:FROM GENETICS",2003-08-08,2003,128,3,3,3,"05.07.2005","EP","29.11.2004","C",2000,2001,3,2,2.5,3,5,FALSE,"29.11.2004",TRUE,FALSE,NA,3,4,FALSE,"05.07.2005",FALSE,TRUE,TRUE,"422932","4229322003",3,15.5833333333333,13.5,18.5,0.166978556106909,3,17.3666667938232,3,0,12
