"BroodRef","SocialMumID","SocialDadID","BroodName","NestboxRef","SocialDadCertain","SocialdadIsGenetic","SocialMumCertain","SocialMumIsGenetic","Notes","HatchingDate","BreedingYear","HatchingDayAfter0401","NbHatched","Nb3","NbRinged","LastLiveRecordSocialDad","LastLiveRecordSocialDadSource","LastLiveRecordSocialMum","LastLiveRecordSocialMumSource","CohortDad","CohortMum","DadAge","MumAge","ParentsAge","MPrevNbRinged","MBroodNb","MPriorResidence","MPrevFemaleLastSeenAlive","MwithsameF","MDivorce","MDivorceforEx","FPrevNbRinged","FBroodNb","FPriorResidence","FPrevMaleLastSeenAlive","FwithsameM","FDivorce","FDivorceforEx","PairID","PairIDYear","PairBroodNb","AvgMass","MinMass","MaxMass","CVMass","nMass","AvgTarsus","nTarsus","nDiff","AvgClassAge"
434,353,4247,"C130",234,1,0,1,0,NA,2003-08-05,2003,125,3,2,2,"24.11.2004","C","08.05.2007","SP",2000,2002,3,1,2,0,5,TRUE,"30.01.2005",FALSE,TRUE,FALSE,2,3,FALSE,"30.08.2004",FALSE,TRUE,FALSE,"4247353","42473532003",1,18.5,18,19,0.0382219881722458,2,16.6999998092651,2,0,12
435,419,4503,"C131",243,1,0,1,0,"Dad:FROM GENETICS",2003-08-09,2003,129,4,3,3,"30.01.2005","C","14.11.2005","C",2000,2002,3,1,2,0,4,FALSE,"30.08.2004",FALSE,TRUE,FALSE,4,3,FALSE,"17.10.2003",FALSE,TRUE,FALSE,"4503419","45034192003",1,18.4166666666667,16.5,22,0.168639322656871,3,18.9000002543132,3,0,12
436,646,4413,"C132",237,1,0,1,0,"Dad:FROM GENETICS
Mum:FROM GENETICS",2003-08-09,2003,129,5,0,0,"22.05.2005","EP","16.11.2005","C",1999,2002,4,1,2.5,1,6,TRUE,"16.11.2005",TRUE,FALSE,NA,1,4,TRUE,"22.05.2005",FALSE,TRUE,TRUE,"4413646","44136462003",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,4290,4275,"C133",211,1,0,1,0,NA,2003-08-13,2003,133,4,2,2,"17.11.2005","C","15.11.2005","C",2000,2000,3,3,3,4,9,FALSE,"15.11.2005",TRUE,FALSE,NA,4,8,FALSE,"17.11.2005",FALSE,TRUE,TRUE,"42754290","427542902003",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,4217,4435,"C134",161,1,0,1,0,NA,2003-08-14,2003,134,3,2,2,"17.08.2006","C","30.08.2004","C",1997,2000,6,3,4.5,2,10,TRUE,"30.08.2004",TRUE,FALSE,NA,2,5,TRUE,"17.08.2006",FALSE,TRUE,TRUE,"44354217","443542172003",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,4497,4265,"D001",143,1,0,1,0,"Ring and Fledge
Dad:FROM GENETICS
Mum:FROM GENETICS",2004-04-12,2004,10,2,2,2,"30.08.2005","SP","30.08.2004","C",2000,1999,4,5,4.5,3,9,FALSE,"30.08.2004",TRUE,FALSE,NA,3,12,FALSE,"30.08.2005",FALSE,TRUE,TRUE,"42654497","426544972004",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,206,663,"D002",146,1,0,1,0,"Dad:FROM GENETICS
Mum:FROM GENETICS",2004-04-12,2004,10,1,1,1,"30.08.2004","C","09.02.2007","C",2002,2001,2,3,2.5,3,4,FALSE,"09.02.2007",TRUE,FALSE,NA,3,7,FALSE,"30.08.2004",FALSE,TRUE,TRUE,"663206","6632062004",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,4424,590,"D003",37,1,0,1,0,NA,2004-04-12,2004,10,2,2,2,"14.07.2005","EP","13.05.2006","C",2002,2001,2,3,2.5,3,3,FALSE,"13.05.2006",TRUE,FALSE,NA,3,3,FALSE,"14.07.2005",FALSE,TRUE,TRUE,"5904424","59044242004",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,4290,4275,"D004",40,1,0,1,0,"Dad:FROM GENETICS",2004-04-12,2004,10,2,2,2,"17.11.2005","C","15.11.2005","C",2000,2000,4,4,4,2,10,FALSE,"15.11.2005",TRUE,FALSE,NA,2,9,FALSE,"17.11.2005",FALSE,TRUE,TRUE,"42754290","427542902004",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,471,661,"D005",41,1,0,1,0,"Dad:FROM GENETICS",2004-04-12,2004,10,1,1,1,"01.12.2007","C","18.11.2005","C",2002,2002,2,2,2,2,2,FALSE,"18.11.2005",TRUE,FALSE,NA,2,4,FALSE,"01.12.2007",FALSE,TRUE,TRUE,"661471","6614712004",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
444,560,1103,"D006",46,1,0,1,0,"removed
Dad:FROM GENETICS
Mum:FROM GENETICS",NA,NA,NA,0,0,0,"30.01.2005","C","16.11.2005","C",2002,2003,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,4,FALSE,"02.07.2006",FALSE,NA,NA,"1103560","1103560NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,438,11,"D007",31,1,0,1,0,"Dad:FROM GENETICS
Mum:FROM GENETICS",2004-04-12,2004,10,1,1,1,"17.11.2005","C","30.08.2005","S",2001,2002,3,2,2.5,1,5,FALSE,"30.08.2005",TRUE,FALSE,NA,1,3,FALSE,"17.11.2005",FALSE,TRUE,TRUE,"11438","114382004",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,371,4230,"D008",45,1,0,1,0,"Egg plus2
Dad:FROM GENETICS",2004-04-25,2004,23,1,0,0,"02.07.2006","SP","30.08.2004","C",2000,2002,4,2,3,3,9,FALSE,"30.08.2004",TRUE,FALSE,NA,3,4,FALSE,"02.07.2006",FALSE,TRUE,TRUE,"4230371","42303712004",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,309,4326,"D010",127,0,0,1,0,"Egg plus2
Dad:???; VX04391;VX04447
Mum:FROM GENETICS",2004-04-25,2004,23,2,0,0,"29.05.2004","EP","20.08.2005","SP",2000,2002,4,2,3,2,6,FALSE,"20.08.2005",TRUE,FALSE,NA,2,4,FALSE,"29.05.2004",FALSE,TRUE,TRUE,"4326309","43263092004",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
448,592,418,"D011",131,1,0,1,0,"Egg plus3
Dad:FROM GENETICS
Mum:FROM GENETICS",2004-04-25,2004,23,1,0,0,"06.02.2007","C","23.07.2007","SP",2002,2002,2,2,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"418592","4185922004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,551,251,"D014",124,1,0,1,0,"Dad:FROM GENETICS
Mum:FROM GENETICS",2004-04-27,2004,25,5,0,0,"16.11.2005","C","17.06.2004","SP",2001,2003,3,1,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"251551","2515512004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
452,4273,4153,"D015",148,1,0,1,0,NA,2004-04-27,2004,25,5,0,0,"01.06.2006","S","20.11.2005","C",2000,2000,4,4,4,4,9,FALSE,"20.11.2005",TRUE,FALSE,NA,4,4,FALSE,"01.06.2006",FALSE,TRUE,TRUE,"41534273","415342732004",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,1083,1095,"D016",19,1,0,1,0,"DESERTED",NA,NA,NA,0,0,0,"06.02.2007","C","30.01.2005","C",2003,2003,NA,NA,NA,0,7,FALSE,"11.05.2007",FALSE,NA,NA,3,2,FALSE,"06.02.2007",FALSE,NA,NA,"10951083","10951083NA",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
454,521,1038,"D017",33,1,0,1,0,NA,2004-04-29,2004,27,2,0,0,"18.11.2005","C","05.06.2005","SP",2003,2003,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"1038521","10385212004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
455,45,166,"D018",17,1,0,1,0,NA,2004-04-30,2004,28,5,0,0,"22.05.2007","EP","11.08.2006","SP",2001,2001,3,3,3,5,5,FALSE,"11.08.2006",TRUE,FALSE,NA,5,6,FALSE,"22.05.2007",FALSE,TRUE,TRUE,"16645","166452004",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,1048,902,"D019",71,1,0,1,0,NA,2004-04-30,2004,28,4,0,0,"15.11.2005","C","15.11.2005","C",2003,2003,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"9021048","90210482004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,419,4503,"D020",99,1,0,1,0,NA,2004-05-01,2004,29,3,1,0,"30.01.2005","C","14.11.2005","C",2000,2002,4,2,3,3,5,FALSE,"14.11.2005",TRUE,FALSE,NA,3,4,FALSE,"30.01.2005",FALSE,TRUE,TRUE,"4503419","45034192004",2,25.3999996185303,25.3999996185303,25.3999996185303,NA,1,18.6000003814697,1,0,13
458,555,370,"D021",139,1,0,1,0,"DESERTED
Dad:FROM GENETICS; VX04279",NA,NA,NA,0,0,0,"30.08.2004","C","18.04.2004","SP",2002,2003,NA,NA,NA,0,3,FALSE,"06.02.2007",FALSE,NA,NA,NA,1,NA,NA,NA,NA,NA,"370555","370555NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
