sort	DVDRef	Filename	MVisit1	FVisit1	MVisit2	FVisit2	ShareTime1	MTime1	FTime1	MTime2	FTime2	Protocol	ShareTime12	NbAlternation	EffectiveTime	MFTime1	MFTime02	MFTime2	FVisit1RateH	MVisit1RateH	DiffVisit1Rate	FTime1RateH	MTime1RateH	DiffTime1Rate	AlternationValue
52	90	2004\40090.xlsx	4	4	0	1	0	23.7	52.7	0.9	0.3	Shinichi	0.3	6	84.09999695	76.4	7.7	0.9	3	3	0	37.6	16.91	20.69	85.7
53	91	2004\40091.xlsx	10	8	1	0	0.1	31.2	46.4	2.9	1.2	Shinichi	2	13	86.99999695	77.5	9.5	2.2	6	7	1	32	21.52	10.48	76.5
54	92	2004\40092.xlsx	11	5	0	0	1	21.8	44.2	6.5	0.2	Shinichi	5.9	10	92.29999695	65	27.3	1.8	3	7	4	28.73	14.17	14.56	66.7
55	94	2004\40094.xlsx	3	4	0	0	0.1	15.1	61	2.9	0.8	Shinichi	2.1	6	84.79999695	76	8.8	1.7	3	2	1	43.16	10.68	32.48	100
56	97	2004\40097.xlsx	10	7	1	1	7.6	48	31.5	9	1.7	Shinichi	15	11	89.19999695	71.9	17.3	3.3	5	7	2	21.19	32.29	11.1	68.8
57	98	2004\40098.xlsx	5	2	0	0	0	59.3	16.9	0.5	0.1	Shinichi	0.2	4	91.49999847	76.2	15.3	0.4	1	3	2	11.08	38.89	27.81	66.7
58	99	2004\40099.xlsx	0	29	2	1	0	0	35	0.1	4.5	Shinichi	0	0	89.19999695	35	54.2	4.6	20	0	20	23.54	0	23.54	0
59	103	2004\40103.xlsx	14	20	1	1	1.3	43.8	27.8	4.7	9	Shinichi	10.9	21	92.69999847	70.3	22.4	4.1	13	9	4	17.99	28.35	10.36	63.6
60	105	2004\40105.xlsx	7	10	1	0	0	2.8	34.3	0.6	2.2	Shinichi	0.1	9	93.69999695	37.1	56.6	2.7	6	4	2	21.96	1.79	20.17	56.2
61	106	2004\40106.xlsx	16	12	0	0	0.1	10.8	38	6.3	0.9	Shinichi	0.9	19	91.59999695	48.7	42.9	6.4	8	10	2	24.89	7.07	17.82	70.4
62	107	2004\40107.xlsx	2	11	1	1	0	1.3	45.3	0.1	5.1	Shinichi	0.1	4	92.39999695	46.6	45.8	5.1	7	1	6	29.42	0.84	28.58	33.3
63	108	2004\40108.xlsx	15	23	4	0	1.5	9.6	23.5	8.8	2.6	Shinichi	4.6	22	92.59999695	31.6	61	8.3	15	10	5	15.23	6.22	9.01	59.5
64	109	2004\40109.xlsx	24	21	1	6	0.4	14.7	7.3	2	8	Shinichi	2.6	25	88.29999695	21.6	66.7	7.8	14	16	2	4.96	9.99	5.03	56.8
65	110	2004\40110.xlsx	18	15	0	0	1.5	28.4	21.7	0.9	0.5	Shinichi	2.4	20	90.99999695	48.6	42.4	0.5	10	12	2	14.31	18.73	4.42	62.5
