sort	DVDRef	Filename	MVisit1	FVisit1	MVisit2	FVisit2	ShareTime1	MTime1	FTime1	MTime2	FTime2	Protocol	ShareTime12	NbAlternation	EffectiveTime	MFTime1	MFTime02	MFTime2	FVisit1RateH	MVisit1RateH	DiffVisit1Rate	FTime1RateH	MTime1RateH	DiffTime1Rate	AlternationValue
1052	2398	2010\VJ0055.xlsx	18	30	NA	NA	0	6.1	13.8	NA	NA	Issie	NA	24	87.5	19.9	67.6	NA	21	12	9	9.46	4.18	5.28	51.1
1053	2401	2010\VJ0058.xlsx	18	35	0	0	0.6	9.2	21.1	6.3	0.1	Shinichi	1.7	26	86.5	29.7	56.8	5.3	24	12	12	14.64	6.38	8.26	50
1054	2402	2010\VJ0059.xlsx	17	9	0	0	1	25.8	22.9	0.8	0.3	Shinichi	1.7	16	82.9	47.7	35.2	0.4	7	12	5	16.57	18.67	2.1	64
1055	2403	2010\VJ0060.xlsx	7	45	0	0	0	1.8	11.9	0	0.8	Shinichi	0	14	88.1	13.7	74.4	0.8	31	5	26	8.1	1.23	6.87	27.5
1056	2406	2010\VJ0064.xlsx	43	18	0	0	0.2	6.7	20.4	0.6	0.1	Shinichi	0.2	27	75.10000153	26.9	48.2	0.7	14	34	20	16.3	5.35	10.95	45
1057	2408	2010\VJ0066.xlsx	29	15	0	0	0.6	10.4	7.1	2.8	0.9	Shinichi	0.8	20	88.8	16.9	71.9	3.5	10	20	10	4.8	7.03	2.23	46.5
1058	2409	2010\VJ0067.xlsx	59	17	0	0	0.9	15.5	19.9	2.2	9.2	Shinichi	0.9	27	88.49999695	34.5	54	11.4	12	40	28	13.49	10.51	2.98	36
1059	2410	2010\VJ0068.xlsx	28	15	1	0	0.6	3.5	8.9	0.9	0.3	Shinichi	1.5	25	88.49999847	11.8	76.7	0.3	10	19	9	6.03	2.37	3.66	59.5
1060	2412	2010\VJ0070.xlsx	17	0	0	0	0	7.5	0	0.1	0	Shinichi	0	0	63.60000305	7.5	56.1	0.1	0	16	16	0	7.08	7.08	0
1061	2415	2010\VJ0073.xlsx	41	29	NA	NA	0.4	6	6.4	NA	NA	Issie	NA	33	88.5	12	76.5	NA	20	28	8	4.34	4.07	0.27	47.8
1062	2420	2010\VJ0079.xlsx	30	19	0	0	1.2	9.1	14.6	0.2	0.3	Shinichi	1.4	20	88	22.5	65.5	0.3	13	20	7	9.95	6.2	3.75	41.7
1063	2424	2010\VJ0083.xlsx	17	10	NA	NA	0	3.8	3.8	NA	NA	Issie	NA	16	78.9	7.6	71.3	NA	8	13	5	2.89	2.89	0	61.5
1064	2425	2010\VJ0084.xlsx	14	11	NA	NA	0	5.9	11.2	NA	NA	Issie	NA	11	84.2	17.1	67.1	NA	8	10	2	7.98	4.2	3.78	45.8
1065	2441	2010\VJ0102.xlsx	17	27	NA	NA	0	15.3	10.6	NA	NA	Issie	NA	26	87.4	25.9	61.5	NA	19	12	7	7.28	10.5	3.22	60.5
1066	2442	2010\VJ0103.xlsx	33	10	NA	NA	0.8	12.3	21.1	NA	NA	Issie	NA	17	88.9	32.6	56.3	NA	7	22	15	14.24	8.3	5.94	40.5
1067	2444	2010\VJ0105.xlsx	35	31	NA	NA	0.3	21.2	10.3	NA	NA	Issie	NA	32	88.6	31.2	57.4	NA	21	24	3	6.98	14.36	7.38	49.2
1068	2446	2010\VJ0107.xlsx	22	9	NA	NA	0.2	12.3	18.5	NA	NA	Issie	NA	16	86.6	30.6	56	NA	6	15	9	12.82	8.52	4.3	53.3
1069	2447	2010\VJ0108.xlsx	3	5	NA	NA	0	7.5	9	NA	NA	Issie	NA	4	28.20000038	16.5	11.7	NA	11	6	5	19.15	15.96	3.19	57.1
1070	2448	2010\VJ0170.xlsx	35	45	NA	NA	1.3	4.6	18.9	NA	NA	Issie	NA	34	85.8	22.2	63.6	NA	31	24	7	13.22	3.22	10	43
1071	2449	2010\VJ0109.xlsx	43	12	NA	NA	2	31.1	20.5	NA	NA	Issie	NA	22	90	49.6	40.4	NA	8	29	21	13.67	20.73	7.06	40.7
1072	2450	2010\VJ0110.xlsx	7	4	NA	NA	1.4	18	64.1	NA	NA	Issie	NA	5	87.3	80.7	6.6	NA	3	5	2	44.05	12.37	31.68	50
1073	2452	2010\VJ0112.xlsx	10	3	NA	NA	0.4	4.3	9.8	NA	NA	Issie	NA	6	25.59999924	13.7	11.9	NA	7	23	16	22.97	10.08	12.89	50
1074	2453	2010\VJ0113.xlsx	21	18	NA	NA	0	8.7	13.6	NA	NA	Issie	NA	28	84.9	22.3	62.6	NA	13	15	2	9.61	6.15	3.46	73.7
1075	2455	2010\VJ0115.xlsx	25	45	NA	NA	0.3	19	11.9	NA	NA	Issie	NA	38	86.3	30.6	55.7	NA	31	17	14	8.27	13.21	4.94	55.1
1076	2456	2010\VJ0116.xlsx	28	18	NA	NA	0	4	18.8	NA	NA	Issie	NA	25	87.6	22.8	64.8	NA	12	19	7	12.88	2.74	10.14	55.6
1077	2457	2010\VJ0165.xlsx	2	12	NA	NA	0	0.3	39.8	NA	NA	Issie	NA	4	80.7	40.1	40.6	NA	9	1	8	29.59	0.22	29.37	30.8
1078	2459	2010\VJ0118.xlsx	34	14	NA	NA	1.7	18.8	6.6	NA	NA	Issie	NA	18	86.8	23.7	63.1	NA	10	24	14	4.56	13	8.44	38.3
1079	2461	2010\VJ0120.xlsx	11	6	NA	NA	1.3	43.4	29.2	NA	NA	Issie	NA	10	72.8	71.3	1.5	NA	5	9	4	24.07	35.77	11.7	62.5
1080	2465	2010\VJ0124.xlsx	15	14	NA	NA	1	6.7	45.3	NA	NA	Issie	NA	19	84.89999847	51	33.9	NA	10	11	1	32.01	4.73	27.28	67.9
1081	2467	2010\VJ0126.xlsx	2	3	NA	NA	0.4	0.4	38.4	NA	NA	Issie	NA	2	68.5	38.4	30.1	NA	3	2	1	33.64	0.35	33.29	50
1082	2469	2010\VJ0128.xlsx	32	0	NA	NA	0	18.5	0	NA	NA	Issie	NA	0	85.9	18.5	67.4	NA	0	22	22	0	12.92	12.92	0
1083	2470	2010\VJ0129.xlsx	35	16	NA	NA	0.2	19.5	11.1	NA	NA	Issie	NA	24	84.4	30.4	54	NA	11	25	14	7.89	13.86	5.97	48
1084	2473	2010\VJ0132.xlsx	14	33	NA	NA	0.6	3.7	25.7	NA	NA	Issie	NA	18	65.6	28.8	36.8	NA	30	13	17	23.51	3.38	20.13	39.1
1085	2475	2010\VJ0134.xlsx	1	9	NA	NA	0	0.3	36.3	NA	NA	Issie	NA	2	83.4	36.6	46.8	NA	6	1	5	26.12	0.22	25.9	22.2
1086	2476	2010\VJ0135.xlsx	13	41	NA	NA	0.1	6.4	18.5	NA	NA	Issie	NA	24	87.69999847	24.8	62.9	NA	28	9	19	12.66	4.38	8.28	45.3
1087	2480	2010\VJ0139.xlsx	35	14	NA	NA	2.4	9.9	60.3	NA	NA	Issie	NA	25	89	67.8	21.2	NA	9	24	15	40.65	6.67	33.98	52.1
1088	2481	2010\VJ0140.xlsx	27	25	NA	NA	0.1	9.9	12.3	NA	NA	Issie	NA	31	88.7	22.1	66.6	NA	17	18	1	8.32	6.7	1.62	60.8
1089	2482	2010\VJ0141.xlsx	26	14	NA	NA	0.6	4	23.2	NA	NA	Issie	NA	24	76.4	26.6	49.8	NA	11	20	9	18.22	3.14	15.08	61.5
1090	2484	2010\VJ0143.xlsx	21	9	NA	NA	0	3.5	5.9	NA	NA	Issie	NA	17	79.9	9.4	70.5	NA	7	16	9	4.43	2.63	1.8	58.6
1091	2485	2010\VJ0144.xlsx	8	8	NA	NA	0.4	18.8	11.3	NA	NA	Issie	NA	8	73.6	29.7	43.9	NA	7	7	0	9.21	15.33	6.12	53.3
1092	2489	2010\VJ0148.xlsx	16	27	NA	NA	0.2	4.5	35.3	NA	NA	Issie	NA	26	88.1	39.6	48.5	NA	18	11	7	24.04	3.06	20.98	61.9
1093	2490	2010\VJ0149.xlsx	7	8	NA	NA	2.2	29.9	35.5	NA	NA	Issie	NA	12	88.3	63.2	25.1	NA	5	5	0	24.12	20.32	3.8	85.7
1094	2491	2010\VJ0150.xlsx	14	16	NA	NA	0.8	2.6	35.7	NA	NA	Issie	NA	19	87.6	37.5	50.1	NA	11	10	1	24.45	1.78	22.67	65.5
1095	2492	2010\VJ0151.xlsx	19	15	NA	NA	0.3	1.5	8.6	NA	NA	Issie	NA	19	82.7	9.8	72.9	NA	11	14	3	6.24	1.09	5.15	57.6
1096	2494	2010\VJ0153.xlsx	23	9	NA	NA	3	18.1	38.3	NA	NA	Issie	NA	17	86.7	53.4	33.3	NA	6	16	10	26.51	12.53	13.98	54.8
1097	2495	2010\VJ0154.xlsx	6	16	NA	NA	1.8	30.7	15.2	NA	NA	Issie	NA	11	86.9	44.1	42.8	NA	11	4	7	10.49	21.2	10.71	52.4
1098	2499	2010\VJ0157.xlsx	10	41	NA	NA	0.8	1.4	22.3	NA	NA	Issie	NA	14	87	22.9	64.1	NA	28	7	21	15.38	0.97	14.41	28
1099	2500	2010\VJ0158.xlsx	15	8	NA	NA	0.1	19	30.5	NA	NA	Issie	NA	16	87.8	49.4	38.4	NA	5	10	5	20.84	12.98	7.86	72.7
1100	2501	2010\VJ0159.xlsx	15	13	NA	NA	0	4.1	5.3	NA	NA	Issie	NA	20	88.9	9.4	79.5	NA	9	10	1	3.58	2.77	0.81	74.1
1101	2504	2010\VJ0162.xlsx	11	12	NA	NA	0.4	8.8	36	NA	NA	Issie	NA	18	87.2	44.4	42.8	NA	8	8	0	24.77	6.06	18.71	81.8
1102	2505	2010\VJ0163.xlsx	18	24	NA	NA	0.5	4.9	18.8	NA	NA	Issie	NA	29	85.7	23.2	62.5	NA	17	13	4	13.16	3.43	9.73	70.7
1103	2507	2010\VJ0166.xlsx	9	12	NA	NA	0.8	36.2	48.6	NA	NA	Issie	NA	16	85.8	84	1.8	NA	8	6	2	33.99	25.31	8.68	80
1104	2508	2010\VJ0167.xlsx	12	13	NA	NA	0	18.5	21.1	NA	NA	Issie	NA	18	88.5	39.6	48.9	NA	9	8	1	14.31	12.54	1.77	75
1105	2509	2010\VJ0168.xlsx	16	9	NA	NA	5.6	33.5	51.3	NA	NA	Issie	NA	12	88.8	79.2	9.6	NA	6	11	5	34.66	22.64	12.02	50
1106	2510	2010\VJ0169.xlsx	5	5	NA	NA	0.2	41.3	38.4	NA	NA	Issie	NA	8	84.2	79.5	4.7	NA	4	4	0	27.36	29.43	2.07	88.9
1107	2511	2011\VK0001.xlsx	37	27	3	0	1.6	12.4	28.3	3.4	0.1	Shinichi	3	37	88.3	39.1	49.2	2.1	18	25	7	19.23	8.43	10.8	58.7
1108	2512	2011\VK0003.xlsx	11	16	4	1	0.2	22.7	18.1	5.9	2.4	Shinichi	0.7	22	88	40.6	47.4	7.8	11	8	3	12.34	15.48	3.14	84.6
1109	2513	2011\VK0005.xlsx	NA	NA	NA	NA	NA	NA	NA	NA	NA	Shinichi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1110	2514	2011\VK0006.xlsx	37	18	0	0	0.4	21.8	36.3	0.1	0.7	Shinichi	0.4	28	90	57.7	32.3	0.8	12	25	13	24.2	14.53	9.67	51.9
1111	2515	2011\VK0007.xlsx	21	13	0	0	0.3	11	13.1	0.3	0.6	Shinichi	0.3	22	87.8	23.8	64	0.9	9	14	5	8.95	7.52	1.43	66.7
1112	2516	2011\VK0010.xlsx	12	24	7	0	0.4	3	30.5	3.2	1.9	Shinichi	3.45	16	85.4	33.1	52.3	2.05	17	8	9	21.43	2.11	19.32	45.7
1113	2520	2011\VK0017.xlsx	6	31	4	2	0	9.7	22.3	5.2	2.3	Shinichi	0.4	11	88.5	32	56.5	7.1	21	4	17	15.12	6.58	8.54	30.6
1114	2521	2011\VK0019.xlsx	18	10	6	1	1.7	16.3	43.2	13.1	1.2	Shinichi	3.9	20	86.1	57.8	28.3	12.1	7	13	6	30.1	11.36	18.74	74.1
1115	2522	2011\VK0020.xlsx	21	15	2	2	1.4	3.1	38	8.4	1.2	Shinichi	7.2	14	82.8	39.7	43.1	3.8	11	15	4	27.54	2.25	25.29	40
1116	2523	2011\VK0021.xlsx	10	27	2	1	0	5.3	22.9	2.3	1.4	Shinichi	0	20	89.2	28.2	61	3.7	18	7	11	15.4	3.57	11.83	55.6
1117	2524	2011\VK0022.xlsx	7	7	4	0	0.1	39.2	37.8	3	1.1	Shinichi	0.8	9	87.9	76.9	11	3.4	5	5	0	25.8	26.76	0.96	69.2
1118	2525	2011\VK0024.xlsx	7	10	7	1	0	2.8	8.7	0.7	0.2	Shinichi	0.4	12	37.60000153	11.5	26.1	0.5	16	11	5	13.88	4.47	9.41	75
1119	2526	2011\VK0025.xlsx	17	19	0	0	0.7	10	34.4	1.3	1.6	Shinichi	1.4	29	88.7	43.7	45	2.2	13	11	2	23.27	6.76	16.51	82.9
1120	2527	2011\VK0026.xlsx	27	18	1	0	0.1	6.6	8.3	1.8	0.5	Shinichi	0.3	27	86	14.8	71.2	2.1	13	19	6	5.79	4.6	1.19	61.4
1121	2528	2011\VK0027.xlsx	3	1	8	0	0	1.2	0.4	4.8	0	Shinichi	0.2	2	65.4	1.6	63.8	4.6	1	3	2	0.37	1.1	0.73	66.7
1122	2529	2011\VK0028.xlsx	11	20	1	0	0	10.9	34.7	1	0.8	Shinichi	0.3	18	88.9	45.6	43.3	1.5	13	7	6	23.42	7.36	16.06	60
1123	2530	2011\VK0029.xlsx	5	10	7	3	0	1.1	9.4	1.4	2.4	Shinichi	0.3	9	89.5	10.5	79	3.5	7	3	4	6.3	0.74	5.56	64.3
1124	2531	2011\VK0031.xlsx	11	17	2	0	1.3	5.3	10.4	0.3	0.7	Shinichi	1.6	16	41.69000015	14.4	27.3	0.7	24	16	8	14.97	7.63	7.34	59.3
1125	2532	2011\VK0034.xlsx	12	16	2	0	0.1	24.2	29.8	2.3	0.2	Shinichi	1.2	20	90	53.9	36.1	1.4	11	8	3	19.87	16.13	3.74	74.1
1126	2533	2011\VK0037.xlsx	12	12	3	1	1.6	6.2	55.7	1.9	0.9	Shinichi	3.4	16	85.2	60.3	24.9	1	8	8	0	39.23	4.37	34.86	69.6
1127	2534	2011\VK0038.xlsx	14	14	2	2	0.3	2.9	35.1	2.3	4	Shinichi	1.2	18	89.2	37.7	51.5	5.4	9	9	0	23.61	1.95	21.66	66.7
1128	2535	2011\VK0039.xlsx	2	19	6	4	0	0.3	9.1	1.7	8.9	Shinichi	0.1	4	85	9.4	75.6	10.5	13	1	12	6.42	0.21	6.21	20
1129	2536	2011\VK0040.xlsx	11	7	0	2	0.1	13.7	16.7	0.1	2.7	Shinichi	0.2	11	57.40000076	30.3	27.1	2.7	7	11	4	17.46	14.32	3.14	64.7
1130	2537	2011\VK0041.xlsx	11	17	1	0	0.1	1.9	56.7	1.7	0.1	Shinichi	1.1	20	90	58.5	31.5	0.8	11	7	4	37.8	1.27	36.53	74.1
1131	2538	2011\VK0042.xlsx	22	15	5	0	1.5	23.7	19.7	1.4	0	Shinichi	1.9	23	88.1	41.9	46.2	1	10	15	5	13.42	16.14	2.72	63.9
1132	2539	2011\VK0044.xlsx	0	8	0	0	0	0	64	0	0.1	Shinichi	0	0	84.9	64	20.9	0.1	6	0	6	45.23	0	45.23	0
1133	2540	2011\VK0045.xlsx	11	16	3	0	0.3	11	38.4	2.6	1	Shinichi	0.6	17	87.6	49.1	38.5	3.3	11	8	3	26.3	7.53	18.77	65.4
1134	2541	2011\VK0046.xlsx	14	20	1	0	0.2	25.2	13.6	2.4	0.3	Shinichi	1.1	20	83.9	38.6	45.3	1.8	14	10	4	9.73	18.02	8.29	60.6
1135	2542	2011\VK0047.xlsx	29	30	2	0	0.4	14.8	22.8	1.9	0.1	Shinichi	1.3	38	83.4	37.2	46.2	1.1	22	21	1	16.4	10.65	5.75	65.5
1136	2543	2011\VK0048.xlsx	14	11	2	0	0.6	16.1	10.6	1.2	0	Shinichi	1	20	82.1	26.1	56	0.8	8	10	2	7.75	11.77	4.02	83.3
1137	2544	2011\VK0050.xlsx	12	11	0	2	0.9	27.9	27.6	5.7	2.1	Shinichi	1.6	13	89	54.6	34.4	7.1	7	8	1	18.61	18.81	0.2	59.1
1138	2558	2011\VK0051.xlsx	9	9	3	1	0	20.8	13.8	7.4	0.2	Shinichi	0.2	15	81.7	34.6	47.1	7.4	7	7	0	10.13	15.28	5.15	88.2
1139	2559	2011\VK0052.xlsx	18	11	NA	NA	0.6	3.8	18.4	NA	NA	Issie	NA	16	85.2	21.6	63.6	NA	8	13	5	12.96	2.68	10.28	57.1
1140	2563	2011\VK0056.xlsx	21	13	3	4	0	5.5	4.7	0.1	1	Shinichi	0.1	22	84.8	10.2	74.6	1	9	15	6	3.33	3.89	0.56	66.7
1141	2568	2011\VK0061.xlsx	11	16	0	0	2.6	8.3	55.9	2.3	0.2	Shinichi	3.9	12	86.8	61.6	25.2	1.2	11	8	3	38.64	5.74	32.9	46.2
1142	2569	2011\VK0062.xlsx	25	12	0	0	0.1	4.3	7.2	1	0.7	Shinichi	0.1	15	88.5	11.4	77.1	1.7	8	17	9	4.88	2.92	1.96	41.7
1143	2570	2011\VK0063.xlsx	13	14	3	0	0.3	8.4	23	1.2	0	Shinichi	0.6	18	88.1	31.1	57	0.9	10	9	1	15.66	5.72	9.94	69.2
1144	2574	2011\VK0067.xlsx	31	35	6	5	0.8	5.3	12.4	1.9	4.7	Shinichi	1.7	39	90	16.9	73.1	5.7	23	21	2	8.27	3.53	4.74	60
1145	2576	2011\VK0069.xlsx	22	23	4	0	1.3	6.5	8.6	5	1.8	Shinichi	2	18	87.7	13.8	73.9	6.1	16	15	1	5.88	4.45	1.43	40.9
1146	2577	2011\VK0070.xlsx	8	11	1	0	0.4	12.5	36.5	3	0.2	Shinichi	1.1	12	86.4	48.6	37.8	2.5	8	6	2	25.35	8.68	16.67	66.7
1147	2579	2011\VK0072.xlsx	5	11	1	0	0.5	2.8	35	0	0.3	Shinichi	0.5	5	86.6	37.3	49.3	0.3	8	3	5	24.25	1.94	22.31	33.3
1148	2580	2011\VK0073.xlsx	4	14	NA	NA	0	0.9	14.9	NA	NA	Issie	NA	6	84.7	15.8	68.9	NA	10	3	7	10.55	0.64	9.91	35.3
1149	2581	2011\VK0074.xlsx	9	13	NA	NA	0.3	8.9	23.7	NA	NA	Issie	NA	9	86.7	32.3	54.4	NA	9	6	3	16.4	6.16	10.24	42.9
1150	2582	2011\VK0075.xlsx	8	13	NA	NA	0	1.8	16.8	NA	NA	Issie	NA	11	82.6	18.6	64	NA	9	6	3	12.2	1.31	10.89	55
1151	2583	2011\VK0076.xlsx	10	19	NA	NA	0	1.6	11.6	NA	NA	Issie	NA	17	85.6	13.2	72.4	NA	13	7	6	8.13	1.12	7.01	60.7
1152	2586	2011\VK0079.xlsx	14	27	NA	NA	0.1	3	35.6	NA	NA	Issie	NA	22	87	38.5	48.5	NA	19	10	9	24.55	2.07	22.48	55
1153	2587	2011\VK0080.xlsx	19	26	NA	NA	1.3	8.4	31.8	NA	NA	Issie	NA	19	89.1	38.9	50.2	NA	18	13	5	21.41	5.66	15.75	43.2
1154	2588	2011\VK0081.xlsx	11	23	NA	NA	0.4	11.6	11.5	NA	NA	Issie	NA	15	86	22.7	63.3	NA	16	8	8	8.02	8.09	0.07	45.5
1155	2589	2011\VK0082.xlsx	27	33	NA	NA	0	13.4	14.7	NA	NA	Issie	NA	33	87.3	28.1	59.2	NA	23	19	4	10.1	9.21	0.89	55.9
1156	2590	2011\VK0083.xlsx	29	33	NA	NA	1.9	8.8	17	NA	NA	Issie	NA	23	89	23.9	65.1	NA	22	20	2	11.46	5.93	5.53	37.7
1157	2591	2011\VK0084.xlsx	22	10	NA	NA	0.1	4.1	7.1	NA	NA	Issie	NA	17	72.3	11.1	61.2	NA	8	18	10	5.89	3.4	2.49	54.8
1158	2592	2011\VK0085.xlsx	6	11	NA	NA	0.9	17.6	20.4	NA	NA	Issie	NA	11	88	37.1	50.9	NA	8	4	4	13.91	12	1.91	68.8
1159	2593	2011\VK0086.xlsx	20	18	NA	NA	0	4	7.7	NA	NA	Issie	NA	30	81.2	11.7	69.5	NA	13	15	2	5.69	2.96	2.73	81.1
1160	2594	2011\VK0087.xlsx	18	21	NA	NA	0	1.8	9.2	NA	NA	Issie	NA	13	84.3	11	73.3	NA	15	13	2	6.55	1.28	5.27	34.2
1161	2595	2011\VK0088.xlsx	3	1	NA	NA	0	0.5	0.7	NA	NA	Issie	NA	2	10	1.2	8.8	NA	6	18	12	4.2	3	1.2	66.7
1162	2598	2011\VK0091.xlsx	10	9	NA	NA	4.1	9.6	58.4	NA	NA	Issie	NA	12	88.4	63.9	24.5	NA	6	7	1	39.64	6.52	33.12	66.7
1163	2599	2011\VK0092.xlsx	8	25	NA	NA	1.6	2.7	21.5	NA	NA	Issie	NA	16	90	22.6	67.4	NA	17	5	12	14.33	1.8	12.53	50
1164	2600	2011\VK0093.xlsx	36	28	NA	NA	0	0.2	2.5	NA	NA	Issie	NA	23	87.3	2.7	84.6	NA	19	25	6	1.72	0.14	1.58	36.5
1165	2602	2011\VK0097.xlsx	24	6	NA	NA	1.6	11.6	22.4	NA	NA	Issie	NA	11	73.6	32.4	41.2	NA	5	20	15	18.26	9.46	8.8	37.9
1166	2606	2011\VK0101.xlsx	37	25	0	1	3.3	10.6	26.9	0	5.4	Shinichi	3.3	34	89	34.2	54.8	5.4	17	25	8	18.13	7.15	10.98	55.7
1167	2607	2011\VK0102.xlsx	11	18	1	0	0.8	6.5	9.4	1.5	0.6	Shinichi	2	17	88.4	15.1	73.3	0.9	12	7	5	6.38	4.41	1.97	60.7
1168	2608	2011\VK0103.xlsx	15	14	5	0	0.2	10.2	12.9	1.7	0.1	Shinichi	0.4	15	87.4	22.9	64.5	1.6	10	10	0	8.86	7	1.86	53.6
1169	2612	2011\VK0105.xlsx	6	24	3	0	0.4	7.7	26.3	2.3	1.2	Shinichi	1	6	83.2	33.6	49.6	2.9	17	4	13	18.97	5.55	13.42	20.7
1170	2613	2011\VK0106.xlsx	12	11	0	0	0.8	4.5	25	0	0	Shinichi	0.8	10	76	28.7	47.3	0	9	9	0	19.74	3.55	16.19	45.5
1171	2616	2011\VK0109.xlsx	1	30	NA	NA	0	0	26.8	NA	NA	Issie	NA	1	85.5	26.8	58.7	NA	21	1	20	18.81	0	18.81	3.3
1172	2617	2011\VK0110.xlsx	16	17	NA	NA	0	8.8	29.6	NA	NA	Issie	NA	20	85.4	38.4	47	NA	12	11	1	20.8	6.18	14.62	62.5
1173	2619	2011\VK0112.xlsx	14	20	NA	NA	0.8	3.2	13.5	NA	NA	Issie	NA	18	88.4	15.9	72.5	NA	14	10	4	9.16	2.17	6.99	54.5
1174	2622	2011\VK0115.xlsx	NA	NA	NA	NA	NA	NA	NA	NA	NA	Issie	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1175	2623	2011\VK0116.xlsx	8	9	NA	NA	0.7	21	33.4	NA	NA	Issie	NA	12	88.1	53.7	34.4	NA	6	5	1	22.75	14.3	8.45	75
1176	2625	2011\VK0118.xlsx	22	22	NA	NA	1	5.4	43.8	NA	NA	Issie	NA	26	90	48.2	41.8	NA	15	15	0	29.2	3.6	25.6	60.5
1177	2626	2011\VK0119.xlsx	24	9	NA	NA	2.4	19.7	36.7	NA	NA	Issie	NA	15	90	54	36	NA	6	16	10	24.47	13.13	11.34	46.9
1178	2627	2011\VK0120.xlsx	42	17	NA	NA	0.8	14.6	19.4	NA	NA	Issie	NA	32	87.5	33.2	54.3	NA	12	29	17	13.3	10.01	3.29	55.2
1179	2632	2011\VK0125.xlsx	1	7	NA	NA	0	0.6	12.9	NA	NA	Issie	NA	2	77.4	13.5	63.9	NA	5	1	4	10	0.47	9.53	28.6
1180	2637	2011\VK0130.xlsx	21	26	NA	NA	0	1.9	3.2	NA	NA	Issie	NA	33	89	5.1	83.9	NA	18	14	4	2.16	1.28	0.88	71.7
1181	2638	2011\VK0131.xlsx	4	12	NA	NA	0.1	0.9	17.4	NA	NA	Issie	NA	5	79	18.2	60.8	NA	9	3	6	13.22	0.68	12.54	33.3
1182	2640	2011\VK0133.xlsx	10	28	NA	NA	0.1	8.8	15.4	NA	NA	Issie	NA	19	89.4	24.1	65.3	NA	19	7	12	10.34	5.91	4.43	51.4
1183	2641	2011\VK0134.xlsx	18	11	NA	NA	0	4.1	10.3	NA	NA	Issie	NA	16	61.89999924	14.4	47.5	NA	11	17	6	9.98	3.97	6.01	57.1
1184	2642	2011\VK0135.xlsx	13	14	NA	NA	0	1.3	23.1	NA	NA	Issie	NA	17	88.2	24.4	63.8	NA	10	9	1	15.71	0.88	14.83	65.4
1185	2645	2011\VK0137.xlsx	16	13	NA	NA	0.1	11.3	23.3	NA	NA	Issie	NA	22	88.9	34.5	54.4	NA	9	11	2	15.73	7.63	8.1	78.6
1186	2646	2011\VK0138.xlsx	24	21	NA	NA	0.1	10.4	15.1	NA	NA	Issie	NA	28	88.9	25.4	63.5	NA	14	16	2	10.19	7.02	3.17	63.6
1187	2647	2011\VK0139.xlsx	12	16	NA	NA	0.3	4.5	31.1	NA	NA	Issie	NA	21	88.8	35.3	53.5	NA	11	8	3	21.01	3.04	17.97	77.8
1188	2649	2011\VK0141.xlsx	26	22	NA	NA	0.9	21.2	43.52	NA	NA	Issie	NA	37	89.4	63.82	25.6	NA	15	17	2	29.21	14.23	14.98	78.7
1189	2658	2011\VK0150.xlsx	5	20	NA	NA	0.3	1.5	18	NA	NA	Issie	NA	10	88.6	19.2	69.4	NA	14	3	11	12.19	1.02	11.17	41.7
1190	2659	2011\VK0151.xlsx	17	24	NA	NA	0	2.9	11.7	NA	NA	Issie	NA	23	88.6	14.6	74	NA	16	12	4	7.92	1.96	5.96	57.5
1191	2664	2011\VK0157.xlsx	7	28	NA	NA	0.1	2.2	9.2	NA	NA	Issie	NA	14	85.2	11.3	73.9	NA	20	5	15	6.48	1.55	4.93	41.2
1192	2666	2011\VK0156.xlsx	11	18	NA	NA	0	7.5	5.5	NA	NA	Issie	NA	15	88.3	13	75.3	NA	12	7	5	3.74	5.1	1.36	53.6
1193	2670	2011\VK0162.xlsx	3	28	NA	NA	0	0.7	16.4	NA	NA	Issie	NA	6	82.8	17.1	65.7	NA	20	2	18	11.88	0.51	11.37	20
1194	2673	2011\VK0165.xlsx	46	18	NA	NA	0.1	1.9	11.6	NA	NA	Issie	NA	30	88.89999695	13.4	75.5	NA	12	31	19	7.83	1.28	6.55	47.6
1195	2679	2011\VK0171.xlsx	13	16	NA	NA	0	18.4	15.6	NA	NA	Issie	NA	19	87.6	34	53.6	NA	11	9	2	10.68	12.6	1.92	67.9
1196	2680	2011\VK0172.xlsx	12	14	NA	NA	0.1	1.9	27.1	NA	NA	Issie	NA	14	87.2	28.9	58.3	NA	10	8	2	18.65	1.31	17.34	56
1197	2681	2011\VK0173.xlsx	9	10	NA	NA	0.4	21.4	32.4	NA	NA	Issie	NA	17	82.9	53.4	29.5	NA	7	7	0	23.45	15.49	7.96	94.4
1198	2688	2011\VK0178.xlsx	17	24	NA	NA	0.5	6.3	23.2	NA	NA	Issie	NA	23	86.7	29	57.7	NA	17	12	5	16.06	4.36	11.7	57.5
1199	2690	2011\VK0181.xlsx	10	18	NA	NA	0	10.8	19	NA	NA	Issie	NA	16	88.1	29.8	58.3	NA	12	7	5	12.94	7.36	5.58	59.3
1200	2692	2011\VK0182.xlsx	12	24	NA	NA	0	9.9	21.8	NA	NA	Issie	NA	17	86.3	31.7	54.6	NA	17	8	9	15.16	6.88	8.28	48.6
