Filename,TstartFeedVisit,TendFeedVisit,Sex,Interval,DVDRef
2004\40027.xlsx,46.7,51.6,0,10.8,27
2004\40027.xlsx,51.5,60,1,10.1,27
2004\40027.xlsx,59.8,69.7,0,13.1,27
2004\40027.xlsx,69.6,73.5,1,18.1,27
2004\40027.xlsx,73.2,79.3,0,13.4,27
2004\40027.xlsx,79.4,83.9,1,9.8,27
2004\40027.xlsx,83.8,93,0,10.6,27
2004\40027.xlsx,92.9,93.7,1,13.5,27
2004\40030.xlsx,2.7,16.1,0,0,30
2004\40030.xlsx,3.5,3.7,1,0,30
2004\40030.xlsx,9.1,9.2,1,5.6,30
2004\40030.xlsx,9.8,9.8,1,0.7,30
2004\40030.xlsx,13.5,13.7,1,3.7,30
2004\40030.xlsx,16.1,29.3,1,2.6,30
2004\40030.xlsx,29,33.3,0,26.3,30
2004\40030.xlsx,33.5,42.1,0,4.5,30
2004\40030.xlsx,35.2,35.4,1,19.1,30
2004\40030.xlsx,42,43.9,1,6.8,30
2004\40030.xlsx,43.7,52.3,0,10.2,30
2004\40030.xlsx,52.4,52.9,1,10.4,30
2004\40030.xlsx,55.8,63,1,3.4,30
2004\40030.xlsx,62.8,69,0,19.1,30
2004\40030.xlsx,68.1,68.2,1,12.3,30
2004\40030.xlsx,69.3,77.7,0,6.5,30
2004\40030.xlsx,77.8,82.1,1,9.7,30
2004\40030.xlsx,81.6,87.1,0,12.3,30
2004\40030.xlsx,87.3,87.6,1,9.5,30
2004\40030.xlsx,87.8,91.6,1,0.5,30
2004\40030.xlsx,92.2,93.7,0,10.6,30
2004\40031.xlsx,26.7,35.2,1,0,31
2004\40031.xlsx,46.8,52.8,1,20.1,31
2004\40031.xlsx,66.7,67.2,0,0,31
2004\40031.xlsx,70.5,71.7,0,3.8,31
2004\40031.xlsx,89.5,93.7,1,42.7,31
2004\40032.xlsx,33.1,33.9,1,0,32
2004\40032.xlsx,35.7,36.3,1,2.6,32
2004\40032.xlsx,37,37.7,1,1.3,32
2004\40032.xlsx,38.3,39.3,1,1.3,32
