"DVDRef","Filename","MVisit1","FVisit1","MVisit2","FVisit2","ShareTime1","MTime1","FTime1","MTime2","FTime2","Protocol","ShareTime12","NbAlternation","NbSynchro_ChickFeedingEquanim","NbSynchro_LessConspicuous","NbSynchroFemaleStart","MmeanDuration","FmeanDuration","EffectiveTime","MFTime1","MFTime02","MFTime2","FVisit1RateH","MVisit1RateH","DiffVisit1Rate","MFVisit1RateH","FTime1RateH","MTime1RateH","DiffTime1Rate","AlternationValue","SynchronyFeedValue","SynchronyMvtValue","PropSynchroFemaleStart"
264,"2004\40264.xlsx",22,25,0,0,0,3.39999999999999,22.5,0.999999999999991,0.800000000000001,"Shinichi",0.2,33,7,24,4,0.154545454545454,0.9,84.9999969482422,25.9,59.1,1.6,18,16,2,33.1764717793713,15.88,2.4,13.48,71.7,15.2,52.2,57.1
265,"2004\40265.xlsx",22,12,1,0,0.3,4.50000000000002,35.2,0.300000000000004,1.00000000000002,"Shinichi",0.3,16,3,10,0,0.204545454545456,2.93333333333333,84.8999969482422,39.4,45.5,1.3,8,16,8,24.0282694149406,24.88,3.18,21.7,48.5,9.1,30.3,0
267,"2004\40267.xlsx",6,3,3,2,0,7.1,42.6,2.4,2,"Shinichi",0,5,0,1,0,1.18333333333333,14.2,91.1999969482422,49.7,41.5,4.4,2,4,2,5.92105282971074,28.03,4.67,23.36,62.5,0,12.5,NA
268,"2004\40268.xlsx",16,19,0,0,0.2,1.70000000000002,31.9,1.6,0.300000000000001,"Shinichi",0.9,24,3,15,3,0.106250000000001,1.67894736842105,90.1999969482422,33.4,56.8,1.2,13,11,2,23.2815972400199,21.22,1.13,20.09,70.6,8.8,44.1,100
269,"2004\40269.xlsx",20,38,11,0,0.5,9.49999999999999,4.60000000000005,30.7,2.2,"Shinichi",1.65,35,9,27,4,0.474999999999999,0.121052631578949,92.3999969482422,13.6,78.8,31.75,25,13,12,37.6623389062374,2.99,6.17,3.18,61.4,15.8,47.4,44.4
270,"2004\40270.xlsx",6,17,2,0,0.2,1.3,39.2,0.799999999999999,4.00000000000001,"Shinichi",0.2,10,1,4,1,0.216666666666667,2.30588235294118,90.8000030517578,40.3,50.5,4.8,11,4,7,15.1982373746549,25.9,0.86,25.04,45.5,4.5,18.2,100
272,"2004\40272.xlsx",11,12,1,0,0.1,40.7,24.4,3.8,1.8,"Shinichi",2.4,16,1,10,0,3.7,2.03333333333333,90.7999969482422,65,25.8,3.3,8,7,1,15.1982383962703,16.12,26.89,10.77,72.7,4.5,45.5,0
274,"2004\40274.xlsx",22,35,4,0,0.2,8.19999999999998,7.5,3.80000000000001,2.50000000000001,"Shinichi",0.4,30,10,26,4,0.372727272727272,0.214285714285714,89.3,15.5,73.8,6.1,24,15,9,38.2978723404255,5.04,5.51,0.47,53.6,17.9,46.4,40
275,"2004\40275.xlsx",11,9,0,0,1.9,23.6,58.4,2.8,0.300000000000001,"Shinichi",4.5,16,2,11,0,2.14545454545454,6.48888888888889,91.9999984741211,80.1,11.9,0.5,6,7,1,13.043478477204,38.09,15.39,22.7,84.2,10.5,57.9,0
276,"2004\40276.xlsx",3,30,1,0,0,0.400000000000013,5.40000000000002,0.199999999999992,3.59999999999997,"Shinichi",0,6,3,7,1,0.133333333333338,0.180000000000001,87.7999969482422,5.80000000000003,82,3.8,21,2,19,22.5512536312183,3.69,0.27,3.42,18.8,9.4,21.9,33.3
