"Filename","Tstart","Tend","State","Sex","Protocol","DVDRef"
"2004\40009.xlsx",36.8,37,"OF","1","Shinichi",9
"2004\40009.xlsx",39.3,39.5,"A","0","Shinichi",9
"2004\40009.xlsx",39.5,46.5,"IN","0","Shinichi",9
"2004\40009.xlsx",43.5,43.8,"OF","1","Shinichi",9
"2004\40009.xlsx",46.5,46.6,"A","0","Shinichi",9
"2004\40009.xlsx",46.6,52.1,"IN","0","Shinichi",9
"2004\40009.xlsx",50,50.3,"OF","1","Shinichi",9
"2004\40009.xlsx",52.1,52.2,"A","1","Shinichi",9
"2004\40009.xlsx",52.2,61.1,"IN","1","Shinichi",9
"2004\40009.xlsx",61,64.9,"IN","0","Shinichi",9
"2004\40009.xlsx",65.4,65.5,"A","0","Shinichi",9
"2004\40009.xlsx",65.5,76.2,"IN","0","Shinichi",9
"2004\40009.xlsx",67.2,68.3,"OF","1","Shinichi",9
"2004\40009.xlsx",76.2,76.2,"OF","1","Shinichi",9
"2004\40009.xlsx",76.2,76.4,"A","0","Shinichi",9
"2004\40009.xlsx",76.4,90.5,"IN","0","Shinichi",9
"2004\40009.xlsx",80.4,80.8,"OF","1","Shinichi",9
"2004\40009.xlsx",83.6,83.8,"OF","1","Shinichi",9
"2004\40009.xlsx",90.9,91.5,"IN","0","Shinichi",9
"2004\40009.xlsx",91.5,91.6,"A","1","Shinichi",9
"2004\40009.xlsx",91.6,93.7,"IN","1","Shinichi",9
"2004\40010.xlsx",2.9,3.1,"A","1","Shinichi",10
"2004\40010.xlsx",3.1,5,"IN","1","Shinichi",10
"2004\40010.xlsx",6.5,6.8,"A","1","Shinichi",10
"2004\40010.xlsx",6.8,7.4,"IN","1","Shinichi",10
"2004\40010.xlsx",7.1,7.5,"A","0","Shinichi",10
"2004\40010.xlsx",7.5,13.7,"IN","0","Shinichi",10
"2004\40010.xlsx",15.3,16,"A","0","Shinichi",10
"2004\40010.xlsx",16,17.9,"IN","0","Shinichi",10
"2004\40010.xlsx",17.6,18,"A","1","Shinichi",10
"2004\40010.xlsx",18,19.1,"IN","1","Shinichi",10
"2004\40010.xlsx",19.1,20.6,"A","1","Shinichi",10
"2004\40010.xlsx",20.6,24.3,"IN","1","Shinichi",10
"2004\40010.xlsx",24.3,25.1,"A","1","Shinichi",10
"2004\40010.xlsx",25.1,34.8,"IN","0","Shinichi",10
"2004\40010.xlsx",34.5,34.8,"A","1","Shinichi",10
"2004\40010.xlsx",34.8,38.4,"IN","1","Shinichi",10
"2004\40010.xlsx",38.4,38.7,"A","1","Shinichi",10
"2004\40010.xlsx",38.7,43.6,"IN","0","Shinichi",10
"2004\40010.xlsx",40.6,40.7,"A","1","Shinichi",10
"2004\40010.xlsx",43.3,44.3,"A","1","Shinichi",10
"2004\40010.xlsx",44.3,48.7,"IN","1","Shinichi",10
"2004\40010.xlsx",48.7,53.3,"A","1","Shinichi",10
"2004\40010.xlsx",53.3,53.4,"A","0","Shinichi",10
"2004\40010.xlsx",53.4,66.2,"IN","0","Shinichi",10
"2004\40010.xlsx",58,58.4,"A","1","Shinichi",10
"2004\40010.xlsx",66.1,66.3,"A","1","Shinichi",10
"2004\40010.xlsx",66.3,69.1,"IN","1","Shinichi",10
"2004\40010.xlsx",69.1,70,"A","1","Shinichi",10
"2004\40010.xlsx",70,73.9,"IN","1","Shinichi",10
"2004\40010.xlsx",73.9,74.9,"A","1","Shinichi",10
"2004\40010.xlsx",75,75.4,"A","0","Shinichi",10
"2004\40010.xlsx",75.4,80.2,"IN","0","Shinichi",10
"2004\40010.xlsx",79.4,80.3,"A","1","Shinichi",10
"2004\40010.xlsx",80.3,82,"IN","1","Shinichi",10
"2004\40010.xlsx",82,86.1,"A","1","Shinichi",10
"2004\40010.xlsx",86.1,90.3,"IN","1","Shinichi",10
"2004\40010.xlsx",90.6,92.8,"A","1","Shinichi",10
"2004\40010.xlsx",92.9,93.7,"IN","0","Shinichi",10
"2004\40010.xlsx",13,13.2,"A","1","Shinichi",10
"2004\40011.xlsx",7.7,8.1,"A","0","Shinichi",11
"2004\40011.xlsx",7.8,9.1,"IN","1","Shinichi",11
"2004\40011.xlsx",9,9.1,"A","0","Shinichi",11
"2004\40011.xlsx",7.6,7.8,"A","1","Shinichi",11
