"DVDRef","DVDdate","BroodRef","Filename","DVDInfoChickNb","DVDInfoAge","DVDtime","DVDInfoNotes","TapeLength","EffectTime","HatchingDate","ChickAge","ChickAgeCat","Sunrise","RelTimeMins","LogRelTimeMins","RelTimeHrs","Protocol"
86,2004-05-14,493,"2004\40086.xlsx",4,3,2016-05-16 08:50:00,NA,93.6999969482422,88.6999969482422,2004-05-12,2,"Age06",2016-05-16 05:25:00,205,2.33243845991561,3.42,"Shinichi"
87,2004-05-14,496,"2004\40087.xlsx",3,3,2016-05-16 09:00:00,NA,93.6999969482422,92.6999969482422,2004-05-12,2,"Age06",2016-05-16 05:25:00,215,2.35218251811136,3.58,"Shinichi"
88,2004-05-15,500,"2004\40088.xlsx",2,3,2016-05-16 06:50:00,NA,93.8000030517578,87.4000015258789,2004-05-13,2,"Age06",2016-05-16 05:23:00,87,1.98677173426624,1.45,"Shinichi"
89,2004-05-15,472,"2004\40089.xlsx",2,11,2016-05-16 06:30:00,NA,93.0999984741211,91.0999984741211,2004-05-05,10,"Age10",2016-05-16 05:23:00,67,1.88649072517248,1.12,"Shinichi"
90,2004-05-15,486,"2004\40090.xlsx",1,7,2016-05-16 06:40:00,NA,93.6999969482422,84.0999984741211,2004-05-09,6,"Age06",2016-05-16 05:23:00,77,1.93951925261862,1.28,"Shinichi"
91,2004-05-15,498,"2004\40091.xlsx",3,3,2016-05-16 07:00:00,"CHI 4->2C3D",93.6999969482422,87,2004-05-13,2,"Age06",2016-05-16 05:23:00,97,2.02938377768521,1.62,"Shinichi"
92,2004-05-15,497,"2004\40092.xlsx",5,3,2016-05-16 09:00:00,NA,93.6999969482422,92.3000030517578,2004-05-13,2,"Age06",2016-05-16 05:23:00,217,2.35602585719312,3.62,"Shinichi"
94,2004-05-15,501,"2004\40094.xlsx",1,3,2016-05-16 09:00:00,NA,93.6999969482422,84.8000030517578,2004-05-13,2,"Age06",2016-05-16 05:23:00,217,2.35602585719312,3.62,"Shinichi"
97,2004-05-16,502,"2004\40097.xlsx",4,3,2016-05-16 06:30:00,NA,93.6999969482422,89.1999969482422,2004-05-14,2,"Age06",2016-05-16 05:22:00,68,1.89209460269048,1.13,"Shinichi"
98,2004-05-16,505,"2004\40098.xlsx",4,3,2016-05-16 06:30:00,NA,93.5999984741211,91.5,2004-05-14,2,"Age06",2016-05-16 05:22:00,68,1.89209460269048,1.13,"Shinichi"
99,2004-05-16,475,"2004\40099.xlsx",2,11,2016-05-16 06:30:00,NA,93.6999969482422,89.1999969482422,2004-05-06,10,"Age10",2016-05-16 05:22:00,68,1.89209460269048,1.13,"Shinichi"
103,2004-05-17,491,"2004\40103.xlsx",2,7,2016-05-16 06:40:00,NA,93.5999984741211,92.6999969482422,2004-05-11,6,"Age06",2016-05-16 05:20:00,80,1.95424250943932,1.33,"Shinichi"
105,2004-05-17,489,"2004\40105.xlsx",1,7,2016-05-16 08:30:00,NA,93.6999969482422,93.6999969482422,2004-05-11,6,"Age06",2016-05-16 05:20:00,190,2.30102999566398,3.17,"Shinichi"
