"BroodRef","MeanTotalProRate","MeanA","MeanAdev","MeanAsim","MeanVisitRateDifference","MeanS","MeanMFVisit1","MeanSdev","MeanSsim","MeanEffectiveTime","MeanMVisit1RateH","MeanFVisit1RateH","MeanDVDInfoChickNb","BreedingYear","HatchingDayAfter0401","SocialMumID","SocialDadID","DadAge","MumAge","ParentsAge","MBroodNb","MPriorResidence","MnextNBsame","MwillDivorce","FBroodNb","FPriorResidence","FnextNBsame","FwillDivorce","PairID","PairBroodNb","PairIDYear","NbHatched","NbRinged","AvgMass","MinMass","AvgTarsus","sdMass","sdTarsus","MixedBroodYN","ResMassTarsus","sdResMassTarsus"
"1251",29.4122448979592,24.5,2.06,22.44,9,8,43,2.17,5.83,87.85,19,11,4,2011,53,5067,4868,1,1,1,1,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,"48685067",1,"486850672011",5,3,18.625,12.5,17.0250000953674,4.77729034086225,1.19268648929956,TRUE,-1.85085294609112,2.03872622851635
"1252",26.634296362507,21,4.78,16.22,8,5,39.5,1.265,3.735,89,9.5,17.5,2,2011,57,4979,4673,2,1,1.5,2,FALSE,FALSE,FALSE,1,FALSE,NA,NA,"46734979",1,"467349792011",2,2,22.25,21.5,18.8999996185303,1.06066017177982,0.707106781186548,FALSE,-2.54561155378296,0.589462657191416
"1254",14.5409606537703,7.5,0,7.5,8.5,1.5,20.5,0.46,1.04,83.8,3,11.5,3,2011,57,4723,3684,4,2,3,7,FALSE,FALSE,TRUE,3,FALSE,TRUE,FALSE,"36844723",1,"368447232011",3,3,24.2666664123535,21.7000007629395,18.4099992116292,2.55016262558123,0.675499859000165,TRUE,0.59995299925537,3.0131815741053
"1255",19.6390513473471,18.5,1.78,16.72,3.5,2,29,-0.0350000000000001,2.035,88.6,9,10.5,4.5,2011,58,4037,4649,2,3,2.5,2,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,"46494037",1,"464940372011",5,4,21.6500000953674,20.7000007629395,17.2750000953674,0.885060664395046,0.478713587081314,TRUE,0.598179188441161,1.09499061822445
"1256",27.5095454617469,21,-0.670000000000002,21.67,8.5,2.5,40,-1.535,4.035,87.05,10.5,17,3,2011,58,4380,3684,4,7,5.5,8,FALSE,FALSE,TRUE,15,TRUE,TRUE,FALSE,"36844380",3,"368443802011",3,3,25.5666669209798,24.8999996185303,18.6666666666667,0.907377375785666,0.665833155600651,TRUE,1.30862458511891,2.44453847018104
"1257",20.6913435174305,13.5,0.949999999999999,12.55,10.5,2,29.5,0.3,1.7,85.8,5,15.5,3,2011,58,4862,4847,1,1,1,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"48474862",1,"484748622011",4,2,21.4499998092651,20.8999996185303,17.6999998092651,0.777817729045015,0.424264338451741,FALSE,-0.580965971937814,1.76789205589962
"1258",37.7046836291852,33.5,6.34,27.16,10.5,8,56,0.87,7.13,89.1499984741211,24,13.5,3.5,2011,59,5066,NA,NA,1,NA,NA,NA,NA,NA,1,FALSE,TRUE,NA,"NA5066",1,"NA50662011",4,3,21.1333332061768,19.5,17.2000001271566,1.65025211681494,0.458258277065685,TRUE,0.254302614262857,0.624378167341589
"1259",21.4594384853349,15.5,-0.620000000000001,16.12,5.5,3,31,0.46,2.54,86.75,8,13.5,3,2011,64,NA,5044,1,NA,NA,1,FALSE,TRUE,NA,NA,NA,NA,NA,"5044NA",1,"5044NA2011",4,3,23.949999332428,19.2999992370605,18.2333329518636,5.14490043966429,NA,FALSE,0.690302340872111,NA
"1260",13.751507840772,17,4.28,12.72,0,2,19,0.89,1.11,82.9,7,7,4,2011,64,4854,4907,1,1,1,2,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"49074854",2,"490748542011",5,1,17.3000001907349,13,16.2000007629395,6.08111858794412,NA,FALSE,-1.27516002260088,NA
"1261",19.4661265995988,17.5,0.530000000000001,16.97,3.5,1.5,28.5,-0.965,2.465,87.85,8,11.5,3,2011,64,4084,4757,2,3,2.5,5,TRUE,TRUE,FALSE,8,TRUE,TRUE,FALSE,"47574084",5,"475740842011",3,3,23.8666667938232,23.7000007629395,18.7000001271566,0.208166630490122,0.608276378456314,TRUE,-0.468171563101473,1.35950558833888
"1262",14.9253731343284,12,0.48,11.52,6,0,20,-0.83,0.83,80.4,4,10,2,2011,65,4744,4098,3,2,2.5,3,TRUE,FALSE,FALSE,5,TRUE,FALSE,FALSE,"40984744",2,"409847442011",2,0,NA,NA,NA,NA,NA,NA,NA,NA
"1263",28.3737024221453,23,0.960000000000001,22.04,5,7,41,2.63,4.37,86.7,12,17,5,2011,67,4078,4071,3,3,3,5,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,"40714078",5,"407140782011",5,4,25.0999999046326,23.7999992370605,18.6000003814697,1.33416653984391,0.522812710139011,TRUE,0.99554814613718,0.252340475670606
"1264",26.2522184263468,22.5,3.32,19.18,6.5,5,37,0.199999999999999,4.8,85.7999992370605,11,15.5,3,2011,70,4062,4895,1,4,2.5,2,FALSE,TRUE,FALSE,8,FALSE,TRUE,FALSE,"48954062",2,"489540622011",3,3,25.0666669209798,21,18.8999996185303,3.54447945112791,0.10000038146975,TRUE,0.271055367196843,3.35970549031908
"1265",31.0188499164877,20.5,1.85,18.65,15.5,7,46,1.885,5.115,89,23,7.5,3,2011,70,4863,4852,1,1,1,2,FALSE,NA,NA,2,FALSE,NA,NA,"48524863",2,"485248632011",4,3,20.3999996185303,18.3999996185303,17.3666661580404,1.73493517927731,0.0577352471606529,TRUE,-0.863008149178147,1.60044553792002
"1266",25.1807591131154,17.5,-0.550000000000001,18.05,10,2.5,37.5,-0.265,2.765,89.35,17.5,7.5,3,2011,70,4898,4616,2,1,1.5,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"46164898",1,"461648982011",3,3,24.8200000762939,22.7999992370605,16.7799999237061,2.1221067471516,0.416332955557368,TRUE,4.90859612730684,1.9608286139659
"1267",25.3498895085763,17.5,-0.989999999999998,18.49,1.5,4.5,37,0.405,4.095,87.2,13.5,12,4,2011,71,4858,4765,1,1,1,2,TRUE,NA,NA,2,TRUE,FALSE,FALSE,"47654858",2,"476548582011",4,4,22.3571428571429,19.7000007629395,16.7714286531721,2.67628410273683,1.1888372233763,FALSE,2.46548601700077,2.10611462193209
"1268",28.8792805257696,27,5.72,21.28,2,10,42.5,4.94,5.06,88.35,15.5,13.5,4,2011,71,4759,3764,4,3,3.5,7,TRUE,TRUE,FALSE,6,TRUE,TRUE,FALSE,"37644759",4,"376447592011",4,4,18.850000222524,14.3000001907349,16.5500000317891,4.15240867221882,1.14127133386087,FALSE,-0.531513451504133,1.84578807730125
"1269",10.6403013182674,10,0.35,9.65,0,1,15,0.345,0.655,84.5,5.5,5.5,1,2011,71,4870,NA,NA,1,NA,NA,NA,NA,NA,1,FALSE,NA,NA,"NA4870",1,"NA48702011",2,1,26.8999996185303,26.8999996185303,17.8999996185303,NA,NA,TRUE,4.40825990808783,NA
"1270",21.1317115565157,15.5,0.899999999999999,14.6,6.5,1,28,-0.915,1.915,80.4000007629395,14,7.5,5,2011,72,4585,4735,2,2,2,2,TRUE,NA,NA,3,TRUE,NA,NA,"47354585",2,"473545852011",5,5,24.7,22.2999992370605,18.3600002288818,1.68077380161787,0.884873057598652,FALSE,1.14847783544927,0.577253841707002
"1271",42.4736337488016,32.5,0.289999999999999,32.21,11,13.5,63,2.065,11.435,88.8,27,16,5,2011,72,4110,4722,2,3,2.5,3,TRUE,TRUE,FALSE,9,TRUE,TRUE,FALSE,"47224110",2,"472241102011",5,5,21.599999836513,16.2999992370605,16.6714285441807,3.94879742580919,1.35388322761098,FALSE,1.93873043180714,1.52640808011352
"1272",15.4143337066069,13,0.710000000000001,12.29,3,0,23,-1.265,1.265,89.65,8,7,3,2011,72,4982,4885,1,1,1,2,TRUE,NA,NA,2,TRUE,FALSE,TRUE,"48854982",2,"488549822011",3,2,24.1499996185303,22.5,18.0999994277954,2.33345183843591,0.282842442734738,FALSE,1.19748597884849,1.67340333631944
"1273",20.8756968650125,13,0.619999999999999,12.38,9,2.5,30.5,0.49,2.01,87.95,15,6,3,2011,72,4049,4753,2,3,2.5,4,TRUE,TRUE,FALSE,6,TRUE,TRUE,FALSE,"47534049",2,"475340492011",3,3,21.9500002861023,19.5,17.4500002861023,2.4758841120357,0.550757250973191,FALSE,0.495001367162712,1.36179526033857
"1274",14.7816349384099,12,0.6,11.4,5,1,22,0.02,0.98,89.3,5,10,3,2011,72,4972,4673,2,1,1.5,3,FALSE,FALSE,FALSE,2,TRUE,FALSE,FALSE,"46734972",2,"467349722011",4,2,19.0666669209798,16,16.4000002543132,4.59619407771256,1.83847790082484,TRUE,0.0307335107857348,0.305874092915479
"1275",27.0574971815107,18,0.52,17.48,7,6,40,2.37,3.63,88.7,17,10,4,2011,73,4968,4998,1,1,1,2,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,"49984968",2,"499849682011",4,3,20.7000001271566,16,17.7000001271566,4.20357006567002,1.05356550201186,FALSE,-1.33096638642759,1.84724260753729
"1276",41.3352892953535,25,-0.850000000000001,25.85,13,7,53.5,-0.825,7.825,78.7500007629395,23,18,4,2011,73,4873,4960,1,1,1,2,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"49604873",2,"496048732011",4,4,21.6333332061768,19.5,16.865000406901,1.71852602707367,0.349034283350565,FALSE,1.52609903728667,1.13960474840041
"1277",27.8405491632401,22.5,1.8,20.7,6,6,41,1.85,4.15,88.4,11,17,4,2011,73,4967,4768,1,1,1,2,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,"47684967",1,"476849672011",4,4,21.9749999046326,20.8999996185303,18.9249997138977,0.736546126928119,0.287227678557,TRUE,-2.87820866494814,0.642076269616252
"1278",24.9661016949152,21,-0.98,21.98,2,5,37,0.77,4.23,89.25,13.5,11.5,4,2011,73,4663,4512,3,2,2.5,2,FALSE,TRUE,FALSE,3,TRUE,TRUE,FALSE,"45124663",2,"451246632011",5,4,25.1499996185303,24.7999992370605,18.5250000953674,0.435890536132121,0.403113005704201,FALSE,1.21833890742845,0.523194210772841
"1279",20.9847441271151,12,0.109999999999999,11.89,3,2,21.5,0.345,1.655,66.7,12,9,3.5,2011,73,5058,4717,2,1,1.5,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"47175058",1,"471750582011",5,3,25.4333330790202,25.2999992370605,18.2333335876465,0.152753105869831,0.230939887434215,FALSE,2.17363462270199,0.661994417420939
"1280",26.5660066051381,22,2.9,19.1,4.5,7,38,2.835,4.165,85.85,14.5,12,3.5,2011,73,4942,3496,5,1,3,10,TRUE,NA,NA,2,TRUE,NA,NA,"34964942",2,"349649422011",4,3,26.2000001271566,24.7000007629395,18.7666664123535,1.34536172420127,0.251661097315836,TRUE,1.71157119286668,1.90396523084745
"1281",21.6227667537603,22,2.34,19.66,3,5,31.5,2.61,2.39,87.45,12,9,3,2011,74,4872,4996,1,1,1,2,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"49964872",2,"499648722011",3,3,23.4666665395101,22.6000003814697,19.0999997456868,0.960902247829185,0.519615022029028,FALSE,-1.78971967589324,0.757280837475995
"1282",15.4468946275714,11.5,-0.0600000000000005,11.56,3.5,1.5,22.5,0.19,1.31,87.4,6,9.5,2,2011,74,5017,4706,2,1,1.5,2,TRUE,NA,NA,2,TRUE,NA,NA,"47065017",2,"470650172011",3,2,22.6999998092651,22.5,17.3499994277954,0.282842442734806,0.0707109478585355,FALSE,1.47539005208866,0.447855355103951
"1283",19.0459642294505,11.5,-0.450000000000001,11.95,6.5,2,28,0.155,1.845,88.15,6,12.5,2,2011,73,4619,5024,1,2,1.5,1,FALSE,NA,NA,5,FALSE,NA,NA,"50244619",1,"502446192011",2,1,27.7000007629395,27.7000007629395,19.3999996185303,NA,NA,FALSE,1.7524532874863,NA
"1284",21.5248372529471,16.5,-1.59,18.09,4.5,3.5,31.5,1.2,2.3,87.6,12.5,9,3,2011,75,4739,4686,2,2,2,3,TRUE,FALSE,TRUE,5,TRUE,FALSE,FALSE,"46864739",2,"468647392011",3,3,22.5666669209798,21.7000007629395,17.6333332061768,0.757187393194961,0.152752065326243,TRUE,0.689292449523176,1.1087624188095
"1285",25.2730115220523,18,4.32,13.68,9,3,27,0.55,2.45,64.0999984741211,8,17,3,2011,75,4947,4914,1,1,1,2,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"49144947",2,"491449472011",3,3,25.033332824707,24.2999992370605,18.2999998728434,0.873689916870803,0.519615022029028,TRUE,1.62004379102354,1.65038283979311
"1287",15.4686091976126,13.5,1.62,11.88,3.5,2,23,0.72,1.28,89.2,9.5,6,3.5,2011,76,5005,4060,3,1,2,5,TRUE,FALSE,TRUE,2,TRUE,TRUE,FALSE,"40605005",2,"406050052011",4,3,19.1000003814697,19.1000003814697,16.7999992370605,NA,NA,TRUE,-0.857479422440709,NA
"1289",17.2412844036697,14,2.37,11.63,4.5,1.5,24,-0.22,1.72,81.1,7,10.5,4,2011,77,4733,NA,NA,2,NA,NA,NA,NA,NA,2,TRUE,TRUE,NA,"NA4733",2,"NA47332011",4,3,21.0000004768372,16.7000007629395,16.7000000476837,4.10731034196821,1.90875166870665,TRUE,1.27290598968887,1.85922760200048
"1290",14.8898843229251,13.5,0.44,13.06,2,1,20.5,-0.755,1.755,77.75,6.5,8.5,2,2011,78,4933,4973,1,1,1,2,FALSE,TRUE,FALSE,2,FALSE,TRUE,FALSE,"49734933",2,"497349332011",2,2,24.4000005722046,24.1000003814697,18.5500001907349,0.424264338451809,0.0707109478584676,TRUE,0.410742845304747,0.259251426082822
"1291",21.2432864516938,18.5,0.550000000000001,17.95,2,5,31,2.28,2.72,87.5,12,10,4,2011,79,5046,5047,1,1,1,2,TRUE,NA,NA,2,TRUE,NA,NA,"50475046",2,"504750462011",4,4,21.8250002861023,19.7999992370605,18.0499997138977,1.86257051168027,0.699999809265149,TRUE,-1.01232042055552,1.3141766692628
"1292",22.9232595706585,21.5,1.25,20.25,2.5,5,33.5,1.17,3.83,87.8,12.5,10,3,2011,80,4985,NA,NA,1,NA,NA,NA,NA,NA,2,TRUE,NA,NA,"NA4985",2,"NA49852011",3,3,20.0666662851969,19.2999992370605,16.7999998728434,1.15902260962739,0.80000019073504,TRUE,0.109185016524166,2.28079779345895
"1293",22.2558081150571,20,-0.399999999999999,20.4,2.5,6,31.5,2.87,3.13,83.35,12,9.5,3,2011,81,4830,4070,3,1,2,7,TRUE,NA,NA,2,TRUE,NA,NA,"40704830",2,"407048302011",3,3,27.5999997456868,25.6000003814697,18.6666666666667,1.75783907314995,0.251661223633565,TRUE,3.34195740982591,1.82159915995542
"1295",24.1573301549464,11,0.15,10.85,8,3.5,19,1.5,2,46.95,14,10,4,2011,34,4968,4998,1,1,1,1,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"49984968",1,"499849682011",4,4,18.2999994754791,12.1999998092651,17.0999999046326,4.31354430744478,1.09544511501054,TRUE,-2.34864341943402,1.84180477777516
"1300",32.5752534544173,21.5,-3.04,24.54,3,6,47.5,-0.0449999999999999,6.045,87.55,14.5,17.5,5,2011,88,4059,3450,5,3,4,12,TRUE,TRUE,FALSE,8,TRUE,TRUE,FALSE,"34504059",8,"345040592011",5,5,23.6999998092651,22.3999996185303,18.6800003051758,1.92006954914861,0.884590099403033,TRUE,-0.588761520926184,2.22032874384318
"1302",6.76455566905005,4,0,4,3.5,0,10,-0.135,0.135,88.5,1.5,5,1.5,2011,89,4974,4060,3,1,2,6,FALSE,FALSE,FALSE,2,TRUE,NA,NA,"40604974",1,"406049742011",2,1,18.9000005722046,16.6000003814697,16.5,NA,NA,FALSE,-0.366319436418495,NA
"1303",16.8660661071141,13.5,-0.0999999999999996,13.6,5,1.5,25,0.17,1.33,88.9499984741211,6,11,3,2011,89,4944,4072,3,1,2,8,TRUE,NA,NA,1,FALSE,FALSE,FALSE,"40724944",1,"407249442011",3,3,21.8999996185303,20.8999996185303,17.7666664123535,1,0.251661097315836,TRUE,-0.284557472419138,0.803003836260857
"1304",11.3914227796782,11.5,2.17,9.33,2,0,16.5,-0.66,0.66,87.05,4.5,6.5,2.5,2011,90,5053,5009,1,1,1,2,FALSE,TRUE,FALSE,2,FALSE,TRUE,FALSE,"50095053",2,"500950532011",3,2,25.25,24.7000007629395,18.9500007629395,0.777816380345815,0.353553390593274,TRUE,0.339192217477884,0.0472450341398037
"1305",15.8010305192232,15,0.75,14.25,2.5,2,23,0.385,1.615,87.05,9,6.5,2,2011,91,4909,5644,1,1,1,1,FALSE,NA,NA,2,TRUE,NA,NA,"56444909",1,"564449092011",2,2,25,23.6000003814697,18.1999998092651,1.97989844784271,0.424264338451741,FALSE,1.81709829712684,0.989824120988102
"1306",14.7169459962756,13,0.879999999999999,12.12,4.5,0.5,22,-0.435,0.935,89.75,9.5,5,3,2011,91,3302,3359,5,5,5,13,TRUE,NA,NA,16,TRUE,NA,NA,"33593302",11,"335933022011",3,3,24.4833335876465,21.7000007629395,17.7000001271566,2.60576228053968,1.12694266540859,TRUE,2.45236707406231,2.54400067644781
"1307",27.7574353032059,15.5,-1.91,17.41,9.5,2.5,40.5,-1.74,4.24,88.15,18.5,9,2.5,2011,92,NA,4991,1,NA,NA,2,FALSE,FALSE,NA,NA,NA,NA,NA,"4991NA",2,"4991NA2011",4,2,26.8000001907349,25.7000007629395,18.2999992370605,1.5556341093909,0.707106781186548,FALSE,3.38671262181376,0.0944887195803389
"1308",26.6548197430752,20,2.7,17.3,11,4,39.5,0.38,3.62,88.95,19,8,3.5,2011,92,5067,4969,1,1,1,1,FALSE,TRUE,TRUE,2,FALSE,FALSE,FALSE,"49695067",1,"496950672011",4,3,25.8333333333333,25,18.7666670481364,1.11504886970571,0.404145707573985,FALSE,1.34490293428106,0.592859371535772
"1309",19.6814671814671,13.5,0.720000000000001,12.78,5.5,3.5,28.5,1.11,2.39,86.4,12.5,7,3,2011,94,4037,4649,2,3,2.5,3,FALSE,TRUE,NA,6,FALSE,NA,NA,"46494037",2,"464940372011",4,3,26.0666669209798,25.1000003814697,18.033332824707,1.00166529278232,0.251661097315836,TRUE,3.26774459104452,1.37010648087181
"1310",20.3199038439313,17,2.03,14.97,3.5,2.5,30,0.0149999999999997,2.485,88.25,10.5,10,2,2011,94,4744,4098,3,2,2.5,4,FALSE,NA,NA,6,FALSE,NA,NA,"40984744",3,"409847442011",3,2,22.2000002861023,21.5,15.0499999523163,1.20208206749682,0.0707102735089015,FALSE,6.27429456018004,1.36709340618607
"1311",27.5525605777494,14,1.38,12.62,15.5,4.5,38,0.99,3.51,83.8,6,21.5,3,2011,96,4723,3684,4,2,3,9,FALSE,FALSE,TRUE,4,TRUE,FALSE,FALSE,"36844723",2,"368447232011",3,3,24.483333269755,21.1000003814697,18.533332824707,2.51197101091562,0.550756962378237,TRUE,0.532475018149474,1.23332387199473
"1313",17.9457325934734,12,0.66,11.34,9,1.5,25.5,-0.34,1.84,85.25,4.5,13.5,3.5,2011,93,4965,4812,1,1,1,2,FALSE,NA,NA,2,FALSE,FALSE,FALSE,"48124965",2,"481249652011",4,3,20.2333335876465,18,16.9666665395101,2.07444792301045,0.60277177814533,FALSE,-0.108126321583058,0.791721962537343
"1314",37.4153481733427,34.5,7.81,26.69,9.5,13.5,55.5,4.745,8.755,88.9,22.5,15,3.5,2011,97,4854,4907,1,1,1,3,TRUE,NA,NA,3,TRUE,FALSE,FALSE,"49074854",3,"490748542011",4,3,19.0666662851969,13.1000003814697,17.1666673024495,5.63589624682939,0.55075725097324,TRUE,-1.73556975041536,4.35367853976793
"1315",23.8814277134632,23,6.26,16.74,5,6,35,2.68,3.32,87.9,9.5,14.5,2,2011,98,4380,3684,4,7,5.5,10,FALSE,NA,NA,16,TRUE,NA,NA,"36844380",4,"368443802011",2,2,26.574999332428,25.3999996185303,19.0500001907349,0.636395833328012,0.494973937611077,TRUE,1.4338056838579,0.518688258536106
"1316",18.6277777777778,20,3.28,16.72,2.5,1.5,27,-0.365,1.865,86.95,9,9.5,2.5,2011,101,4862,4847,1,1,1,2,TRUE,NA,NA,2,TRUE,FALSE,FALSE,"48474862",2,"484748622011",4,2,22,20.8999996185303,18,1.55563545809003,0.282843791434006,TRUE,-0.722127773633824,0.895583808613766
"1317",20.7088824660148,13,0.32,12.68,3.5,4,29.5,1.15,2.85,85.05,9.5,11,3,2011,102,4963,4868,1,1,1,2,FALSE,NA,NA,1,FALSE,TRUE,FALSE,"48684963",1,"486849632011",3,3,23.2833331425985,21.7000007629395,18.1666673024495,1.39999920981267,0.503322320948219,TRUE,0.17722526364576,0.407275256586476
"1318",16.2195892575039,14,0.629999999999999,13.37,2.5,2,23.5,0.415,1.585,87.2,9,7.5,2,2011,100,4721,NA,NA,2,NA,NA,NA,NA,NA,3,TRUE,NA,NA,"NA4721",2,"NA47212011",2,2,21.3499999046326,19.7999992370605,17.3499999046326,1.62634640594857,0.424262989752541,TRUE,0.125389048884359,0.636275226453594
"1319",36.9882618793548,27.5,0.190000000000001,27.31,4,8.5,55,0.61,7.89,89.25,20.5,16.5,5,2011,105,4078,4071,3,3,3,6,FALSE,NA,NA,9,FALSE,NA,NA,"40714078",6,"407140782011",5,4,24.8499999046326,23.1000003814697,18.2499995231628,1.3916415655801,0.675771343180696,TRUE,1.55190526873546,2.05458972614452
"1320",23.5887800677065,20.5,1.29,19.21,1.5,2.5,34.5,-0.92,3.42,87.95,11.5,12,3.5,2011,105,4084,4757,2,3,2.5,6,TRUE,FALSE,TRUE,9,TRUE,TRUE,TRUE,"47574084",6,"475740842011",4,3,23.0666662851969,21.7999992370605,18.4333337148031,1.10151438650857,0.251661223633565,TRUE,-0.653806832741927,0.77050067745406
"1321",15.8415058525783,14,1.31,12.69,5,1.5,23,0.325,1.175,87.1,5.5,10.5,2,2011,106,5025,5044,1,1,1,2,TRUE,NA,NA,2,FALSE,FALSE,FALSE,"50445025",1,"504450252011",2,2,22.4000000953674,21.8999996185303,17.1999998092651,0.141421895716935,NA,TRUE,1.52097023583473,NA
"1322",18.4929425271831,13,-0.359999999999999,13.36,5.5,3.5,27,1.475,2.025,87.75,12,6.5,2,2011,105,5066,NA,NA,1,NA,NA,NA,NA,NA,2,TRUE,NA,NA,"NA5066",2,"NA50662011",2,2,26.25,24.2000007629395,18.3500003814697,2.89913672390546,0.494975286310277,FALSE,2.7215162023397,1.74404948468171
"1323",31.28007852077,21.5,1.43,20.07,11.5,5.5,45.5,0.24,5.26,87.1,10,21.5,3,2011,109,4873,4960,1,1,1,3,TRUE,FALSE,TRUE,3,TRUE,TRUE,FALSE,"49604873",3,"496048732011",4,3,23.6999994913737,22.7999992370605,18.7333335876465,1.38924420673348,0.47258121283706,FALSE,-0.711634886614755,1.55653752199879
"1324",28,30,6.82,23.18,8,7,42,2.08,4.92,90,10,18,3,2011,109,4972,4673,2,1,1.5,4,FALSE,NA,NA,3,FALSE,NA,NA,"46734972",3,"467349722011",3,3,17.2999997138977,14.8999996185303,17.5666669209798,4.27356192510536,NA,FALSE,-4.42378418019344,NA
"1325",31.1073825503356,19.5,-0.59,20.09,12,6.5,46,1.195,5.305,88.7,9.5,21.5,4,2011,109,4062,4895,1,4,2.5,3,TRUE,TRUE,FALSE,9,TRUE,NA,NA,"48954062",3,"489540622011",4,4,25.2249999046326,24.7999992370605,18.8999996185303,0.403113399999709,0.374165636725409,FALSE,0.429388350849644,0.521054086927405
"1326",12.7374301675978,14,1.08,12.92,2,1,19,0.18,0.82,89.5,5,7,3,2011,109,4663,4512,3,2,2.5,3,TRUE,NA,NA,4,TRUE,FALSE,FALSE,"45124663",3,"451246632011",4,3,19.6750001907349,11.3999996185303,16.7750000953674,8.43386098419755,2.63122292547735,FALSE,-0.224884794521097,2.30510529494693
"1327",24.867325575734,19,1.53,17.47,10,3.5,36.5,0.45,3.05,88.35,7.5,17.5,3,2011,109,4967,4768,1,1,1,3,FALSE,FALSE,TRUE,3,FALSE,TRUE,FALSE,"47684967",2,"476849672011",5,3,21.8666667938232,17.7999992370605,18.2666664123535,3.59072952140524,0.450925708457992,TRUE,-1.46982621879648,2.83037281580787
"1328",30.2868248871291,18.5,0.77,17.73,11,7.5,43.5,2.535,4.965,86.35,20.5,9.5,3.5,2011,109,4049,4753,2,3,2.5,5,TRUE,NA,NA,7,TRUE,NA,NA,"47534049",3,"475340492011",4,3,18.1999998092651,15.6999998092651,17.9333330790202,3.26955640192969,0.404144842338789,FALSE,-4.36853592224116,2.75481148102188
"1329",11.0453061012908,7.5,0.199999999999999,7.3,2,0.5,13.5,0.25,0.25,73.55,4.5,6.5,1,2011,109,5008,NA,NA,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,NA,"NA5008",1,"NA50082011",1,1,25.6000003814697,25.6000003814697,18.7000007629395,NA,NA,TRUE,1.26516055978271,NA
"1330",13.5639324602929,13,1.05,11.95,1.5,2.5,19.5,1.4,1.1,85.55,7,6.5,2.5,2011,110,4905,4109,3,1,2,5,FALSE,NA,NA,3,FALSE,NA,NA,"41094905",3,"410949052011",3,2,25.9000005722046,24.2000007629395,18.3000001907349,0.707106781186548,0.282842442734806,FALSE,2.48671080613987,0.047058279069916
"1331",9.39101153537122,9.5,0.77,8.73,1.5,1,13.5,0.68,0.32,86.2,5,4.5,2,2011,110,4898,4616,2,1,1.5,2,TRUE,NA,NA,2,TRUE,FALSE,FALSE,"46164898",2,"461648982011",2,2,21.4249997138977,20.2999992370605,16.1000003814697,0.565686234168745,0.141421895717003,FALSE,3.0802275637535,0.235660409430612
"1334",13.7939298081647,13,1.25,11.75,2.5,1,20,-0.145,1.145,86.7,5.5,8,2,2011,111,4110,4722,2,3,2.5,4,TRUE,TRUE,FALSE,10,TRUE,NA,NA,"47224110",3,"472241102011",2,2,22.3000005086263,20.1000003814697,16.6333332061768,3.252691463198,1.9091888486833,TRUE,2.72649788051016,1.20264143396806
"1335",13.8022203844322,11,0.18,10.82,0.5,0.5,19.5,-0.425,0.925,84.75,6.5,7,3,2011,112,4968,4998,1,1,1,3,FALSE,NA,NA,3,FALSE,NA,NA,"49984968",3,"499849682011",4,3,22.1833337148031,19.6000003814697,17.6666666666667,2.34378604572982,0.702376699611909,TRUE,0.229163222282697,2.50016111062555
"1336",20.370112762744,13.5,-0.32,13.82,9.5,1.5,28.5,-0.14,1.64,83.95,15,5.5,3.5,2011,114,4961,4686,2,1,1.5,4,FALSE,NA,NA,2,FALSE,TRUE,FALSE,"46864961",1,"468649612011",4,3,24.3333333333333,23.2000007629395,19.1666666666667,1.3076696393047,0.305505171195872,TRUE,-1.07664492419783,1.93867756357384
"1338",21.0868363197676,21.5,3.19,18.31,2.5,4,30.5,1.36,2.64,86.95,9,11.5,3,2011,118,4947,4914,1,1,1,3,TRUE,NA,NA,3,TRUE,NA,NA,"49144947",3,"491449472011",3,3,22.9833335876465,19.5,17.2666670481364,2.89885055957565,0.51315999527036,TRUE,1.95071095360498,1.70257182126163
"1339",24.6158153189622,25,-0.580000000000002,25.58,4.5,3.5,36.5,-0.0549999999999997,3.555,89.05,14.5,10,3,2011,120,4933,4973,1,1,1,3,TRUE,NA,NA,3,TRUE,TRUE,FALSE,"49734933",3,"497349332011",3,3,24.3999996185303,23.3999996185303,17.966667175293,0.721110096391785,0.680685629665017,TRUE,1.75466640119793,1.33531472734642
"1340",18.705035971223,13,-0.359999999999999,13.36,1,0,26,-1.82,1.82,83.4,9,10,2,2011,120,5063,4758,2,1,1.5,1,FALSE,NA,NA,2,TRUE,NA,NA,"47585063",1,"475850632011",4,2,24.3500003814697,22.1000003814697,18.8999996185303,3.18198051533946,0.565684885469544,TRUE,-0.445611172313254,1.86188351110636
