"BroodRef","MeanTotalProRate","MeanA","MeanAdev","MeanAsim","MeanVisitRateDifference","MeanS","MeanMFVisit1","MeanSdev","MeanSsim","MeanEffectiveTime","MeanMVisit1RateH","MeanFVisit1RateH","MeanDVDInfoChickNb","BreedingYear","HatchingDayAfter0401","SocialMumID","SocialDadID","DadAge","MumAge","ParentsAge","MBroodNb","MPriorResidence","MnextNBsame","MwillDivorce","FBroodNb","FPriorResidence","FnextNBsame","FwillDivorce","PairID","PairBroodNb","PairIDYear","NbHatched","NbRinged","AvgMass","MinMass","AvgTarsus","sdMass","sdTarsus","MixedBroodYN","ResMassTarsus","sdResMassTarsus"
"67",11.6883114952928,8,0.32,7.68,4,1,18,0.49,0.51,92.4000015258789,8,4,1,2005,47,892,4435,8,2,5,13,TRUE,TRUE,FALSE,5,TRUE,TRUE,FALSE,"4435892",5,"44358922005",4,0,NA,NA,NA,NA,NA,NA,NA,NA
"68",22.5368134016049,16,-1.05,17.05,7.5,1.5,34.5,-1.45,2.95,91.8499969482422,12.5,10,3.5,2005,47,556,23,4,2,3,5,FALSE,TRUE,FALSE,5,FALSE,TRUE,FALSE,"23556",5,"235562005",5,3,18.0333334604899,16.1000003814697,15.7999998728434,1.95021347442409,0.721110096391825,FALSE,0.379724035157653,0.536369674455677
"69",11.3712378450643,12,1.88,10.12,1,2,17,1.25,0.75,89.6999969482422,6,5,2,2005,47,1054,823,2,2,2,2,FALSE,FALSE,TRUE,2,FALSE,FALSE,NA,"8231054",2,"82310542005",4,0,NA,NA,NA,NA,NA,NA,NA,NA
"70",23.5862738881184,12,1.07,10.93,14,2,35,0.0900000000000001,1.91,89.4999969482422,5,19,3,2005,47,1446,4423,4,1,2.5,6,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"44231446",1,"442314462005",4,3,15.3333336512248,6.19999980926514,15.1333335240682,8.01581816144957,4.29107630449915,FALSE,-0.784361944261655,2.09281718973111
"71",23.1231887194821,17,1.18,15.82,3.5,4.5,35,1.3,3.2,90.9999984741211,10,13.5,4.5,2005,47,605,1227,1,3,2,1,FALSE,TRUE,FALSE,6,TRUE,TRUE,FALSE,"1227605",1,"12276052005",5,4,16.6750001907349,9,15.3749997615814,5.39961439686832,2.50516097523002,FALSE,0.000536555155750345,0.573426701875191
"72",27.3146670432889,26.5,3.71,22.79,8,3.5,41.5,-0.625,4.125,91.1000015258789,9.5,17.5,3,2005,47,1318,1210,1,1,1,1,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"12101318",1,"121013182005",3,3,23.2000007629395,18.2000007629395,17.8333333333333,5,1.98578267628229,FALSE,0.8618516298625,0.984347485443811
"76",33.482304762451,31.5,4.22,27.28,11,9.5,50,2.61,6.89,90.1499984741211,22.5,11.5,3,2005,48,1069,1935,1,2,1.5,2,TRUE,TRUE,FALSE,4,TRUE,TRUE,FALSE,"19351069",2,"193510692005",4,3,17.0333334604899,14.6000003814697,16.0666669209798,3.46458257299353,1.45028713934867,FALSE,-1.23464266859052,1.4073204006964
"78",6.81044291468584,6,1,5,1,0,10,-0.25,0.25,88.0999969482422,3,4,1,2005,48,1047,1226,1,2,1.5,1,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,"12261047",1,"122610472005",4,1,25.5,25.5,19.1000003814697,NA,NA,FALSE,0.243612319834337,NA
"80",6.41711229946524,4,0,4,4,0,10,-0.04,0.04,93.5,1,5,1,2005,49,542,251,4,2,3,3,TRUE,TRUE,FALSE,2,FALSE,TRUE,FALSE,"251542",1,"2515422005",5,0,NA,NA,NA,NA,NA,NA,NA,NA
"81",18.2984166280414,17.5,2.45,15.05,3.5,3,27.5,0.725,2.275,90.1999984741211,7.5,11,1,2005,49,927,1717,1,2,1.5,1,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,"1717927",1,"17179272005",5,1,26.7000007629395,26.7000007629395,18.5,NA,NA,FALSE,2.82593706763543,NA
"83",15.5141422151731,16.5,1.06,15.44,0.5,0.5,23,-0.65,1.15,89.15,7.5,8,4,2005,49,1827,1353,1,1,1,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"13531827",1,"135318272005",5,3,17.8333333333333,12,16.0666669209798,6.41274819095183,1.74737877857816,FALSE,-0.434642795747115,2.38332453327713
"86",7.1274295707215,7,0.7,6.3,1,0,11,-0.27,0.27,92.6000030517578,3,4,1,2005,50,857,1569,1,2,1.5,1,FALSE,TRUE,FALSE,4,TRUE,TRUE,FALSE,"1569857",1,"15698572005",5,0,NA,NA,NA,NA,NA,NA,NA,NA
"92",25.5816844750956,27.5,1.79,25.71,3.5,4,39,-0.745,4.745,91.5,13,12.5,3,2005,52,860,114,4,2,3,7,FALSE,TRUE,FALSE,3,FALSE,TRUE,FALSE,"114860",3,"1148602005",4,3,22.3666661580404,19.2999992370605,17.8333333333333,2.70246822426723,1.25033368552362,FALSE,0.0285170249633993,0.283781664015554
"93",16.7326147023178,17,0.989999999999998,16.01,2,0.5,25,-0.935,1.435,89.6499969482422,9,8,2,2005,52,1544,504,2,1,1.5,4,FALSE,FALSE,TRUE,1,FALSE,NA,NA,"5041544",1,"50415442005",3,2,17.25,13.6000003814697,16.7500004768372,5.16187896318217,1.34350328886419,FALSE,-2.59228906803002,2.02664464392895
"94",29.5009825119848,24,2.91,21.09,9,6.5,45,0.645,5.855,91.7999984741211,10.5,19.5,3,2005,53,122,1448,1,4,2.5,2,FALSE,TRUE,FALSE,7,TRUE,TRUE,FALSE,"1448122",1,"14481222005",3,3,22.9333330790202,22.5,17.8333333333333,0.51316024306136,0.152752273436324,FALSE,0.595183945943202,0.851402980805163
"95",24.0951121069752,21.5,1.88,19.62,4.5,3.5,35,-0.125,3.625,87.8500007629394,11.5,13,3,2005,53,206,2018,2,4,3,3,FALSE,FALSE,TRUE,12,TRUE,TRUE,FALSE,"2018206",2,"20182062005",4,3,17.5333334604899,13,17.5333334604899,4.27823953858354,0.808290156623841,FALSE,-4.11365441253746,2.65528115408276
"96",9.75081289010964,9,0.34,8.66,4,0,15,-0.25,0.25,92.2999969482422,3,7,2,2005,53,1386,591,3,1,2,4,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,"5911386",1,"59113862005",4,2,13.75,13.5,14.5999999046326,0.353553390593274,0.56568555981918,FALSE,-1.13896328656191,0.966545187319729
"98",16.3313615365605,2,0,2,15,1,23,0.83,0.17,84.4999969482422,1,16,1,2005,61,1048,591,3,2,2.5,5,FALSE,FALSE,TRUE,4,FALSE,TRUE,FALSE,"5911048",1,"59110482005",2,1,18,18,15.1000003814697,NA,NA,TRUE,1.95909969319628,NA
"100",30.8896312622923,26.5,4.95,21.55,9,7.5,47.5,2.4,5.1,92.2500007629395,17,14,2.5,2005,63,560,4230,5,2,3.5,14,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,"4230560",2,"42305602005",3,2,20.8500003814697,20.5,17,0.494975286310277,0.424262989752541,FALSE,0.431744451176364,0.495095893184695
