"DVDRef","NbAlternation","Type"
"2733","17","1_Observed"
"2734","17","1_Observed"
"2735","24","1_Observed"
"2736","22","1_Observed"
"2738","6","1_Observed"
"2739","24","1_Observed"
"2741","29","1_Observed"
"2743","8","1_Observed"
"2744","10","1_Observed"
"2745","22","1_Observed"
"2747","23","1_Observed"
"2748","13","1_Observed"
"2749","25","1_Observed"
"2750","15","1_Observed"
"2753","11","1_Observed"
"2754","20","1_Observed"
"2758","20","1_Observed"
"2760","13","1_Observed"
"2763","4","1_Observed"
"2766","22","1_Observed"
"2767","23","1_Observed"
"2768","27","1_Observed"
"2771","18","1_Observed"
"2773","6","1_Observed"
"2774","13","1_Observed"
"2775","13","1_Observed"
"2779","10","1_Observed"
"2781","17","1_Observed"
"2782","14","1_Observed"
"2785","25","1_Observed"
"2786","20","1_Observed"
"2790","2","1_Observed"
"2792","14","1_Observed"
"2793","14","1_Observed"
"2797","10","1_Observed"
"2799","9","1_Observed"
"2803","12","1_Observed"
"2806","16","1_Observed"
"2809","13","1_Observed"
"2811","7","1_Observed"
"2812","17","1_Observed"
"2814","20","1_Observed"
"2818","39","1_Observed"
"2819","10","1_Observed"
"2823","18","1_Observed"
"2824","23","1_Observed"
"2827","22","1_Observed"
"2829","21","1_Observed"
"2831","16","1_Observed"
"2833","30","1_Observed"
"2834","19","1_Observed"
"2835","11","1_Observed"
"2836","23","1_Observed"
"2844","12","1_Observed"
"2845","11","1_Observed"
"2846","25","1_Observed"
"2848","22","1_Observed"
"2849","21","1_Observed"
"2850","15","1_Observed"
"2852","15","1_Observed"
"2857","24","1_Observed"
"2858","15","1_Observed"
"2859","30","1_Observed"
"2860","27","1_Observed"
"2861","20","1_Observed"
"2862","30","1_Observed"
"2863","19","1_Observed"
"2865","14","1_Observed"
"2866","10","1_Observed"
"2867","25","1_Observed"
"2868","13","1_Observed"
"2869","14","1_Observed"
"2870","11","1_Observed"
"2879","11","1_Observed"
"2884","7","1_Observed"
"2889","19","1_Observed"
"2890","12","1_Observed"
"2891","18","1_Observed"
"2892","5","1_Observed"
"2894","12","1_Observed"
"2895","12","1_Observed"
"2897","12","1_Observed"
"2898","8","1_Observed"
"2899","15","1_Observed"
"2901","15","1_Observed"
"2905","15","1_Observed"
"2907","20","1_Observed"
"2908","18","1_Observed"
"2909","13","1_Observed"
"2913","23","1_Observed"
"2914","22","1_Observed"
"2915","20","1_Observed"
"2916","32","1_Observed"
"2918","10","1_Observed"
"2920","16","1_Observed"
"2921","15","1_Observed"
