"DVDRef","NbS","Type","NbAMax","LineID"
"1246",1,"1_Observed",28,"228"
"1256",0,"4_Among",12,"229"
"1256",1,"1_Observed",12,"230"
"1256",0,"3_Within",12,"231"
"1257",6,"3_Within",38,"232"
"1257",5,"1_Observed",38,"233"
"1257",4,"4_Among",38,"234"
"126",12,"1_Observed",36,"235"
"126",5,"4_Among",36,"236"
"126",7,"3_Within",36,"237"
"1264",0,"4_Among",10,"238"
"1264",0,"3_Within",10,"239"
"1264",0,"1_Observed",10,"240"
"1267",7,"1_Observed",36,"241"
"1267",4,"4_Among",36,"242"
"1267",4,"3_Within",36,"243"
"127",1,"4_Among",22,"244"
"127",2,"3_Within",22,"245"
"127",4,"1_Observed",22,"246"
"1270",1,"3_Within",26,"247"
"1270",1,"4_Among",26,"248"
"1270",1,"1_Observed",26,"249"
"1291",5,"4_Among",42,"250"
"1291",9,"1_Observed",42,"251"
"1291",5,"3_Within",42,"252"
"1293",5,"1_Observed",34,"253"
"1293",6,"3_Within",34,"254"
"1293",5,"4_Among",34,"255"
"1299",7,"1_Observed",32,"256"
"1299",3,"3_Within",32,"257"
"1299",2,"4_Among",32,"258"
"130",12,"1_Observed",62,"259"
"130",10,"4_Among",62,"260"
"130",10,"3_Within",62,"261"
"1302",2,"3_Within",26,"262"
"1302",1,"4_Among",26,"263"
"1302",1,"1_Observed",26,"264"
"1308",2,"4_Among",26,"265"
"1308",2,"1_Observed",26,"266"
"1308",1,"3_Within",26,"267"
"1313",0,"1_Observed",22,"268"
"1313",1,"3_Within",22,"269"
"1313",0,"4_Among",22,"270"
"1326",2,"1_Observed",20,"271"
"1326",0,"3_Within",20,"272"
"1326",1,"4_Among",20,"273"
"133",0,"1_Observed",4,"274"
"133",0,"4_Among",4,"275"
"133",0,"3_Within",4,"276"
"1333",2,"3_Within",14,"277"
"1333",1,"4_Among",14,"278"
"1333",1,"1_Observed",14,"279"
"1344",1,"4_Among",16,"280"
"1344",3,"1_Observed",16,"281"
"1344",0,"3_Within",16,"282"
"1349",1,"3_Within",16,"283"
"1349",2,"1_Observed",16,"284"
"1349",2,"4_Among",16,"285"
"1350",1,"4_Among",25,"286"
"1350",2,"3_Within",25,"287"
"1350",1,"1_Observed",25,"288"
"1351",8,"1_Observed",22,"289"
"1351",2,"4_Among",22,"290"
"1351",3,"3_Within",22,"291"
"1352",0,"3_Within",12,"292"
"1352",0,"4_Among",12,"293"
"1352",0,"1_Observed",12,"294"
"1353",1,"4_Among",15,"295"
"1353",2,"1_Observed",15,"296"
"1353",2,"3_Within",15,"297"
"1356",1,"1_Observed",8,"298"
"1356",1,"3_Within",8,"299"
"1356",0,"4_Among",8,"300"
"1364",0,"1_Observed",8,"301"
"1364",0,"3_Within",8,"302"
"1364",0,"4_Among",8,"303"
"1372",2,"3_Within",30,"304"
"1372",1,"4_Among",30,"305"
"1372",2,"1_Observed",30,"306"
"1373",2,"4_Among",16,"307"
"1373",3,"1_Observed",16,"308"
"1373",3,"3_Within",16,"309"
"1383",3,"1_Observed",20,"310"
"1383",1,"3_Within",20,"311"
"1383",1,"4_Among",20,"312"
"1386",0,"1_Observed",2,"313"
"1386",0,"3_Within",2,"314"
"1386",0,"4_Among",2,"315"
"1397",1,"3_Within",12,"316"
"1397",0,"4_Among",12,"317"
"1397",0,"1_Observed",12,"318"
"1401",1,"4_Among",18,"319"
"1401",2,"1_Observed",18,"320"
"1401",0,"3_Within",18,"321"
"1403",2,"4_Among",28,"322"
"1403",3,"3_Within",28,"323"
"1403",4,"1_Observed",28,"324"
"141",1,"3_Within",22,"325"
"141",1,"1_Observed",22,"326"
"141",0,"4_Among",22,"327"
"1414",0,"4_Among",12,"328"
"1414",1,"1_Observed",12,"329"
"1414",1,"3_Within",12,"330"
"1415",0,"1_Observed",18,"331"
"1415",0,"3_Within",18,"332"
"1415",0,"4_Among",18,"333"
"1416",1,"1_Observed",16,"334"
"1416",1,"4_Among",16,"335"
"1416",1,"3_Within",16,"336"
"1418",4,"3_Within",34,"337"
"1418",5,"1_Observed",34,"338"
"1418",3,"4_Among",34,"339"
"1425",6,"1_Observed",32,"340"
"1425",3,"4_Among",32,"341"
"1425",3,"3_Within",32,"342"
"1426",3,"3_Within",32,"343"
"1426",4,"4_Among",32,"344"
"1426",3,"1_Observed",32,"345"
"1434",1,"3_Within",22,"346"
"1434",1,"4_Among",22,"347"
"1434",3,"1_Observed",22,"348"
"1440",1,"3_Within",22,"349"
"1440",1,"4_Among",22,"350"
"1440",2,"1_Observed",22,"351"
"1441",0,"4_Among",24,"352"
"1441",2,"1_Observed",24,"353"
"1441",0,"3_Within",24,"354"
"1442",2,"3_Within",30,"355"
"1442",2,"4_Among",30,"356"
"1442",4,"1_Observed",30,"357"
"1447",1,"3_Within",14,"358"
"1447",2,"4_Among",14,"359"
"1447",1,"1_Observed",14,"360"
"1449",5,"3_Within",28,"361"
"1449",5,"4_Among",28,"362"
"1449",9,"1_Observed",28,"363"
"1450",1,"4_Among",17,"364"
"1450",3,"1_Observed",17,"365"
"1450",1,"3_Within",17,"366"
"1452",3,"4_Among",34,"367"
"1452",3,"3_Within",34,"368"
"1452",6,"1_Observed",34,"369"
"1454",0,"3_Within",12,"370"
"1454",0,"1_Observed",12,"371"
"1454",0,"4_Among",12,"372"
"1457",2,"4_Among",20,"373"
"1457",2,"3_Within",20,"374"
"1457",3,"1_Observed",20,"375"
"1458",1,"4_Among",26,"376"
"1458",1,"3_Within",26,"377"
"1458",2,"1_Observed",26,"378"
"1459",8,"1_Observed",42,"379"
"1459",5,"4_Among",42,"380"
"1459",5,"3_Within",42,"381"
"146",0,"1_Observed",22,"382"
"146",0,"4_Among",22,"383"
"146",1,"3_Within",22,"384"
"1463",8,"3_Within",36,"385"
"1463",6,"4_Among",36,"386"
"1463",7,"1_Observed",36,"387"
"1464",4,"3_Within",22,"388"
"1464",2,"4_Among",22,"389"
"1464",7,"1_Observed",22,"390"
"1465",2,"3_Within",26,"391"
"1465",1,"4_Among",26,"392"
"1465",6,"1_Observed",26,"393"
"1466",11,"4_Among",50,"394"
"1466",17,"1_Observed",50,"395"
"1466",12,"3_Within",50,"396"
"1467",9,"3_Within",50,"397"
"1467",8,"4_Among",50,"398"
"1467",11,"1_Observed",50,"399"
"1469",0,"3_Within",18,"400"
"1469",1,"4_Among",18,"401"
"1469",0,"1_Observed",18,"402"
"1472",1,"3_Within",6,"403"
"1472",0,"4_Among",6,"404"
"1472",2,"1_Observed",6,"405"
"1473",1,"4_Among",18,"406"
"1473",1,"1_Observed",18,"407"
"1473",2,"3_Within",18,"408"
"1474",0,"4_Among",14,"409"
"1474",0,"3_Within",14,"410"
"1474",0,"1_Observed",14,"411"
"1475",1,"3_Within",12,"412"
"1475",0,"1_Observed",12,"413"
"1475",0,"4_Among",12,"414"
"1477",2,"4_Among",22,"415"
"1477",3,"3_Within",22,"416"
"1477",6,"1_Observed",22,"417"
"148",4,"3_Within",30,"418"
"148",2,"1_Observed",30,"419"
"148",2,"4_Among",30,"420"
"1481",3,"4_Among",34,"421"
"1481",4,"3_Within",34,"422"
"1481",2,"1_Observed",34,"423"
"1482",2,"1_Observed",18,"424"
"1482",2,"4_Among",18,"425"
"1482",1,"3_Within",18,"426"
"1490",2,"3_Within",30,"427"
"1490",3,"4_Among",30,"428"
"1490",4,"1_Observed",30,"429"
"1494",0,"3_Within",16,"430"
"1494",0,"4_Among",16,"431"
"1494",1,"1_Observed",16,"432"
"1495",3,"3_Within",32,"433"
"1495",2,"4_Among",32,"434"
"1495",4,"1_Observed",32,"435"
"1496",0,"4_Among",14,"436"
"1496",3,"1_Observed",14,"437"
"1496",1,"3_Within",14,"438"
"1497",1,"3_Within",24,"439"
"1497",1,"4_Among",24,"440"
"1497",3,"1_Observed",24,"441"
"1498",1,"3_Within",26,"442"
"1498",3,"4_Among",26,"443"
"1498",1,"1_Observed",26,"444"
"1499",2,"3_Within",18,"445"
"1499",0,"4_Among",18,"446"
"1499",4,"1_Observed",18,"447"
"1500",2,"4_Among",32,"448"
"1500",3,"1_Observed",32,"449"
"1500",3,"3_Within",32,"450"
"1501",0,"3_Within",18,"451"
"1501",0,"4_Among",18,"452"
"1501",3,"1_Observed",18,"453"
"1503",0,"3_Within",16,"454"
