"DVDRef","NbAlternation","Aswitch","MeanAsimWithin","MeanAsimAmong"
2284,25,25,24.16,24.97
2288,15,11,11.18,10.78
2290,15,15,14.16,13.02
2292,17,17,16.34,17.08
2294,22,22,19.08,20.36
2296,14,18,15.28,15.35
2302,16,14,15.54,13.93
2310,5,5,4.78,4.56
2313,6,6,5.96,5.15
2316,10,8,10.22,11.4
2317,7,7,6.7,5.71
2318,19,17,15.86,14.75
2322,10,12,13.44,15.53
2325,23,25,18.22,17.68
2326,9,9,9.22,8.12
2330,10,10,9.8,10.73
2332,17,15,13.74,12.92
2334,15,11,13.76,13.04
2335,34,30,25.74,30.82
2337,22,24,21.9,22.31
2339,19,17,18.48,17.2
2345,1,1,1,1
2346,25,25,21.02,21.17
2351,24,22,20.14,16.78
2352,29,29,25.38,20.47
2353,19,19,21.2,17.81
2354,20,22,18.76,15.69
2356,26,22,19.14,16.32
2361,27,27,29.26,22.4
2362,14,12,11.6,10.95
2363,27,29,30.98,28.33
2364,18,16,17.16,14.54
2370,11,11,10.02,9.34
2375,29,25,26.14,20.51
2376,17,17,16.66,14.06
2382,5,5,5,4.56
2383,2,2,2,1.85
2384,9,11,10.38,9.54
2388,12,12,12.82,10.25
2389,11,9,9.44,8.03
2391,27,27,23.66,20.3
2392,24,22,20.32,18.04
2393,15,13,13.6,12.59
2394,26,22,25.2,27.91
2396,17,13,15.5,12.85
2398,24,24,26,21.79
2401,26,24,23.58,23.69
2402,16,16,13.92,13.09
2403,14,14,13.86,12.3
2408,20,18,20.34,20.74
2409,27,25,23.82,24.28
2410,25,23,22.06,19.5
2415,33,33,30.22,32.64
2420,20,24,23.38,24
2424,16,16,16.4,12.66
2425,11,11,15.72,12.88
2441,26,20,25.4,21.16
2442,17,17,18.08,16.29
2444,32,34,33.14,32.63
2446,16,18,16.46,13.77
2448,34,32,30.88,34.84
2449,22,22,20.1,18.65
2450,5,7,6.46,5.47
2452,6,6,5.58,4.5
2453,28,28,21.3,19.75
2455,38,34,35.36,29.99
2456,25,25,24.62,23.01
2457,4,4,4,3.56
2459,18,18,20.04,20
2461,10,10,10.74,8.87
2465,19,19,17.5,15.85
2467,2,2,2,1.95
2470,24,26,23.72,21.69
2473,18,16,17.62,19.49
2475,2,2,2,1.97
2476,24,22,22.44,19.06
2480,25,23,18.32,20.19
2481,31,31,28.68,27.46
2482,24,19,20.08,18.85
2484,17,17,16.36,13.18
2485,8,6,7.12,8.27
2489,26,20,19.78,22.01
2490,12,10,10.32,8.56
2491,19,17,16.74,16.03
2492,19,19,20.04,17.53
2494,17,15,13.82,13.35
2495,11,11,10.98,9.25
2499,14,18,15.04,15.91
2500,16,16,14.96,11.91
2501,20,18,16.48,14.99
2504,18,16,16.6,12.56
2505,29,29,29.34,21.07
2507,16,14,12.32,11.49
2508,18,14,12.3,13.05
2509,12,14,10.52,13
2510,8,6,6.84,5.81
2511,37,35,36.32,30.82
2512,22,18,18.56,14.98
2514,28,26,23.94,24.49
2515,22,22,21.54,16.88
2516,16,16,16.76,16.67
2520,11,11,10.9,9.88
2521,20,18,17.12,13.78
2522,14,16,11.04,17.81
2523,20,18,16.5,15.93
2524,9,11,9.6,8.09
2525,12,12,10.9,8.75
2526,29,21,22.1,19.32
2527,27,31,27.66,22.31
2528,2,2,2,1.04
2529,18,16,15.68,14.76
2530,9,7,8.38,6.89
2531,16,18,15.6,12.41
2532,20,22,18.44,14.76
2534,18,20,16.32,15.73
2535,4,4,4,3.67
2536,11,11,9.6,9.1
2537,20,16,13.94,14.25
2538,23,21,19.48,18.54
2540,17,17,15.38,14.52
2541,20,20,19.74,17.9
2542,38,38,32.24,29.84
2543,20,20,17.52,13.27
2544,13,17,13.48,13.17
2558,15,13,12.62,10.51
2559,16,14,15.36,13.88
2563,22,20,17.08,16.46
2568,12,12,14.44,14.22
2569,15,17,14.54,17.12
2570,18,18,17.64,14.85
2574,39,33,33.42,33
2576,18,20,18.1,22.99
2577,12,10,10.7,10.2
2579,5,7,4.94,6.76
2580,6,6,7.22,6.36
2582,11,11,12.5,10.59
2583,17,17,15.62,14.27
2586,22,20,16.68,19.01
2587,19,23,25.32,22.62
2588,15,15,15.5,15.72
2589,33,29,30.78,29.39
2590,23,25,29.88,31.62
2591,17,15,14.82,13.64
2592,11,11,10.06,8.91
2593,30,22,23.82,20.05
2594,13,13,14.68,18.77
2595,2,2,2,1.89
2598,12,12,11.92,10.6
2599,16,16,14.54,10.85
2600,23,27,30.26,30.76
2602,11,11,9.96,9.59
2606,34,34,35.98,29.01
2607,17,19,16.42,14.21
2608,15,13,15.86,15.48
2612,6,4,7.46,9.75
2613,10,14,9.92,11.68
2616,1,1,1,1.39
2617,20,20,19.92,18.01
2619,18,20,19.28,15.11
2623,12,10,10.2,8.68
2625,26,26,23.12,21.26
2626,15,15,15.68,13.59
2627,32,29,27.26,25.14
2632,2,2,2,2
2637,33,29,27.34,24.89
2638,5,5,5,6.32
2640,19,15,14.94,15.31
2641,16,14,14.68,14.56
2642,17,21,17.4,15.13
2645,22,18,19.88,16.03
2646,28,24,29.88,23.45
2647,21,21,19.48,14.75
2649,37,35,27.66,23.33
2658,10,10,10,6.47
2659,23,21,18.38,21.64
2664,14,14,13.36,7.58
2666,15,15,13.94,14.64
2670,6,6,5.68,5.3
2673,30,32,27.28,25.72
