"ChickID","RearingBrood","NatalBrood","CrossFosteredYN","AvgOfMass","AvgOfTarsus","AvgOfAge","nMeasures","dam","sire","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","GenPairID","ResMassTarsus_perChick"
1446,516,515,1,18.2000007629395,17.7000007629395,12,1,649,460,4,6,0.84,5.16,12.6526082130966,1,0.36,0.64,4273,4153,"41534273",2004,54,4,"460649",-3.7189483667194
1447,516,515,1,21.7999992370605,17.2000007629395,12,1,649,460,4,6,0.84,5.16,12.6526082130966,1,0.36,0.64,4273,4153,"41534273",2004,54,4,"460649",1.04786314955789
1448,516,515,1,18,18.2000007629395,12,1,649,460,4,6,0.84,5.16,12.6526082130966,1,0.36,0.64,4273,4153,"41534273",2004,54,4,"460649",-5.08576217181519
1449,517,516,1,20.2000007629395,18.8999996185303,12,1,4273,4153,3,20,3.06,16.94,27.0350884406584,5,1.725,3.275,4376,383,"3834376",2004,54,4,"41534273",-4.51929699727134
1450,517,516,1,20.7000007629395,19.7000007629395,12,1,4273,4153,3,20,3.06,16.94,27.0350884406584,5,1.725,3.275,4376,383,"3834376",2004,54,4,"41534273",-5.88620053534457
1451,517,516,1,22.5,18.7000007629395,12,1,4273,4153,3,20,3.06,16.94,27.0350884406584,5,1.725,3.275,4376,383,"3834376",2004,54,4,"41534273",-1.75257521397148
1452,515,516,1,24.7999992370605,19.2999992370605,12,1,NA,NA,3,23.5,1.78,21.72,21.5200840651101,4.5,0.45,4.05,649,460,"460649",2004,53,2,"NANA",-0.8527480666675
1454,515,517,1,25.5,18.7999992370605,12,1,4376,383,3,23.5,1.78,21.72,21.5200840651101,4.5,0.45,4.05,649,460,"460649",2004,53,2,"3834376",1.01406573842829
1455,515,517,1,22.7999992370605,18.2000007629395,12,1,4376,383,3,23.5,1.78,21.72,21.5200840651101,4.5,0.45,4.05,649,460,"460649",2004,53,2,"3834376",-0.285762934754691
1463,518,519,1,27.2000007629395,19.6000003814697,12,1,284,456,2,15.5,2.57,12.93,15.1948054174204,4,1.9,2.1,533,417,"417533",2004,55,1,"456284",0.847162963294562
