BirdID	LastLiveRecord	Source
867	05.06.2003	C
868	05.06.2003	C
869	05.06.2003	C
870	05.06.2003	C
871	16.06.2003	C
872	06.06.2003	C
873	06.06.2003	C
874	16.06.2003	C
875	18.06.2003	C
876	08.06.2003	C
877	18.06.2003	C
878	08.06.2003	C
881	08.06.2003	C
882	08.06.2003	C
885	20.05.2006	C
886	19.06.2003	C
887	19.06.2003	C
888	28.06.2003	C
890	27.06.2004	EP
891	20.06.2003	C
892	17.08.2006	C
893	20.06.2003	C
894	19.06.2003	C
895	09.06.2003	C
897	21.06.2003	C
898	18.10.2003	C
899	15.06.2003	C
901	21.06.2003	C
902	15.11.2005	C
903	17.11.2005	C
904	22.06.2003	C
905	12.06.2003	C
906	29.06.2004	EP
909	12.06.2003	C
911	21.06.2003	C
912	04.07.2006	SP
913	17.11.2005	C
915	24.06.2003	C
916	24.06.2003	C
917	18.11.2005	C
921	18.06.2003	C
922	18.06.2003	C
923	14.06.2003	C
925	25.05.2004	EP
926	30.08.2004	C
927	19.07.2009	SP
928	30.08.2004	C
929	23.08.2007	SP
933	14.07.2003	C
934	14.07.2003	C
935	14.07.2003	C
936	17.10.2003	C
937	18.07.2003	C
938	08.07.2003	C
939	12.07.2003	C
940	18.07.2003	C
941	18.07.2003	C
942	18.07.2003	C
943	07.07.2003	C
944	18.07.2003	C
945	18.07.2003	C
946	18.07.2003	C
947	18.07.2003	C
948	18.07.2003	C
949	18.07.2003	C
950	18.07.2003	C
951	18.07.2003	C
952	18.07.2003	C
955	30.01.2005	C
956	19.07.2003	C
957	30.01.2005	C
958	13.08.2003	C
959	09.08.2006	SP
960	30.08.2005	S
961	20.07.2003	C
962	12.02.2007	C
963	13.08.2006	C
964	20.07.2003	C
965	19.04.2005	EP
966	20.07.2003	C
967	14.07.2003	C
968	10.07.2003	C
969	11.07.2003	C
970	21.07.2003	C
971	30.08.2004	C
972	11.07.2003	C
974	18.11.2005	C
975	11.07.2003	C
976	16.07.2003	C
977	16.07.2003	C
978	12.07.2003	C
979	24.07.2003	C
980	25.07.2006	SP
981	14.07.2003	C
982	24.07.2003	C
983	14.07.2003	C
984	07.02.2007	C
985	07.08.2005	SP
986	19.07.2003	C
987	15.07.2003	C
988	14.07.2006	SP
989	13.08.2003	C
990	13.08.2003	C
991	20.07.2003	C
992	20.07.2003	C
993	17.11.2005	C
994	26.07.2003	C
995	16.07.2003	C
996	16.07.2003	C
997	17.07.2003	C
998	17.07.2003	C
999	17.07.2003	C
1000	17.07.2003	C
1005	27.06.2004	EP
1006	28.07.2003	C
1007	28.07.2003	C
1009	18.07.2003	C
1010	18.07.2003	C
1011	18.07.2003	C
1012	18.07.2003	C
1014	30.07.2003	C
1015	30.07.2003	C
1016	14.08.2003	C
1017	20.07.2003	C
1018	21.07.2003	C
