"ChickID" "NatalBrood" "RearingBrood" "CrossFosteredYN" "AvgOfMass" "AvgOfTarsus" "AvgOfAge" "nMeasures" "dam" "sire"
365 239 239 0 16.6000003814697 13.5 12 1 48 46
366 239 239 0 16 14 12 1 48 46
370 240 289 1 28.5 18 12 1 4178 110
371 240 289 1 25 18.2000007629395 12 1 4178 110
374 241 241 0 25.1000003814697 18 12 1 4434 4158
383 243 243 0 27.8999996185303 19.2999992370605 12 1 4376 4478
385 243 243 0 22.7000007629395 17.2999992370605 12 1 4376 4478
393 245 244 1 21.2000007629395 15 12 1 4500 4264
397 246 247 1 24.8999996185303 18.1000003814697 12 1 4436 4230
398 246 247 1 22.8999996185303 17.2999992370605 12 1 4436 4230
399 246 247 1 22 16.5 12 1 4436 4230
401 246 247 1 24 17.6000003814697 12 1 NA NA
402 247 246 1 26 18.2000007629395 12 1 60 4419
403 247 246 1 25.1000003814697 17.8999996185303 12 1 60 4406
404 247 246 1 27.7000007629395 18.2999992370605 12 1 60 4419
406 248 249 1 27.3999996185303 18 12 1 28 4325
407 248 249 1 26.6000003814697 17.7000007629395 12 1 28 4325
409 248 249 1 25.2999992370605 16.7000007629395 12 1 28 4325
411 249 248 1 26.5 17.2999992370605 12 1 206 126
412 249 248 1 25.7000007629395 17 12 1 206 4274
413 249 248 1 25.1000003814697 17.2999992370605 12 1 206 126
421 251 253 1 26.7000007629395 18.6000003814697 12 1 34 4153
422 251 253 1 25 18.7999992370605 12 1 34 4429
423 253 251 1 26.1000003814697 18 11 1 4504 4464
424 251 253 1 27.5 19.2999992370605 12 1 34 4153
425 252 252 0 23 17 12 1 32 4229
426 252 252 0 23.6000003814697 17.7000007629395 12 1 32 104
427 252 252 0 24.7999992370605 18.2000007629395 12 1 32 104
428 252 252 0 22.1000003814697 17.3999996185303 12 1 32 104
431 253 251 1 27.7000007629395 18.7999992370605 12 1 4504 4464
432 253 251 1 27.2000007629395 19 12 1 4504 4464
433 253 251 1 21.2999992370605 17.7999992370605 12 1 4504 4464
434 254 255 1 26.2000007629395 18.3999996185303 12 1 4501 4418
435 254 255 1 22.5 17.2999992370605 12 1 4501 4418
436 254 255 1 26.2000007629395 18.2999992370605 12 1 4501 4418
437 254 255 1 25.7000007629395 18.2000007629395 12 1 4501 4418
438 255 254 1 23 18.7999992370605 12 1 4333 129
440 255 254 1 21.7000007629395 17.5 12 1 4333 129
441 255 254 1 24.1000003814697 18 12 1 4333 129
442 256 257 1 23.6000003814697 18.2999992370605 12 1 4177 4467
443 256 257 1 24 18.5 12 1 4177 4467
444 256 257 1 25.5 19.1000003814697 12 1 4177 4304
447 257 256 1 25.3999996185303 18.5 12 1 4468 20
448 257 256 1 27.3999996185303 18.7000007629395 12 1 4468 22
449 257 256 1 25.8999996185303 18.7000007629395 12 1 4468 20
469 262 261 1 24.5 18.2000007629395 12 1 4497 4282
470 262 261 1 22.2999992370605 17.3999996185303 12 1 4497 4282
471 262 261 1 22.7000007629395 18.5 12 1 4497 4282
473 263 264 1 24.7000007629395 18.6000003814697 12 1 4291 4417
474 263 264 1 24 18.8999996185303 12 1 4291 4417
475 263 264 1 21.2000007629395 17.2000007629395 12 1 4291 4415
481 373 373 0 19.75 17.2000007629395 12 1 NA NA
493 376 376 0 10.25 15.3999996185303 12 1 NA NA
494 376 376 0 25.25 18.2999992370605 12 1 NA NA
495 376 376 0 26.5 19 12 1 NA NA
498 377 377 0 15.25 17.3999996185303 12 1 NA NA
499 377 377 0 25.25 19 12 1 NA NA
500 377 377 0 23.75 19 12 1 NA NA
503 378 378 0 23.25 18.2000007629395 12 1 NA NA
504 378 378 0 20 18.2000007629395 12 1 NA NA
505 378 378 0 20 18 12 1 NA NA
511 380 379 1 25 19.2000007629395 12 1 NA NA
512 380 379 1 23.5 18.2999992370605 12 1 NA NA
513 380 379 1 25 19.2999992370605 12 1 NA NA
514 380 379 1 22.25 17.6000003814697 12 1 NA NA
517 381 382 1 27.25 20 12 1 123 4303
518 381 382 1 27.25 20 12 1 123 4303
521 382 381 1 20 18 12 1 586 285
522 382 381 1 24.25 19.2000007629395 12 1 586 285
524 383 383 0 22 18 12 1 353 422
525 383 383 0 22.5 19 12 1 353 422
529 384 384 0 24.5 19.2999992370605 12 1 253 417
530 384 384 0 24 19 12 1 253 417
533 385 385 0 23.25 17.3999996185303 12 1 371 4230
534 386 386 0 20.75 18.5 12 1 438 11
535 386 386 0 19.75 18 12 1 438 11
536 386 386 0 19.75 17.7000007629395 12 1 438 11
537 387 387 0 24.75 19.3999996185303 12 1 601 645
538 387 387 0 22.75 19 12 1 601 645
540 388 388 0 21 17.2999992370605 12 1 419 4415
541 388 388 0 19.75 18 12 1 419 4415
542 388 388 0 20.5 18.2999992370605 12 1 419 4415
543 388 388 0 14.75 15.5 12 1 419 4415
548 390 390 0 23.25 19.2000007629395 12 1 649 626
549 390 390 0 23.25 19.5 12 1 649 626
551 391 393 1 24 18.1000003814697 12 1 4290 11
555 392 394 1 22.75 18.7000007629395 12 1 206 663
556 392 394 1 23 18.6000003814697 12 1 206 178
557 392 394 1 25.25 19.5 12 1 206 178
558 392 394 1 15 16 12 1 206 178
559 392 394 1 10.25 13.8999996185303 12 1 206 663
560 393 391 1 24.25 18.7999992370605 12 1 646 4413
561 393 391 1 28.25 19.3999996185303 12 1 646 4413
562 393 391 1 30.25 19.3999996185303 12 1 646 4413
563 393 391 1 27.75 20 12 1 646 4413
564 394 392 1 21.75 19.2000007629395 12 1 4273 4153
565 394 392 1 20.25 18.5 12 1 4273 4435
566 394 392 1 16.25 17.5 12 1 4273 4435
567 394 392 1 15 17 12 1 4273 4153
569 395 395 0 16.6000003814697 14.75 12 1 4424 4423
570 395 395 0 17.7999992370605 15.75 12 1 4424 590
571 395 395 0 19 18.25 12 1 4424 590
574 263 264 1 25.7000007629395 19.3999996185303 12 1 4291 4417
575 264 263 1 22.5 17.8999996185303 12 1 41 115
576 264 263 1 23.2999992370605 18.1000003814697 12 1 41 11
577 264 263 1 21 18.2999992370605 12 1 41 115
580 265 266 1 25.3999996185303 19.2000007629395 12 1 4290 4275
581 265 266 1 23 18 12 1 4290 4275
582 265 266 1 24 18.3999996185303 12 1 4290 4275
584 265 266 1 22.7000007629395 18 12 1 4290 4275
585 266 265 1 27 19.7999992370605 12 1 4168 4274
586 266 265 1 27 19.3999996185303 12 1 4168 4274
590 267 267 0 25.2999992370605 19.7000007629395 12 1 4420 114
591 267 267 0 23.8999996185303 18.8999996185303 12 1 4420 114
592 267 267 0 25 18.5 12 1 4420 114
595 268 271 1 30.5 18.2999992370605 12 1 91 4295
599 269 269 0 28.5 18.7000007629395 12 1 51 24
601 269 269 0 24.3999996185303 17.6000003814697 12 1 51 24
602 269 269 0 27 19.2000007629395 12 1 51 24
612 272 272 0 25.3999996185303 18.2999992370605 12 1 4 44
613 272 272 0 25.3999996185303 17.7000007629395 12 1 4 44
614 273 274 1 22.3999996185303 16.7000007629395 12 1 45 55
615 273 274 1 24.3999996185303 18.2000007629395 12 1 45 55
616 274 273 1 25.5 19.6000003814697 12 1 4376 4478
617 274 273 1 22.5 18.6000003814697 12 1 4376 4478
622 276 276 0 18.6000003814697 16.5 12 1 28 4325
623 276 276 0 26.3999996185303 17.8999996185303 12 1 28 4325
624 276 276 0 23.7999992370605 17.3999996185303 12 1 28 4325
625 277 277 0 24.8999996185303 18 12 1 4436 4230
626 277 277 0 23.7000007629395 18.2000007629395 12 1 4436 4230
627 277 277 0 24.8999996185303 17.6000003814697 12 1 4436 4230
628 277 277 0 22.8999996185303 17.2999992370605 12 1 4436 4230
629 278 278 0 22.7999992370605 18.2000007629395 12 1 4377 4412
630 278 278 0 26.3999996185303 18.7999992370605 12 1 4377 4412
631 278 278 0 24.7999992370605 17.5 12 1 4377 4412
645 282 283 1 29.5 18.8999996185303 12 1 123 4303
646 282 283 1 28.8999996185303 18.7999992370605 12 1 123 4303
647 282 283 1 21 16.2999992370605 12 1 123 4303
649 283 282 1 23.2000007629395 17.7999992370605 12 1 4504 4464
650 283 282 1 28 18.5 12 1 4504 4464
653 284 284 0 24.2000007629395 18 12 1 4290 4275
654 284 284 0 23.8999996185303 18.1000003814697 12 1 4290 4275
655 284 284 0 19.7999992370605 17.2000007629395 12 1 4290 4275
658 285 285 0 27.6000003814697 19.2999992370605 12 1 4177 4304
659 285 285 0 16.2999992370605 16.1000003814697 12 1 4177 4304
660 285 285 0 17.1000003814697 15.8999996185303 12 1 4177 4304
661 285 285 0 26.5 19 12 1 4177 4304
662 286 286 0 19.5 16.2999992370605 12 1 34 4153
663 286 286 0 22.2000007629395 16.8999996185303 12 1 34 4153
670 288 288 0 22.5 18.2000007629395 12 1 4447 4477
671 288 288 0 22.5 17.2999992370605 12 1 4447 4477
734 305 305 0 21.25 NA 12 1 NA NA
735 305 305 0 24.5 17.2999992370605 12 1 4376 383
736 305 305 0 25.25 NA 12 1 NA NA
737 306 306 0 27.75 NA 12 1 NA NA
738 307 307 0 17.5 18.2999992370605 12 1 256 4230
739 307 307 0 19.25 18.8999996185303 12 1 256 4230
740 307 307 0 18.5 18.2999992370605 12 1 256 4230
741 308 308 0 19.75 18.8999996185303 12 1 416 4435
742 308 308 0 17.5 18.8999996185303 12 1 416 4435
744 309 309 0 25.75 20 12 1 427 4304
745 309 309 0 21.5 19.2999992370605 12 1 427 22
746 310 310 0 20 18 12 1 76 145
747 310 310 0 23.25 19.2999992370605 12 1 76 145
748 311 311 0 22 18.8999996185303 12 1 670 4274
749 312 312 0 16.75 17.6000003814697 12 1 253 417
750 312 312 0 20.5 17.7999992370605 12 1 253 417
751 313 313 0 22.75 18 12 1 32 4264
752 313 313 0 22 19.2000007629395 12 1 32 4229
753 313 313 0 19.25 19.2999992370605 12 1 32 4229
754 313 313 0 22 19.7999992370605 12 1 32 4229
755 314 314 0 22.5 18 12 1 346 4264
756 314 314 0 22 19 12 1 346 4264
759 315 315 0 23.5 19.3999996185303 12 1 4273 4429
760 315 315 0 20.5 19.7000007629395 12 1 4273 4429
763 316 316 0 18 18.8999996185303 12 1 NA 4422
764 316 316 0 20.5 18.3999996185303 12 1 595 4422
765 317 317 0 22.75 18.5 12 1 309 4326
766 319 319 0 25.25 18.2999992370605 12 1 45 166
767 319 319 0 18 16.2999992370605 12 1 45 166
768 320 320 0 24 19.7999992370605 12 1 4213 46
769 320 320 0 17.75 18.2999992370605 12 1 4213 46
770 320 320 0 20.5 19 12 1 4213 4503
775 322 322 0 20.5 18.8999996185303 12 1 444 354
778 324 324 0 23.5 20 12 1 4468 4467
