"BroodRef"	"BirdID"	"NatalBroodID"	"RingedYN"	"LastStage"	"DeathDate"	"CrossFosteredYN"	"LastLiveRecord"	"HatchDate"
1147	4827	1147	0	2	2010-05-16	0	2010-05-14 00:00:00	2010-05-10
1147	4826	1147	0	2	2010-05-16	0	2010-05-14 00:00:00	2010-05-10
1147	4825	1147	0	2	2010-05-16	0	2010-05-14 00:00:00	2010-05-10
1148	4831	1148	1	2	NA	0	2010-05-22 00:00:00	2010-05-09
1148	4830	1148	1	3	NA	0	2011-10-25 00:00:00	2010-05-09
1148	4829	1148	0	2	NA	0	2010-05-20 00:00:00	2010-05-09
1148	4832	1148	0	2	NA	0	2010-05-12 00:00:00	2010-05-09
1149	4834	1149	0	2	NA	0	2010-05-12 00:00:00	2010-05-09
1150	4840	1150	1	2	NA	0	2010-05-19 00:00:00	2010-05-08
1150	4839	1150	1	2	NA	0	2010-05-19 00:00:00	2010-05-08
1151	5053	1151	1	3	NA	0	2012-02-09 00:00:00	2010-05-15
1151	5054	1151	1	2	NA	0	2010-05-27 00:00:00	2010-05-15
1151	5055	1151	1	2	NA	0	2010-05-27 00:00:00	2010-05-15
1151	5057	1151	1	2	NA	0	2010-05-27 00:00:00	2010-05-15
1151	5056	1151	1	2	NA	0	2010-05-27 00:00:00	2010-05-15
1153	4852	1153	1	3	NA	0	2011-06-14 00:00:00	2010-05-27
1153	4854	1153	1	3	NA	0	2015-08-11 00:00:00	2010-05-27
1153	4855	1153	0	2	NA	0	2010-05-29 00:00:00	2010-05-27
1153	4853	1153	1	2	NA	0	2010-06-05 00:00:00	2010-05-27
1154	4859	1154	1	3	NA	0	2010-06-05 00:00:00	2010-05-26
1154	4857	1154	1	2	NA	0	2010-06-05 00:00:00	2010-05-26
1154	4858	1154	1	3	NA	0	2013-07-18 00:00:00	2010-05-26
1155	4863	1155	1	3	NA	0	2011-11-19 00:00:00	2010-05-29
1155	4862	1155	1	3	2012-06-16	0	2012-05-27 00:00:00	2010-05-29
1155	4866	1155	0	1	NA	0	NA	2010-05-29
1155	4865	1155	0	1	NA	0	NA	2010-05-29
1155	4864	1155	1	3	NA	0	2011-06-12 00:00:00	2010-05-29
1156	4868	1156	1	3	NA	0	2011-11-16 00:00:00	2010-05-31
1156	4869	1156	0	2	2010-06-05	0	2010-06-01 00:00:00	2010-05-31
1156	4870	1156	1	3	NA	0	2011-11-17 00:00:00	2010-05-31
1156	4867	1156	1	3	NA	0	2011-08-04 00:00:00	2010-05-31
1157	4872	1157	1	3	NA	0	2014-12-02 00:00:00	2010-05-31
1157	4874	1157	0	2	2010-06-05	0	2010-06-01 00:00:00	2010-05-31
1157	4871	1157	0	2	2010-06-05	0	2010-06-01 00:00:00	2010-05-31
1157	4873	1157	1	3	NA	0	2014-06-17 00:00:00	2010-05-31
1158	4877	1158	0	2	NA	0	2010-06-01 00:00:00	2010-05-31
1158	4880	1158	0	2	NA	0	2010-06-01 00:00:00	2010-05-31
1158	4878	1158	0	2	NA	0	2010-06-05 00:00:00	2010-05-31
1158	4876	1158	0	2	NA	0	2010-06-01 00:00:00	2010-05-31
1158	4879	1158	0	2	NA	0	2010-06-01 00:00:00	2010-05-31
1159	4884	1159	0	1	2010-05-27	0	2010-05-26 23:59:59	2010-05-25
1159	4883	1159	0	1	2010-05-27	0	2010-05-26 23:59:59	2010-05-25
1159	4881	1159	1	2	NA	0	2010-06-05 00:00:00	2010-05-25
1160	4886	1160	0	2	NA	0	2010-06-01 00:00:00	2010-05-25
1160	4885	1160	1	3	NA	0	2011-11-20 00:00:00	2010-05-25
1161	4890	1161	0	1	NA	0	NA	NA
1161	4891	1161	0	1	NA	0	NA	NA
1163	4896	1163	1	3	NA	0	2016-07-23 00:00:00	2010-06-04
1163	4895	1163	1	3	NA	0	2014-08-05 00:00:00	2010-06-04
1163	4897	1163	1	2	NA	0	2010-06-15 00:00:00	2010-06-04
1163	4898	1163	1	3	NA	0	2016-05-05 00:00:00	2010-06-04
1164	4901	1164	1	3	NA	0	2011-07-27 00:00:00	2010-06-06
1164	4903	1164	1	3	NA	0	2011-06-27 00:00:00	2010-06-06
1164	4900	1164	1	3	NA	0	2016-07-17 00:00:00	2010-06-06
1164	4902	1164	1	2	NA	0	2010-06-17 00:00:00	2010-06-06
1165	4906	1165	1	3	NA	0	2011-08-10 00:00:00	2010-06-06
1165	4904	1165	1	2	2010-07-02	0	2010-06-17 00:00:00	2010-06-06
1165	4905	1165	1	3	NA	0	2011-11-18 00:00:00	2010-06-06
1165	4907	1165	1	3	NA	0	2011-07-10 00:00:00	2010-06-06
1165	4908	1165	1	3	NA	0	2011-11-20 00:00:00	2010-06-06
1166	4910	1166	1	2	NA	0	2010-06-17 00:00:00	2010-06-06
1166	4909	1166	1	3	NA	0	2011-07-02 00:00:00	2010-06-06
1166	4913	1166	0	1	2010-06-10	0	2010-06-09 23:59:59	2010-06-06
1167	4915	1167	1	2	2010-08-02	0	2010-06-13 00:00:00	2010-06-01
1167	4914	1167	1	3	NA	0	2011-08-10 00:00:00	2010-06-01
1168	4921	1168	0	2	NA	0	2010-06-15 00:00:00	2010-06-10
1168	4919	1168	0	2	NA	0	2010-06-13 00:00:00	2010-06-10
1168	4920	1168	0	2	NA	0	2010-06-13 00:00:00	2010-06-10
1170	4929	1170	1	3	NA	0	2015-06-22 00:00:00	2010-06-13
1170	4928	1170	1	2	NA	0	2010-06-23 00:00:00	2010-06-13
1170	4930	1170	1	2	NA	0	2010-06-23 00:00:00	2010-06-13
1170	4931	1170	1	3	NA	0	2014-04-18 00:00:00	2010-06-13
1171	4935	1171	1	2	2010-07-03	0	2010-06-26 00:00:00	2010-06-16
1171	4934	1171	1	2	NA	0	2010-06-26 00:00:00	2010-06-16
1171	4936	1171	1	2	NA	0	2010-06-26 00:00:00	2010-06-16
1171	4937	1171	1	2	2010-07-04	0	2010-06-26 00:00:00	2010-06-16
1171	4938	1171	0	2	NA	0	2010-06-16 00:00:00	2010-06-16
1172	4939	1172	1	3	NA	0	2011-06-17 00:00:00	2010-06-19
1172	4942	1172	1	3	NA	0	2011-06-14 00:00:00	2010-06-19
1172	4940	1172	1	2	NA	0	2010-06-30 00:00:00	2010-06-19
1172	4941	1172	1	3	NA	0	2010-11-23 00:00:00	2010-06-19
1173	4946	1173	1	2	NA	0	2010-07-02 00:00:00	2010-06-21
1173	4948	1173	1	2	NA	0	2010-07-02 00:00:00	2010-06-21
1173	4945	1173	1	2	NA	0	2010-07-02 00:00:00	2010-06-21
1173	4947	1173	1	3	NA	0	2011-07-29 00:00:00	2010-06-21
1173	4949	1173	1	2	NA	0	2010-07-02 00:00:00	2010-06-21
1174	4952	1174	0	2	NA	0	2010-06-25 00:00:00	2010-06-21
1174	4950	1174	1	3	NA	0	2010-07-08 00:00:00	2010-06-21
1174	4951	1174	1	2	NA	0	2010-07-03 00:00:00	2010-06-21
1174	4953	1174	1	2	NA	0	2010-07-03 00:00:00	2010-06-21
1175	4957	1175	1	3	NA	0	2011-07-19 00:00:00	2010-06-23
1175	4955	1175	0	2	NA	0	2010-07-02 00:00:00	2010-06-23
1175	4956	1175	1	2	NA	0	2010-07-04 00:00:00	2010-06-23
1176	4962	1176	1	2	2010-08-11	0	2010-07-15 00:00:00	2010-07-04
1176	4964	1176	1	3	NA	0	2011-11-18 00:00:00	2010-07-04
1176	4960	1176	1	3	NA	0	2014-06-17 00:00:00	2010-07-04
1176	4961	1176	1	3	NA	0	2014-07-27 00:00:00	2010-07-04
1176	4963	1176	1	3	NA	0	2013-07-06 00:00:00	2010-07-04
1177	4968	1177	1	3	NA	0	2011-11-18 00:00:00	2010-07-06
1177	4965	1177	1	3	NA	0	2014-06-30 00:00:00	2010-07-06
1177	4966	1177	1	3	NA	0	2011-11-18 00:00:00	2010-07-06
1177	4967	1177	1	3	NA	0	2015-07-13 00:00:00	2010-07-06
1179	4971	1179	0	2	2010-07-19	0	2010-07-09 00:00:00	2010-07-08
1179	4969	1179	1	3	NA	0	2011-05-21 00:00:00	2010-07-08
1179	4970	1179	0	2	2010-07-19	0	2010-07-09 00:00:00	2010-07-08
1180	4975	1180	1	3	NA	0	2014-12-03 00:00:00	2010-07-07
1180	4973	1180	1	3	NA	0	2011-05-22 00:00:00	2010-07-07
1180	4974	1180	1	3	NA	0	2011-06-30 00:00:00	2010-07-07
1180	4972	1180	1	3	NA	0	2012-05-30 00:00:00	2010-07-07
1181	4976	1181	1	3	NA	0	2016-08-13 00:00:00	2010-07-07
1181	4977	1181	1	3	2011-04-29	0	2010-10-21 00:00:00	2010-07-07
1181	4978	1181	1	3	2011-05-02	0	2010-07-18 00:00:00	2010-07-07
1182	4980	1182	1	2	NA	0	2010-07-19 00:00:00	2010-07-08
1182	4981	1182	1	2	NA	0	2010-07-19 00:00:00	2010-07-08
1182	4982	1182	1	3	NA	0	2011-11-20 00:00:00	2010-07-08
1182	4979	1182	1	3	2011-07-11	0	2010-11-24 00:00:00	2010-07-08
1184	4986	1184	0	2	NA	0	2010-07-31 00:00:00	2010-07-14
1184	4987	1184	0	2	NA	0	2010-07-31 00:00:00	2010-07-14
1184	4985	1184	1	3	NA	0	2011-11-16 00:00:00	2010-07-14
1185	4991	1185	1	3	NA	0	2013-07-18 00:00:00	2010-07-14
1185	4990	1185	1	3	NA	0	2011-11-18 00:00:00	2010-07-14
1185	4989	1185	1	3	2011-07-06	0	2011-07-04 00:00:00	2010-07-14
1186	4993	1186	0	2	2010-07-09	0	2010-07-07 00:00:00	2010-07-06
1186	4992	1186	0	2	2010-07-09	0	2010-07-07 00:00:00	2010-07-06
1186	4994	1186	0	2	2010-07-11	0	2010-07-09 00:00:00	2010-07-06
1187	4998	1187	1	3	NA	0	2011-07-24 00:00:00	2010-07-06
1187	4996	1187	1	3	NA	0	2011-07-12 00:00:00	2010-07-06
1187	4997	1187	1	3	2010-11-22	0	2010-07-17 00:00:00	2010-07-06
1188	5004	1188	1	3	NA	0	2014-08-02 00:00:00	2010-07-15
1188	5001	1188	1	2	NA	0	2010-07-26 00:00:00	2010-07-15
1188	5002	1188	0	2	NA	0	2010-07-16 00:00:00	2010-07-15
1188	5003	1188	1	2	NA	0	2010-07-26 00:00:00	2010-07-15
1189	5008	1189	1	3	NA	0	2011-11-20 00:00:00	2010-07-20
1189	5006	1189	1	2	NA	0	2010-07-31 00:00:00	2010-07-20
1189	5007	1189	1	3	NA	0	2010-11-25 00:00:00	2010-07-20
1190	5010	1190	1	3	NA	0	2011-02-02 00:00:00	2010-07-24
1190	5009	1190	1	3	NA	0	2011-11-15 00:00:00	2010-07-24
1190	5011	1190	1	2	NA	0	2010-08-04 00:00:00	2010-07-24
1191	5015	1191	1	2	NA	0	2010-08-06 00:00:00	2010-07-26
1191	5013	1191	1	2	NA	0	2010-08-06 00:00:00	2010-07-26
1191	5014	1191	1	3	NA	0	2014-08-05 00:00:00	2010-07-26
1192	5017	1192	1	3	NA	0	2011-11-17 00:00:00	2010-07-27
1192	5018	1192	1	2	NA	0	2010-08-07 00:00:00	2010-07-27
1193	5020	1193	1	2	NA	0	2010-08-09 00:00:00	2010-07-29
1194	5023	1194	1	2	NA	0	2010-07-28 00:00:00	2010-07-15
1195	5024	1195	1	3	NA	0	2011-06-23 00:00:00	2010-08-10
1195	5025	1195	1	3	NA	0	2012-08-16 00:00:00	2010-08-10
1196	5030	1196	1	3	2011-05-25	0	2011-05-16 00:00:00	2010-07-24
1196	5029	1196	1	3	NA	0	2010-11-24 00:00:00	2010-07-24
1196	5028	1196	1	2	NA	0	2010-08-04 00:00:00	2010-07-24
1197	5031	1197	1	3	NA	0	2014-07-20 00:00:00	2010-07-30
1197	5032	1197	1	3	NA	0	2011-06-27 00:00:00	2010-07-30
1197	5033	1197	0	2	NA	0	2010-08-14 00:00:00	2010-07-30
1198	5035	1198	1	3	NA	0	2013-06-24 00:00:00	2010-08-04
1198	5036	1198	1	3	NA	0	2010-11-25 00:00:00	2010-08-04
1198	5037	1198	0	2	2010-08-13	0	2010-08-11 00:00:00	2010-08-04
1198	5038	1198	1	2	NA	0	2010-08-17 00:00:00	2010-08-04
1199	5040	1199	0	2	NA	0	2010-08-18 00:00:00	2010-08-17
1199	5041	1199	0	2	NA	0	2010-08-18 00:00:00	2010-08-17
1201	5081	1201	1	3	NA	0	2011-06-14 00:00:00	2011-04-28
1201	5082	1201	1	2	NA	0	2011-05-09 00:00:00	2011-04-28
1201	5083	1201	0	2	2011-05-09	0	2011-05-03 00:00:00	2011-04-28
1202	5084	1202	1	2	NA	0	2011-05-09 00:00:00	2011-04-26
1202	5088	1202	0	2	2011-04-29	0	2011-04-28 23:59:59	2011-04-26
1202	5085	1202	1	2	NA	0	2011-05-09 00:00:00	2011-04-26
1202	5086	1202	1	2	NA	0	2011-05-09 00:00:00	2011-04-26
1203	5089	1203	0	2	2011-05-03	0	2011-04-29 00:00:00	2011-04-28
1203	5092	1203	1	3	NA	0	2011-11-15 00:00:00	2011-04-28
1203	5090	1203	1	3	NA	0	2011-06-09 00:00:00	2011-04-28
1203	5091	1203	0	2	2011-05-03	0	2011-04-29 00:00:00	2011-04-28
1204	5093	1204	1	3	NA	0	2013-07-20 00:00:00	2011-04-29
1204	5096	1204	1	3	NA	0	2013-01-21 00:00:00	2011-04-29
1204	5094	1204	1	3	NA	0	2011-10-01 00:00:00	2011-04-29
1204	5095	1204	1	3	NA	0	2011-10-15 00:00:00	2011-04-29
1205	5097	1205	1	2	NA	0	2011-05-10 00:00:00	2011-04-29
1205	5100	1205	1	2	NA	0	2011-05-10 00:00:00	2011-04-29
1205	5099	1205	1	2	NA	0	2011-05-10 00:00:00	2011-04-29
1205	5127	1205	1	2	NA	0	2011-05-10 00:00:00	2011-04-29
1205	5098	1205	1	3	2012-02-10	0	2011-10-13 00:00:00	2011-04-29
1206	5102	1206	0	2	2011-05-01	0	2011-04-30 00:00:00	2011-04-29
1206	5101	1206	0	2	2011-05-01	0	2011-04-30 00:00:00	2011-04-29
1206	5103	1206	0	2	2011-05-01	0	2011-04-30 00:00:00	2011-04-29
1207	5106	1207	0	2	2011-05-04	0	2011-04-30 00:00:00	2011-04-29
1207	5104	1207	1	2	2011-05-16	0	2011-05-10 00:00:00	2011-04-29
1207	5105	1207	0	2	2011-05-04	0	2011-04-30 00:00:00	2011-04-29
1208	5107	1208	1	3	NA	0	2014-06-15 00:00:00	2011-04-17
1208	5108	1208	1	3	NA	0	2011-06-16 00:00:00	2011-04-17
1209	5110	1209	1	3	NA	0	2014-07-11 00:00:00	2011-04-18
1209	5109	1209	1	3	NA	0	2012-02-08 00:00:00	2011-04-18
1210	5113	1210	1	3	NA	0	2011-06-28 00:00:00	2011-04-19
1210	5114	1210	1	2	NA	0	2011-04-30 00:00:00	2011-04-19
1211	5116	1211	1	3	NA	0	2011-08-05 00:00:00	2011-04-30
1211	5117	1211	1	3	NA	0	2011-10-22 00:00:00	2011-04-30
1211	5115	1211	1	2	NA	0	2011-05-11 00:00:00	2011-04-30
1211	5118	1211	1	2	NA	0	2011-05-11 00:00:00	2011-04-30
1211	5119	1211	1	3	NA	0	2011-11-16 00:00:00	2011-04-30
1212	5121	1212	1	2	NA	0	2011-05-11 00:00:00	2011-05-01
1212	5120	1212	1	3	2011-05-21	0	2011-05-11 00:00:00	2011-05-01
1212	5122	1212	1	2	NA	0	2011-05-11 00:00:00	2011-05-01
1212	5123	1212	1	3	NA	0	2012-02-08 00:00:00	2011-05-01
1213	5125	1213	1	2	NA	0	2011-05-18 00:00:00	2011-05-02
1213	5124	1213	0	2	2011-05-09	0	2011-05-06 00:00:00	2011-05-02
1214	5132	1214	1	3	2011-06-01	0	2011-05-13 00:00:00	2011-05-02
1214	5133	1214	1	2	NA	0	2011-05-18 00:00:00	2011-05-02
1214	5130	1214	1	3	NA	0	2012-02-08 00:00:00	2011-05-02
1214	5131	1214	0	2	2011-05-09	0	2011-05-06 00:00:00	2011-05-02
1215	5134	1215	1	3	NA	0	2012-08-12 00:00:00	2011-05-03
1215	5137	1215	1	2	NA	0	2011-05-14 00:00:00	2011-05-03
1215	5135	1215	1	2	NA	0	2011-05-18 00:00:00	2011-05-03
1215	5136	1215	1	3	NA	0	2014-07-31 00:00:00	2011-05-03
1216	5139	1216	1	3	NA	0	2015-06-22 00:00:00	2011-05-03
1216	5140	1216	1	3	NA	0	2014-12-05 00:00:00	2011-05-03
