ChickID	NatalBrood	RearingBrood	CrossFosteredYN	AvgOfMass	AvgOfTarsus	AvgOfAge	nMeasures
6415	1415	1415	0	10.3999996185303		5	1
6416	1415	1415	0	11.5		5	1
6417	1415	1415	0	7.69999980926514		5	1
6420	1404	1405	1	9.80000019073486		5	1
6421	1404	1405	1	11		5	1
6422	1404	1405	1	11.3000001907349		5	1
6423	1404	1405	1	6.90000009536743		5	1
6425	1406	1406	0	13.8999996185303		6	1
6427	1405	1404	1	12.1000003814697		5	1
6428	1405	1404	1	8.80000019073486		5	1
6429	1405	1404	1	11.1999998092651		5	1
6430	1405	1404	1	8.80000019073486		5	1
6433	1409	1409	0	12.3000001907349		5	1
6434	1408	1408	0	12.3999996185303		5	1
6435	1408	1408	0	10.3000001907349		5	1
6436	1408	1408	0	10.3000001907349		5	1
6437	1405	1405	0	5.30000019073486		5	1
6438	1407	1407	0	8.19999980926514		4	1
6439	1407	1407	0	9		4	1
6440	1407	1407	0	8.10000038146973		4	1
6442	1409	1409	0	10.6999998092651		5	1
6445	1410	1410	0	9.39999961853027		5	1
6447	1410	1410	0	8.39999961853027		5	1
6451	1419	1419	0	9.30000019073486		5	1
6452	1419	1419	0	9		5	1
6453	1419	1419	0	7		5	1
6454	1413	1412	1	8.80000019073486		5	1
6455	1413	1412	1	10.1000003814697		5	1
6456	1413	1412	1	7.69999980926514		5	1
6457	1413	1412	1	5.09999990463257		5	1
6458	1418	1418	0	7.19999980926514		5	1
6459	1418	1418	0	7.40000009536743		5	1
6460	1412	1413	1	12.5		5	1
6461	1412	1413	1	10.8000001907349		5	1
6462	1412	1413	1	8		5	1
6463	1412	1413	1	6.09999990463257		5	1
6464	1419	1419	0	2.40000009536743		5	1
6465	1414	1417	1	10.3000001907349		5	1
6466	1417	1414	1	13.3999996185303		5	1
6472	1417	1417	0	10.3999996185303		5	1
6473	1417	1417	0	9.89999961853027		5	1
6474	1417	1417	0	4.09999990463257		5	1
6476	1412	1412	0	5.19999980926514		5	1
6480	1421	1421	0	9.10000038146973		5	1
6484	1420	1420	0	8.69999980926514		5	1
6489	1421	1421	0	7.09999990463257		5	1
6495	1422	1422	0	6.90000009536743		5	1
6498	1422	1422	0	5.09999990463257		5	1
6502	1423	1423	0	9.5		5	1
6503	1423	1423	0	9.69999980926514		5	1
6505	1423	1423	0	4.30000019073486		5	1
6509	1426	1426	0	11.3999996185303		5	1
6510	1426	1426	0	10.8999996185303		5	1
6511	1426	1426	0	8.89999961853027		5	1
6512	1426	1426	0	4.80000019073486		5	1
6514	1427	1428	1	5.59999990463257		5	1
6515	1427	1427	0	6.40000009536743		5	1
6517	1428	1427	1	9.89999961853027		5	1
6518	1428	1427	1	8.69999980926514		5	1
6519	1428	1428	0	6.80000019073486		5	1
6520	1428	1428	0	5.80000019073486		5	1
6521	1429	1429	0	12.3999996185303		5	1
6522	1430	1430	0	6.19999980926514		5	1
6523	1430	1430	0	7.69999980926514		5	1
6524	1432	1431	1	9.5		5	1
6525	1432	1431	1	9.60000038146973		5	1
6526	1432	1432	0	14.1999998092651		5	1
6527	1432	1432	0	13.1999998092651		5	1
6528	1431	1432	1	12.1999998092651		5	1
6529	1431	1432	1	11.6000003814697		5	1
6530	1434	1433	1	15.8000001907349		5	1
6531	1434	1433	1	15		5	1
6532	1433	1434	1	13.1999998092651		5	1
6533	1433	1434	1	11.6000003814697		5	1
6534	1433	1433	0	9.39999961853027		5	1
6535	1435	1435	0	11.3000001907349		5	1
6536	1435	1435	0	11.6999998092651		5	1
6537	1435	1435	0	8		5	1
6541	1435	1435	0	7.69999980926514		5	1
6547	1433	1433	0	8.30000019073486		5	1
6548	1432	1432	0	9.5		5	1
6549	1434	1434	0	9.5		5	1
6551	1437	1437	0	9.5		5	1
6552	1451	1436	1	13.1999998092651		5	1
6553	1451	1436	1	13.6999998092651		5	1
6554	1451	1441	1	11.3999996185303		5	1
6555	1441	1451	1	17.2000007629395		5	1
6556	1441	1451	1	17.5		5	1
6557	1441	1451	1	15.3999996185303		5	1
6558	1441	1441	0	11.1000003814697		5	1
6559	1441	1441	0	8.39999961853027		5	1
6560	1436	1441	1	8		5	1
6561	1436	1441	1	8.39999961853027		5	1
6562	1436	1436	0	8.19999980926514		5	1
6563	1437	1437	0	12.8000001907349		5	1
6564	1437	1437	0	9		5	1
6565	1451	1451	0	12.1000003814697		5	1
6566	1440	1440	0	13.8999996185303		5	1
6567	1440	1440	0	12.5		5	1
6568	1444	1445	1	9.89999961853027		5	1
6569	1444	1445	1	8.80000019073486		5	1
6570	1444	1445	1	9.10000038146973		5	1
6572	1439	1438	1	9.39999961853027		5	1
6573	1439	1438	1	9.39999961853027		5	1
6574	1439	1438	1	7.80000019073486		5	1
6575	1439	1438	1	5.69999980926514		5	1
6577	1438	1439	1	10		5	1
6578	1438	1439	1	7.5		5	1
6579	1438	1439	1	8.80000019073486		5	1
6580	1438	1439	1	6.09999990463257		5	1
6581	1442	1443	1	11.6000003814697		5	1
6582	1442	1443	1	11		5	1
6583	1442	1443	1	10.3000001907349		5	1
6584	1443	1442	1	10.6999998092651		5	1
6585	1443	1442	1	8.80000019073486		5	1
6586	1443	1442	1	6.40000009536743		5	1
6589	1445	1444	1	12.1000003814697		5	1
6590	1445	1444	1	11		5	1
6591	1445	1444	1	9.19999980926514		5	1
6592	1442	1442	0	5.40000009536743		5	1
6593	1455	1455	0	12.8000001907349		6	1
6594	1455	1455	0	5.80000019073486		6	1
6596	1446	1446	0	5		5	1
6597	1446	1446	0	6.80000019073486		5	1
6599	1447	1447	0	9.89999961853027		5	1
6601	1447	1447	0	9.5		5	1
6602	1447	1447	0	5.5		5	1
6603	1438	1438	0	1.70000004768372		5	1
6608	1449	1449	0	7.69999980926514		5	1
6609	1449	1449	0	6		5	1
6611	1450	1448	1	6.90000009536743		5	1
6612	1450	1448	1	4.69999980926514		5	1
6613	1448	1450	1	6.30000019073486		5	1
6615	1448	1450	1	5.90000009536743		5	1
6619	1453	1453	0	9.30000019073486		5	1
6620	1453	1453	0	7.30000019073486		5	1
6621	1453	1453	0	5.40000009536743		5	1
6622	1453	1453	0	5		5	1
6633	1456	1456	0	12.5		5	1
6634	1456	1456	0	10.1999998092651		5	1
6635	1456	1456	0	9.5		5	1
6652	1462	1462	0	4.5		5	1
6653	1462	1462	0	5.30000019073486		5	1
6654	1462	1462	0	2.5		5	1
6655	1461	1461	0	4.69999980926514		5	1
6657	1461	1461	0	4		5	1
6660	1460	1460	0	4.69999980926514		5	1
6662	1460	1460	0	4.40000009536743		5	1
