BirdID	CaptureDate	Mass
256	05-May-02	6.2
256	02-Jun-05	26
256	15-May-02	24.5
256	16-Nov-05	24.9
258	17-May-02	21.9
258	07-May-02	4.3
259	07-May-02	4.9
259	17-May-02	25.9
260	07-May-02	3.6
260	17-May-02	21.4
261	07-May-02	4.3
261	17-May-02	25.5
262	17-May-02	24.3
262	07-May-02	3.6
263	07-May-02	2.3
263	17-May-02	15.4
264	17-May-02	25.9
264	07-May-02	4
265	08-May-02	5
265	18-May-02	18
266	08-May-02	4.6
266	18-May-02	14.5
267	08-May-02	5.6
267	18-May-02	22.2
268	18-May-02	20
268	08-May-02	5.4
269	08-May-02	8.2
269	18-May-02	19.7
270	08-May-02	4.8
272	09-May-02	5.2
273	09-May-02	5.6
276	10-May-02	5.7
277	10-May-02	4.9
280	10-May-02	2.2
281	10-May-02	2.6
282	10-May-02	4.6
283	12-May-02	4.8
283	22-May-02	18.4
284	22-May-02	21.9
284	02-Jun-04	28.3
284	04-Jun-03	26.75
284	11-Mar-04	26.5
284	12-May-02	5.5
285	16-Nov-05	26.7
285	08-Jun-04	25.5
285	12-May-02	5.1
285	22-Nov-04	26.5
285	09-Mar-04	24.5
285	22-May-02	20.6
285	06-Jul-04	26.4
286	22-May-02	27
286	12-May-02	6.2
287	01-Jun-03	26.75
287	25-Nov-04	28.6
287	23-May-05	28.6
287	06-Mar-04	26.7
287	22-May-02	27.2
287	11-Jun-03	27.75
287	19-May-04	27
287	26-May-03	27
287	15-Nov-05	29.8
287	12-May-02	7.2
289	15-May-02	4.7
290	25-May-02	24.1
290	15-May-02	4.8
291	15-May-02	3.5
292	15-May-02	7
293	15-May-02	4.1
296	15-May-02	7.5
297	15-May-02	5.6
298	05-Jun-03	27.25
298	15-May-02	6.1
298	25-May-02	24.7
300	16-May-02	7.5
300	26-May-02	25.5
301	26-May-02	28.9
301	16-May-02	7.8
301	29-May-03	25.75
302	16-May-02	4.4
304	27-May-02	23.2
304	17-May-02	5
305	27-May-02	25.4
305	17-May-02	6.4
306	17-May-02	4.9
306	27-May-02	16.8
309	07-Mar-04	26.4
309	30-Jul-05	29.8
309	29-Sep-02	29.2
309	18-May-02	6.7
309	11-Mar-04	26.5
309	15-Jun-03	27.25
309	09-Mar-04	27.5
